fixture_id	pair	seed	expected_candidate_classification	vanilla_public_observable	budget	graph_geometry	interval_cost	painted_support	oracle_status	unknown_reason
S17-radial-linear-rgb	radial/linear-rgb	S17	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S18-linear-oklab	linear/oklab	S18	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S18-radial-oklab	radial/oklab	S18	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S18-linear-linear-rgb	linear/linear-rgb	S18	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S18-radial-linear-rgb	radial/linear-rgb	S18	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S19-linear-oklab	linear/oklab	S19	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S19-radial-oklab	radial/oklab	S19	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S19-linear-linear-rgb	linear/linear-rgb	S19	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S19-radial-linear-rgb	radial/linear-rgb	S19	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S20-linear-oklab	linear/oklab	S20	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S20-radial-oklab	radial/oklab	S20	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S20-linear-linear-rgb	linear/linear-rgb	S20	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S20-radial-linear-rgb	radial/linear-rgb	S20	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S21-linear-oklab	linear/oklab	S21	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S21-radial-oklab	radial/oklab	S21	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S21-linear-linear-rgb	linear/linear-rgb	S21	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S21-radial-linear-rgb	radial/linear-rgb	S21	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S22-linear-oklab	linear/oklab	S22	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S22-radial-oklab	radial/oklab	S22	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S22-linear-linear-rgb	linear/linear-rgb	S22	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S22-radial-linear-rgb	radial/linear-rgb	S22	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S23-linear-oklab	linear/oklab	S23	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S23-radial-oklab	radial/oklab	S23	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S23-linear-linear-rgb	linear/linear-rgb	S23	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S23-radial-linear-rgb	radial/linear-rgb	S23	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S24-linear-oklab	linear/oklab	S24	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S24-radial-oklab	radial/oklab	S24	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S24-linear-linear-rgb	linear/linear-rgb	S24	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
S24-radial-linear-rgb	radial/linear-rgb	S24	Preserved	Measured	Frozen	Measured	Measured	Measured	Available	
