fixture_id	pair	interval	left	right	positive_width	eligible	s_i	a_i	d_i	b_i	q_i	bounds_64_63_127_126_253	frozen_trace_equal	status
S04-radial-linear-rgb	radial/linear-rgb	1	0.370262390670554	0.635568513119533	true	true	64	12	25	24	49	Preserved	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	2	0.635568513119533	0.81341107871720097	true	true	1	0	1	0	1	Preserved	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	3	0.81341107871720097	0.92128279883381892	true	true	64	13	27	26	53	Preserved	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	4	0.92128279883381892	0.97667638483965002	true	true	64	24	49	48	97	Preserved	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	5	0.97667638483965002	0.99708454810495595	true	true	64	12	25	24	49	Preserved	true	Preserved
S04-radial-linear-rgb	radial/linear-rgb	6	0.99708454810495595	1	true	true	1	0	1	0	1	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	0	0	0.022222222222222202	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	1	0.022222222222222202	0.088888888888888892	true	true	64	16	33	32	65	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	2	0.088888888888888892	0.20000000000000001	true	true	64	22	45	44	89	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	3	0.20000000000000001	0.24444444444444399	true	true	64	27	55	54	109	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	4	0.24444444444444399	0.33333333333333298	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	5	0.33333333333333298	0.35555555555555601	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	6	0.35555555555555601	0.422222222222222	true	true	64	16	33	32	65	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	7	0.422222222222222	0.53333333333333299	true	true	64	22	45	44	89	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	8	0.53333333333333299	0.57777777777777795	true	true	64	27	55	54	109	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	9	0.57777777777777795	0.66666666666666696	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	10	0.66666666666666696	0.68888888888888899	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	11	0.68888888888888899	0.75555555555555598	true	true	64	16	33	32	65	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	12	0.75555555555555598	0.86666666666666703	true	true	64	22	45	44	89	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	13	0.86666666666666703	0.91111111111111098	true	true	64	27	55	54	109	Preserved	true	Preserved
S05-linear-oklab	linear/oklab	14	0.91111111111111098	1	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	0	0	0.022222222222222202	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	1	0.022222222222222202	0.088888888888888892	true	true	64	16	33	32	65	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	2	0.088888888888888892	0.20000000000000001	true	true	64	22	45	44	89	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	3	0.20000000000000001	0.24444444444444399	true	true	64	27	55	54	109	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	4	0.24444444444444399	0.33333333333333298	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	5	0.33333333333333298	0.35555555555555601	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	6	0.35555555555555601	0.422222222222222	true	true	64	16	33	32	65	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	7	0.422222222222222	0.53333333333333299	true	true	64	22	45	44	89	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	8	0.53333333333333299	0.57777777777777795	true	true	64	27	55	54	109	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	9	0.57777777777777795	0.66666666666666696	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	10	0.66666666666666696	0.68888888888888899	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	11	0.68888888888888899	0.75555555555555598	true	true	64	16	33	32	65	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	12	0.75555555555555598	0.86666666666666703	true	true	64	22	45	44	89	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	13	0.86666666666666703	0.91111111111111098	true	true	64	27	55	54	109	Preserved	true	Preserved
S05-radial-oklab	radial/oklab	14	0.91111111111111098	1	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	0	0	0.022222222222222202	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	1	0.022222222222222202	0.088888888888888892	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	2	0.088888888888888892	0.20000000000000001	true	true	64	26	53	52	105	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	3	0.20000000000000001	0.24444444444444399	true	true	64	29	59	58	117	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	4	0.24444444444444399	0.33333333333333298	true	true	16	9	19	18	37	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	5	0.33333333333333298	0.35555555555555601	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	6	0.35555555555555601	0.422222222222222	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	7	0.422222222222222	0.53333333333333299	true	true	64	26	53	52	105	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	8	0.53333333333333299	0.57777777777777795	true	true	64	29	59	58	117	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	9	0.57777777777777795	0.66666666666666696	true	true	16	9	19	18	37	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	10	0.66666666666666696	0.68888888888888899	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	11	0.68888888888888899	0.75555555555555598	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	12	0.75555555555555598	0.86666666666666703	true	true	64	26	53	52	105	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	13	0.86666666666666703	0.91111111111111098	true	true	64	29	59	58	117	Preserved	true	Preserved
S05-linear-linear-rgb	linear/linear-rgb	14	0.91111111111111098	1	true	true	16	9	19	18	37	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	0	0	0.022222222222222202	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	1	0.022222222222222202	0.088888888888888892	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	2	0.088888888888888892	0.20000000000000001	true	true	64	26	53	52	105	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	3	0.20000000000000001	0.24444444444444399	true	true	64	29	59	58	117	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	4	0.24444444444444399	0.33333333333333298	true	true	16	9	19	18	37	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	5	0.33333333333333298	0.35555555555555601	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	6	0.35555555555555601	0.422222222222222	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	7	0.422222222222222	0.53333333333333299	true	true	64	26	53	52	105	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	8	0.53333333333333299	0.57777777777777795	true	true	64	29	59	58	117	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	9	0.57777777777777795	0.66666666666666696	true	true	16	9	19	18	37	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	10	0.66666666666666696	0.68888888888888899	true	true	64	17	35	34	69	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	11	0.68888888888888899	0.75555555555555598	true	true	64	13	27	26	53	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	12	0.75555555555555598	0.86666666666666703	true	true	64	26	53	52	105	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	13	0.86666666666666703	0.91111111111111098	true	true	64	29	59	58	117	Preserved	true	Preserved
S05-radial-linear-rgb	radial/linear-rgb	14	0.91111111111111098	1	true	true	16	9	19	18	37	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	0	0	0.032258064516128997	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	1	0.032258064516128997	0.06451612903225809	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	2	0.06451612903225809	0.096774193548387094	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	3	0.096774193548387094	0.12903225806451599	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	4	0.12903225806451599	0.16129032258064499	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	5	0.16129032258064499	0.19354838709677399	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	6	0.19354838709677399	0.225806451612903	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	7	0.225806451612903	0.25806451612903197	true	true	64	18	37	36	73	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	8	0.25806451612903197	0.29032258064516098	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	9	0.29032258064516098	0.32258064516128998	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	10	0.32258064516128998	0.35483870967741898	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	11	0.35483870967741898	0.38709677419354799	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	12	0.38709677419354799	0.41935483870967699	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	13	0.41935483870967699	0.45161290322580599	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	14	0.45161290322580599	0.483870967741936	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	15	0.483870967741936	0.51612903225806395	true	true	64	18	37	36	73	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	16	0.51612903225806395	0.54838709677419406	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	17	0.54838709677419406	0.58064516129032295	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	18	0.58064516129032295	0.61290322580645207	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	19	0.61290322580645207	0.64516129032258107	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	20	0.64516129032258107	0.67741935483871007	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	21	0.67741935483871007	0.70967741935483897	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	22	0.70967741935483897	0.74193548387096797	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	23	0.74193548387096797	0.77419354838709697	true	true	64	18	37	36	73	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	24	0.77419354838709697	0.80645161290322609	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	25	0.80645161290322609	0.83870967741935498	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	26	0.83870967741935498	0.87096774193548399	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	27	0.87096774193548399	0.90322580645161299	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	28	0.90322580645161299	0.9354838709677421	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	29	0.9354838709677421	0.967741935483871	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-oklab	linear/oklab	30	0.967741935483871	1	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	0	0	0.032258064516128997	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	1	0.032258064516128997	0.06451612903225809	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	2	0.06451612903225809	0.096774193548387094	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	3	0.096774193548387094	0.12903225806451599	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	4	0.12903225806451599	0.16129032258064499	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	5	0.16129032258064499	0.19354838709677399	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	6	0.19354838709677399	0.225806451612903	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	7	0.225806451612903	0.25806451612903197	true	true	64	18	37	36	73	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	8	0.25806451612903197	0.29032258064516098	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	9	0.29032258064516098	0.32258064516128998	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	10	0.32258064516128998	0.35483870967741898	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	11	0.35483870967741898	0.38709677419354799	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	12	0.38709677419354799	0.41935483870967699	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	13	0.41935483870967699	0.45161290322580599	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	14	0.45161290322580599	0.483870967741936	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	15	0.483870967741936	0.51612903225806395	true	true	64	18	37	36	73	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	16	0.51612903225806395	0.54838709677419406	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	17	0.54838709677419406	0.58064516129032295	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	18	0.58064516129032295	0.61290322580645207	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	19	0.61290322580645207	0.64516129032258107	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	20	0.64516129032258107	0.67741935483871007	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	21	0.67741935483871007	0.70967741935483897	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	22	0.70967741935483897	0.74193548387096797	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	23	0.74193548387096797	0.77419354838709697	true	true	64	18	37	36	73	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	24	0.77419354838709697	0.80645161290322609	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	25	0.80645161290322609	0.83870967741935498	true	true	32	9	19	18	37	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	26	0.83870967741935498	0.87096774193548399	true	true	64	26	53	52	105	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	27	0.87096774193548399	0.90322580645161299	true	true	64	20	41	40	81	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	28	0.90322580645161299	0.9354838709677421	true	true	4	3	7	6	13	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	29	0.9354838709677421	0.967741935483871	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-radial-oklab	radial/oklab	30	0.967741935483871	1	true	true	64	29	59	58	117	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	0	0	0.032258064516128997	true	true	64	25	51	50	101	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	1	0.032258064516128997	0.06451612903225809	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	2	0.06451612903225809	0.096774193548387094	true	true	64	28	57	56	113	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	3	0.096774193548387094	0.12903225806451599	true	true	64	23	47	46	93	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	4	0.12903225806451599	0.16129032258064499	true	true	32	11	23	22	45	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	5	0.16129032258064499	0.19354838709677399	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	6	0.19354838709677399	0.225806451612903	true	true	64	30	61	60	121	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	7	0.225806451612903	0.25806451612903197	true	true	64	22	45	44	89	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	8	0.25806451612903197	0.29032258064516098	true	true	64	25	51	50	101	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	9	0.29032258064516098	0.32258064516128998	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	10	0.32258064516128998	0.35483870967741898	true	true	64	28	57	56	113	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	11	0.35483870967741898	0.38709677419354799	true	true	64	23	47	46	93	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	12	0.38709677419354799	0.41935483870967699	true	true	32	11	23	22	45	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	13	0.41935483870967699	0.45161290322580599	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	14	0.45161290322580599	0.483870967741936	true	true	64	30	61	60	121	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	15	0.483870967741936	0.51612903225806395	true	true	64	22	45	44	89	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	16	0.51612903225806395	0.54838709677419406	true	true	64	25	51	50	101	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	17	0.54838709677419406	0.58064516129032295	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	18	0.58064516129032295	0.61290322580645207	true	true	64	28	57	56	113	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	19	0.61290322580645207	0.64516129032258107	true	true	64	23	47	46	93	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	20	0.64516129032258107	0.67741935483871007	true	true	32	11	23	22	45	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	21	0.67741935483871007	0.70967741935483897	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	22	0.70967741935483897	0.74193548387096797	true	true	64	30	61	60	121	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	23	0.74193548387096797	0.77419354838709697	true	true	64	22	45	44	89	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	24	0.77419354838709697	0.80645161290322609	true	true	64	25	51	50	101	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	25	0.80645161290322609	0.83870967741935498	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	26	0.83870967741935498	0.87096774193548399	true	true	64	28	57	56	113	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	27	0.87096774193548399	0.90322580645161299	true	true	64	23	47	46	93	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	28	0.90322580645161299	0.9354838709677421	true	true	32	11	23	22	45	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	29	0.9354838709677421	0.967741935483871	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-linear-linear-rgb	linear/linear-rgb	30	0.967741935483871	1	true	true	64	30	61	60	121	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	0	0	0.032258064516128997	true	true	64	25	51	50	101	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	1	0.032258064516128997	0.06451612903225809	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	2	0.06451612903225809	0.096774193548387094	true	true	64	28	57	56	113	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	3	0.096774193548387094	0.12903225806451599	true	true	64	23	47	46	93	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	4	0.12903225806451599	0.16129032258064499	true	true	32	11	23	22	45	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	5	0.16129032258064499	0.19354838709677399	true	true	64	31	63	62	125	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	6	0.19354838709677399	0.225806451612903	true	true	64	30	61	60	121	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	7	0.225806451612903	0.25806451612903197	true	true	64	22	45	44	89	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	8	0.25806451612903197	0.29032258064516098	true	true	64	25	51	50	101	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	9	0.29032258064516098	0.32258064516128998	true	true	64	21	43	42	85	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	10	0.32258064516128998	0.35483870967741898	true	true	64	28	57	56	113	Preserved	true	Preserved
S06-radial-linear-rgb	radial/linear-rgb	11	0.35483870967741898	0.38709677419354799	true	true	64	23	47	46	93	Preserved	true	Preserved
