pair	family	scenario	t	hue_delta_deg	non_hue_max	alpha_delta	status
linear/hsv	polar	seam-reverse	0.999999000000	3.0517578125e-05	0.0	0.0	Preserved
linear/hsv	polar	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	0.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	0.000001000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	0.750000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	0.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	0.000001000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	0.750000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
linear/luma	luma	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	0.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	0.000001000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	0.250000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	0.500000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	0.750000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	0.999999000000	0.0	0.0	0.0	Preserved
linear/luma	luma	black-white	1.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	nonsaturated	0.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	nonsaturated	0.000001000000	0.0	0.0	0.0	Preserved
linear/luma	luma	nonsaturated	0.250000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	nonsaturated	0.500000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	nonsaturated	0.750000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	nonsaturated	0.999999000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/luma	luma	nonsaturated	1.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	primary-extremes	0.000000000000	0.0	2.9802322387695312e-08	0.0	Preserved
linear/luma	luma	primary-extremes	0.000001000000	0.0	2.9802322387695312e-08	0.0	Preserved
linear/luma	luma	primary-extremes	0.250000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	primary-extremes	0.500000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	primary-extremes	0.750000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	primary-extremes	0.999999000000	0.0	0.0	0.0	Preserved
linear/luma	luma	primary-extremes	1.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	white-black	0.000000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	white-black	0.000001000000	0.0	0.0	0.0	Preserved
linear/luma	luma	white-black	0.250000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	white-black	0.500000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	white-black	0.750000000000	0.0	0.0	0.0	Preserved
linear/luma	luma	white-black	0.999999000000	0.0	1.3278963706397917e-08	0.0	Preserved
linear/luma	luma	white-black	1.000000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	alpha-first	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	alpha-first	0.000001000000	3.0517578125e-05	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	alpha-first	0.250000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	alpha-first	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	alpha-first	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	alpha-first	0.999999000000	3.0517578125e-05	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	alpha-last	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	alpha-last	0.000001000000	3.0517578125e-05	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	alpha-last	0.250000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	alpha-last	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	alpha-last	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	alpha-last	0.999999000000	3.0517578125e-05	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	0.000000000000	3.814697265625e-06	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	0.250000000000	7.62939453125e-06	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	0.500000000000	3.814697265625e-06	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	no-wrap	0.000000000000	7.62939453125e-06	0.0	0.0	Preserved
linear/oklch	polar	no-wrap	0.000001000000	7.62939453125e-06	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	no-wrap	0.250000000000	7.62939453125e-06	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	no-wrap	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	no-wrap	0.999999000000	1.52587890625e-05	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	seam-forward	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	seam-forward	0.000001000000	3.0517578125e-05	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	seam-forward	0.250000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	seam-forward	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	seam-forward	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	seam-forward	0.999999000000	3.0517578125e-05	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
linear/oklch	polar	seam-reverse	0.000000000000	4.76837158203125e-06	0.0	0.0	Preserved
linear/oklch	polar	seam-reverse	0.000001000000	2.956390380859375e-05	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	seam-reverse	0.250000000000	9.5367431640625e-06	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	seam-reverse	0.500000000000	6.67572021484375e-06	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	seam-reverse	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
linear/oklch	polar	seam-reverse	0.999999000000	3.0517578125e-05	1.4901161193847656e-08	0.0	Preserved
linear/oklch	polar	seam-reverse	1.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
radial/hsl	polar	alpha-first	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
radial/hsl	polar	alpha-first	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	alpha-first	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	alpha-first	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	low-chroma	0.000001000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/hsl	polar	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	0.000001000000	1.239776611328125e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	0.250000000000	1.6689300537109375e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	0.500000000000	9.5367431640625e-07	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	0.999999000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsl	polar	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	low-chroma	0.999999000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/hsv	polar	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	0.000000000000	1.9073486328125e-06	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	0.000001000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	0.250000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	0.000001000000	1.239776611328125e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	0.250000000000	1.6689300537109375e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	0.500000000000	9.5367431640625e-07	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	0.750000000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	0.999999000000	3.0517578125e-05	0.0	0.0	Preserved
radial/hsv	polar	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	0.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	0.000001000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	0.750000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	0.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	0.000001000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	0.750000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
radial/luma	luma	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	0.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	0.000001000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	0.250000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	0.500000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	0.750000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	0.999999000000	0.0	0.0	0.0	Preserved
radial/luma	luma	black-white	1.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	nonsaturated	0.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	nonsaturated	0.000001000000	0.0	0.0	0.0	Preserved
radial/luma	luma	nonsaturated	0.250000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	nonsaturated	0.500000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	nonsaturated	0.750000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	nonsaturated	0.999999000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/luma	luma	nonsaturated	1.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	primary-extremes	0.000000000000	0.0	2.9802322387695312e-08	0.0	Preserved
radial/luma	luma	primary-extremes	0.000001000000	0.0	2.9802322387695312e-08	0.0	Preserved
radial/luma	luma	primary-extremes	0.250000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	primary-extremes	0.500000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	primary-extremes	0.750000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	primary-extremes	0.999999000000	0.0	0.0	0.0	Preserved
radial/luma	luma	primary-extremes	1.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	white-black	0.000000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	white-black	0.000001000000	0.0	0.0	0.0	Preserved
radial/luma	luma	white-black	0.250000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	white-black	0.500000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	white-black	0.750000000000	0.0	0.0	0.0	Preserved
radial/luma	luma	white-black	0.999999000000	0.0	1.3278963706397917e-08	0.0	Preserved
radial/luma	luma	white-black	1.000000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	alpha-first	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	alpha-first	0.000001000000	3.0517578125e-05	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	alpha-first	0.250000000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	alpha-first	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	alpha-first	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	alpha-first	0.999999000000	3.0517578125e-05	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	alpha-last	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	alpha-last	0.000001000000	3.0517578125e-05	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	alpha-last	0.250000000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	alpha-last	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	alpha-last	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	alpha-last	0.999999000000	3.0517578125e-05	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	0.000000000000	3.814697265625e-06	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	0.250000000000	7.62939453125e-06	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	0.500000000000	3.814697265625e-06	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	no-wrap	0.000000000000	7.62939453125e-06	0.0	0.0	Preserved
radial/oklch	polar	no-wrap	0.000001000000	7.62939453125e-06	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	no-wrap	0.250000000000	7.62939453125e-06	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	no-wrap	0.750000000000	0.0	5.960464477539063e-08	0.0	Preserved
radial/oklch	polar	no-wrap	0.999999000000	1.52587890625e-05	1.4901161193847656e-08	0.0	Preserved
radial/oklch	polar	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
radial/oklch	polar	seam-forward	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
