record_type	key	value	sha256	verification
measurement	P1266_COST_COUNTS	rows=96;sum_logical=904;sum_effective=1320;sum_E=11188;sum_bound_logical=51808;sum_bound_effective=78432;global_gt64=36;effective_derived_failures=0;max=S06-linear-linear-rgb,effective_M=32,E=774,bound=1985	dc10bff135b228b521376b39e4266c1656f6b650a72576253404a85ca74c93ad	awk -F TAB por logical_stops,effective_public_stops,emitted_stops
measurement	G10_WORST_CASE	depth=6;segments=64;adaptive_interiors=63;midpoint_decisions=127;boundary_sampler_calls=126;total_sampler_calls=253	-	Simulação determinística do estado n/i das linhas adaptive.rs:127-159 com refinamento máximo
measurement	G04_COINCIDENT_POINT	internal exact point reaches first equal stop;epsilon-right uses last equal stop;t=0 exact uses special last-zero rule	-	Derivação direta de gradient.rs:1461-1484; precisa de probe no P1268 para selo
declaration	prohibited_existing_r1	NÃO LIDO: qualquer p1267-* ou typst-p1267-* R1 existente; typst-passo-1267.md foi o único P1267 permitido	-	Nenhuma busca/listagem desses artefatos foi executada
declaration	future_product_patch	NÃO LIDO	-	Somente o current_interval_source pinado pelo manifesto foi lido; nenhum diff de patch candidato/futuro foi aberto
declaration	comparator_output	NÃO LIDO	-	Nenhum path/output do comparador foi aberto ou pesquisado
declaration	judged_artifact_writes	NENHUMA	-	Hashes author/evidence permanecem iguais ao freeze após o julgamento
declaration	repository_writes	NENHUMA	-	Únicas escritas foram feitas via apply_patch em /tmp/p1267r2/verifier/verdict.tsv e receipt.tsv
policy	unknown	Unknown nunca sucede,nunca vira Preserved por default e fica fora do numerador; P1266 é história imutável	-	Verificado em unknown-v2,G12,G14,D02,D05,D07,D10,D11
policy	seal	NÃO EMITIDO;P1268 CONTINUA NECESSÁRIO	-	Contrato candidato requer refinamentos V05,V07,V08,V09 e depois oráculos/ataques/gate discriminatório independentes
verdict	overall	R2-CANDIDATE-UNSEALED-REFINEMENT-REQUIRED	-	Readjudicação conceitual sustentada; nenhum veredito de produto,equivalência geral,promoção ou alteração de fallback
output	/tmp/p1267r2/verifier/verdict.tsv	full	a9ced04fecaab28a04e2af0dfabdc7af9b7b2712ddc24143021accd590f74842	sha256 após criação via apply_patch; 19 linhas,6 colunas constantes
output	/tmp/p1267r2/verifier/receipt.tsv	canonical-content-excluding-this-row	05d48a70115595149ca88c398269dc26c5bcd3b92610df5ffaa349228fdc5000	Autohash canónico; reproduzir removendo esta linha completa e calculando sha256 dos bytes restantes
