fixture_id	pair	seed	variant_nodes	unresolved_urls	raster_nodes	role	role_urls	expected_role_urls	geometry_json	transform_digest	graph_closed	status
S07-linear-oklab	linear/oklab	S07	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(120)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.000001745""],[""y1"",""0""],[""y2"",""1.745e-6""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S07-radial-oklab	radial/oklab	S07	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(120)""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S07-linear-linear-rgb	linear/linear-rgb	S07	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(120)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.000001745""],[""y1"",""0""],[""y2"",""1.745e-6""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S07-radial-linear-rgb	radial/linear-rgb	S07	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(120)""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S08-linear-oklab	linear/oklab	S08	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""4.522e-6""],[""y1"",""0""],[""y2"",""1.000004522""]]]]"	6be7ef673eaf806c15a07b62afd0b5fdbb5f6d70b1e3ac0f76c637c690b706da	true	Measured
S08-radial-oklab	radial/oklab	S08	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]]]"	6be7ef673eaf806c15a07b62afd0b5fdbb5f6d70b1e3ac0f76c637c690b706da	true	Measured
S08-linear-linear-rgb	linear/linear-rgb	S08	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""4.522e-6""],[""y1"",""0""],[""y2"",""1.000004522""]]]]"	6be7ef673eaf806c15a07b62afd0b5fdbb5f6d70b1e3ac0f76c637c690b706da	true	Measured
S08-radial-linear-rgb	radial/linear-rgb	S08	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]]]"	6be7ef673eaf806c15a07b62afd0b5fdbb5f6d70b1e3ac0f76c637c690b706da	true	Measured
S09-linear-oklab	linear/oklab	S09	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(80 220)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""1""],[""x2"",""0""],[""y1"",""0""],[""y2"",""0""]]]]"	e15f0afcad86c955fd5907220ee1d5f26793ea565be0ce5281e4d90ea9efce86	true	Measured
S09-radial-oklab	radial/oklab	S09	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.15""],[""fx"",""0.4""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.6""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(80 220)""]]]]"	e15f0afcad86c955fd5907220ee1d5f26793ea565be0ce5281e4d90ea9efce86	true	Measured
S09-linear-linear-rgb	linear/linear-rgb	S09	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(80 220)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""1""],[""x2"",""0""],[""y1"",""0""],[""y2"",""0""]]]]"	e15f0afcad86c955fd5907220ee1d5f26793ea565be0ce5281e4d90ea9efce86	true	Measured
S09-radial-linear-rgb	radial/linear-rgb	S09	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.15""],[""fx"",""0.4""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.6""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(80 220)""]]]]"	e15f0afcad86c955fd5907220ee1d5f26793ea565be0ce5281e4d90ea9efce86	true	Measured
S10-linear-oklab	linear/oklab	S10	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.000001745""],[""y1"",""1""],[""y2"",""0.999998255""]]]]"	bfeb3c29e5f30eb14d852b918aeb185ee1c7ad38bf683fd94a77edf1a571a425	true	Measured
S10-radial-oklab	radial/oklab	S10	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.06""],[""fx"",""0.939""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]]]"	bfeb3c29e5f30eb14d852b918aeb185ee1c7ad38bf683fd94a77edf1a571a425	true	Measured
S10-linear-linear-rgb	linear/linear-rgb	S10	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.000001745""],[""y1"",""1""],[""y2"",""0.999998255""]]]]"	bfeb3c29e5f30eb14d852b918aeb185ee1c7ad38bf683fd94a77edf1a571a425	true	Measured
S10-radial-linear-rgb	radial/linear-rgb	S10	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.06""],[""fx"",""0.939""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(128 0 0 128 -4 -4)""]]]]"	bfeb3c29e5f30eb14d852b918aeb185ee1c7ad38bf683fd94a77edf1a571a425	true	Measured
S11-linear-oklab	linear/oklab	S11	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(220 80)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1""],[""y1"",""0""],[""y2"",""0""]]]]"	254b044ca680e53379500cae068fd63b91000858ef2f323012bb80a772f616f8	true	Measured
S11-radial-oklab	radial/oklab	S11	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(220 80)""]]]]"	254b044ca680e53379500cae068fd63b91000858ef2f323012bb80a772f616f8	true	Measured
S11-linear-linear-rgb	linear/linear-rgb	S11	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(220 80)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1""],[""y1"",""0""],[""y2"",""0""]]]]"	254b044ca680e53379500cae068fd63b91000858ef2f323012bb80a772f616f8	true	Measured
S11-radial-linear-rgb	radial/linear-rgb	S11	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(220 80)""]]]]"	254b044ca680e53379500cae068fd63b91000858ef2f323012bb80a772f616f8	true	Measured
S12-linear-oklab	linear/oklab	S12	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.022087993""],[""y1"",""0""],[""y2"",""0.023109942""]]]]"	dd095914eb96c39c6bf751b969ee3105a87583b79fc60f533b2b11af8a7d38b6	true	Measured
S12-radial-oklab	radial/oklab	S12	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]]]"	dd095914eb96c39c6bf751b969ee3105a87583b79fc60f533b2b11af8a7d38b6	true	Measured
S12-linear-linear-rgb	linear/linear-rgb	S12	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.022087993""],[""y1"",""0""],[""y2"",""0.023109942""]]]]"	dd095914eb96c39c6bf751b969ee3105a87583b79fc60f533b2b11af8a7d38b6	true	Measured
S12-radial-linear-rgb	radial/linear-rgb	S12	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(88 0 0 228 -4 -4)""]]]]"	dd095914eb96c39c6bf751b969ee3105a87583b79fc60f533b2b11af8a7d38b6	true	Measured
S13-linear-oklab	linear/oklab	S13	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(120)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1""],[""y1"",""0""],[""y2"",""0""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S13-radial-oklab	radial/oklab	S13	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(120)""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S13-linear-linear-rgb	linear/linear-rgb	S13	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(120)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1""],[""y1"",""0""],[""y2"",""0""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S13-radial-linear-rgb	radial/linear-rgb	S13	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0""],[""fx"",""0.5""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.5""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(120)""]]]]"	44798e9afb2a7a631e631152c3c516567f7ebb1d54f94be5c04db75777dcf82b	true	Measured
S14-linear-oklab	linear/oklab	S14	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.190167862""],[""y1"",""0""],[""y2"",""0.346154875""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S14-radial-oklab	radial/oklab	S14	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S14-linear-linear-rgb	linear/linear-rgb	S14	2	0	0	stroke	1	1	"[[""linearGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""0""],[""x2"",""1.190167862""],[""y1"",""0""],[""y2"",""0.346154875""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S14-radial-linear-rgb	radial/linear-rgb	S14	2	0	0	stroke	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.1""],[""fx"",""0.3""],[""fy"",""0.4""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.65""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""matrix(228 0 0 88 -4 -4)""]]]]"	840f377ad65401bacd621b6dfeeb30454ebb1f9752b81615cf838489c33ea176	true	Measured
S15-linear-oklab	linear/oklab	S15	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(80 220)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""1""],[""x2"",""1""],[""y1"",""1""],[""y2"",""0""]]]]"	8aa360cc6a52bda73f70049dd18ded0019120a0e4430be981383999268217052	true	Measured
S15-radial-oklab	radial/oklab	S15	2	0	0	fill	1	1	"[[""radialGradient"",[[""cx"",""0.5""],[""cy"",""0.5""],[""fr"",""0.15""],[""fx"",""0.4""],[""fy"",""0.5""],[""gradientUnits"",""userSpaceOnUse""],[""r"",""0.6""],[""spreadMethod"",""pad""]]],[""radialGradient"",[[""gradientTransform"",""scale(80 220)""]]]]"	8aa360cc6a52bda73f70049dd18ded0019120a0e4430be981383999268217052	true	Measured
S15-linear-linear-rgb	linear/linear-rgb	S15	2	0	0	fill	1	1	"[[""linearGradient"",[[""gradientTransform"",""scale(80 220)""]]],[""linearGradient"",[[""gradientUnits"",""userSpaceOnUse""],[""spreadMethod"",""pad""],[""x1"",""1""],[""x2"",""1""],[""y1"",""1""],[""y2"",""0""]]]]"	8aa360cc6a52bda73f70049dd18ded0019120a0e4430be981383999268217052	true	Measured
