probe_id	path	profile	previous_runtime_class	current_runtime_class	transition	fixture_comparable	complete_literal_equal	universe	measurement_ref	previous_measurement_ref	three_orders_stable
path-alignment.inv	alignment.inv	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	true
path-alignment.inv	alignment.inv	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	true
path-alignment.inv	alignment.inv	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	true
path-alignment.left	alignment.left	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	true
path-alignment.left	alignment.left	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	true
path-alignment.left	alignment.left	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	true
path-alignment.left	alignment.left	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	true
path-alignment.right	alignment.right	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	true
path-alignment.right	alignment.right	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	true
path-alignment.right	alignment.right	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	true
path-alignment.right	alignment.right	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	true
path-alignment.start	alignment.start	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	true
path-alignment.start	alignment.start	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	true
path-alignment.start	alignment.start	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	true
path-alignment.start	alignment.start	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	true
path-alignment.top	alignment.top	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	true
path-alignment.top	alignment.top	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	true
path-alignment.top	alignment.top	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	true
path-alignment.top	alignment.top	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	true
path-angle.deg	angle.deg	default	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	true
path-angle.deg	angle.deg	html	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	true
path-angle.deg	angle.deg	a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	true
path-angle.deg	angle.deg	html+a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	true
path-angle.rad	angle.rad	default	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	true
path-angle.rad	angle.rad	html	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	true
path-angle.rad	angle.rad	a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	true
path-angle.rad	angle.rad	html+a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	true
path-aqua	aqua	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	true
path-aqua	aqua	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	true
path-aqua	aqua	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	true
path-aqua	aqua	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	true
path-arguments.at	arguments.at	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	true
path-arguments.at	arguments.at	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	true
path-arguments.at	arguments.at	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	true
path-arguments.at	arguments.at	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	true
path-arguments.filter	arguments.filter	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	true
path-arguments.filter	arguments.filter	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	true
path-arguments.filter	arguments.filter	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	true
path-arguments.filter	arguments.filter	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	true
path-arguments.len	arguments.len	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	true
path-arguments.len	arguments.len	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	true
path-arguments.len	arguments.len	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	true
path-arguments.len	arguments.len	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	true
path-arguments.map	arguments.map	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	true
path-arguments.map	arguments.map	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	true
path-arguments.map	arguments.map	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	true
path-arguments.map	arguments.map	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	true
path-arguments.named	arguments.named	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	true
path-arguments.named	arguments.named	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	true
path-arguments.named	arguments.named	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	true
path-arguments.named	arguments.named	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	true
path-arguments.pos	arguments.pos	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	true
path-arguments.pos	arguments.pos	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	true
path-arguments.pos	arguments.pos	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	true
path-arguments.pos	arguments.pos	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	true
path-array.all	array.all	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	true
path-array.all	array.all	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	true
path-array.all	array.all	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	true
path-array.all	array.all	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	true
path-array.any	array.any	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	true
path-array.any	array.any	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	true
path-array.any	array.any	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	true
path-array.any	array.any	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	true
path-array.at	array.at	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	true
path-array.at	array.at	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	true
path-array.at	array.at	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	true
path-array.at	array.at	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	true
path-array.chunks	array.chunks	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	true
path-array.chunks	array.chunks	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	true
path-array.chunks	array.chunks	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	true
path-array.chunks	array.chunks	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_COMPLETE_CHANNELS	true	true	principal	00_nucleo/diagnosticos/p1335-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	true
