fixture_id	pair	logical_stops	effective_public_stops	emitted_stops	cap	status
S15-radial-linear-rgb	radial/linear-rgb	8	16	16	64	Preserved
S16-linear-oklab	linear/oklab	4	8	140	64	Violated
S16-radial-oklab	radial/oklab	4	8	140	64	Violated
S16-linear-linear-rgb	linear/linear-rgb	4	8	154	64	Violated
S16-radial-linear-rgb	radial/linear-rgb	4	8	154	64	Violated
S17-linear-oklab	linear/oklab	4	7	35	64	Preserved
S17-radial-oklab	radial/oklab	4	7	35	64	Preserved
S17-linear-linear-rgb	linear/linear-rgb	4	7	47	64	Preserved
S17-radial-linear-rgb	radial/linear-rgb	4	7	47	64	Preserved
S18-linear-oklab	linear/oklab	8	31	31	64	Preserved
S18-radial-oklab	radial/oklab	8	31	31	64	Preserved
S18-linear-linear-rgb	linear/linear-rgb	8	31	31	64	Preserved
S18-radial-linear-rgb	radial/linear-rgb	8	31	31	64	Preserved
S19-linear-oklab	linear/oklab	3	3	20	64	Preserved
S19-radial-oklab	radial/oklab	3	3	20	64	Preserved
S19-linear-linear-rgb	linear/linear-rgb	3	3	30	64	Preserved
S19-radial-linear-rgb	radial/linear-rgb	3	3	30	64	Preserved
S20-linear-oklab	linear/oklab	4	4	63	64	Preserved
S20-radial-oklab	radial/oklab	4	4	63	64	Preserved
S20-linear-linear-rgb	linear/linear-rgb	4	4	70	64	Violated
S20-radial-linear-rgb	radial/linear-rgb	4	4	70	64	Violated
S21-linear-oklab	linear/oklab	4	8	8	64	Preserved
S21-radial-oklab	radial/oklab	4	8	8	64	Preserved
S21-linear-linear-rgb	linear/linear-rgb	4	8	8	64	Preserved
S21-radial-linear-rgb	radial/linear-rgb	4	8	8	64	Preserved
S22-linear-oklab	linear/oklab	16	16	312	64	Violated
S22-radial-oklab	radial/oklab	16	16	312	64	Violated
S22-linear-linear-rgb	linear/linear-rgb	16	16	376	64	Violated
S22-radial-linear-rgb	radial/linear-rgb	16	16	376	64	Violated
S23-linear-oklab	linear/oklab	32	63	159	64	Violated
S23-radial-oklab	radial/oklab	32	63	159	64	Violated
S23-linear-linear-rgb	linear/linear-rgb	32	63	173	64	Violated
S23-radial-linear-rgb	radial/linear-rgb	32	63	173	64	Violated
S24-linear-oklab	linear/oklab	8	31	31	64	Preserved
S24-radial-oklab	radial/oklab	8	31	31	64	Preserved
S24-linear-linear-rgb	linear/linear-rgb	8	31	31	64	Preserved
S24-radial-linear-rgb	radial/linear-rgb	8	31	31	64	Preserved
