pair	fixture_id	role	metric	worst_t	nearest_declared	distance_to_declared	position_class	public_rgb_saturated	public_alpha	error	limit	excess	classification
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	stroke	color_max	0.994140625	1	0.005859375	endpoint-near	false	1	0.020785701026582535	0.020707226000000002	7.8475026582532775e-05	open
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	stroke	alpha_max	0	0	0	declared-boundary	true	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	stroke	color_max	0.9619140625	1	0.0380859375	segment-interior	false	0.96470588235294119	0.0064291359188179929	0.0063989170000000005	3.0218918817992435e-05	open
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	stroke	alpha_max	0.680908203125	0.37	0.310908203125	segment-interior	false	0.69803921568627447	0.0038714800416134176	0.0038700230000000002	1.4570416134174202e-06	open
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	fill	color_max	0.721923828125	1	0.278076171875	segment-interior	false	0.66666666666666663	0.0057530967247766017	0.0057684249999999998	-1.5328275223398108e-05	within-envelope
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	fill	alpha_max	0.70556640625	1	0.29443359375	segment-interior	false	0.68235294117647061	0.0037727532116051954	0.003761412	1.1341211605195387e-05	open
linear/oklab	regression-linear-oklab-base-square-fill	fill	color_max	0.555419921875	0.37	0.185419921875	segment-interior	true	1	0.0077448526051822489	0.0051564920000000004	0.0025883606051822486	open
linear/oklab	regression-linear-oklab-base-square-fill	fill	alpha_max	0	0	0	declared-boundary	true	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
linear/oklab	regression-linear-oklab-two-wide-stroke	stroke	color_max	0.99169921875	1	0.00830078125	endpoint-near	false	1	0.0090719389820204666	0.0089996999999999994	7.2238982020467191e-05	open
linear/oklab	regression-linear-oklab-two-wide-stroke	stroke	alpha_max	0	0	0	declared-boundary	true	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
linear/oklab	regression-linear-oklab-coincident-tall-fill	fill	color_max	0.292236328125	0	0.292236328125	segment-interior	true	1	0.007775225863656479	0.0050832289999999999	0.0026919968636564791	open
linear/oklab	regression-linear-oklab-coincident-tall-fill	fill	alpha_max	0	0	0	declared-boundary	false	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
linear/oklab	regression-linear-oklab-alpha-first-square-fill	fill	color_max	0.555419921875	0.37	0.185419921875	segment-interior	true	1	0.0077448526051822489	0.0057840890000000001	0.0019607636051822488	open
linear/oklab	regression-linear-oklab-alpha-first-square-fill	fill	alpha_max	0.18017578125	0	0.18017578125	segment-interior	false	0.69411764705882351	0.0038503606271529378	0.0038429650000000003	7.3956271529375395e-06	open
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	stroke	color_max	0.55419921875	0.37	0.18419921875	segment-interior	true	0.57647058823529407	0.0073261313215508524	0.0066987620000000005	0.00062736932155085193	open
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	stroke	alpha_max	0.68505859375	1	0.31494140625	segment-interior	true	0.70196078431372544	0.0038632136418942364	0.0038700230000000002	-6.8093581057637742e-06	within-envelope
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	fill	color_max	0.408935546875	0.37	0.038935546875000004	segment-interior	false	0.96470588235294119	0.0065354447830654906	0.0065139180000000005	2.1526783065490065e-05	open
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	fill	alpha_max	0.684814453125	0.37	0.314814453125	segment-interior	true	0.70196078431372544	0.003736770215285623	0.003761412	-2.4641784714376971e-05	within-envelope
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	stroke	color_max	0.994140625	1	0.005859375	endpoint-near	false	1	0.020785701026582535	0.020707226000000002	7.8475026582532775e-05	open
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	stroke	alpha_max	0	0	0	declared-boundary	true	1	0	9.9999999999999995e-07	-9.9999999999999995e-07	no-alpha-divergence
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	stroke	color_max	0.9619140625	1	0.0380859375	segment-interior	false	0.96470588235294119	0.0064291359188179929	0.0063989170000000005	3.0218918817992435e-05	open
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	stroke	alpha_max	0.680908203125	0.37	0.310908203125	segment-interior	false	0.69803921568627447	0.0038714800416134176	0.0038700230000000002	1.4570416134174202e-06	open
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	fill	color_max	0.721923828125	1	0.278076171875	segment-interior	false	0.66666666666666663	0.0057530967247766017	0.0057684249999999998	-1.5328275223398108e-05	within-envelope
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	fill	alpha_max	0.70556640625	1	0.29443359375	segment-interior	false	0.68235294117647061	0.0037727532116051954	0.003761412	1.1341211605195387e-05	open
