fixture_id	mesh	color_max	color_p95	alpha_max	alpha_p95	verdict	vanilla_query_sha256
regression-radial-hsv-alpha-mid-wide-stroke	2048	0.008243012439	0.003936227958	0.003863213641	0.002883207517	fail	29c8d0b055f8597fb8027a4a01e3635b85a0b03edaa10e87dfc950195f391d37
regression-radial-hsv-alpha-mid-wide-stroke	4096	0.008243012439	0.003960686898	0.003871480042	0.002890602566	fail	c38b12fcf9918d24650631e40841ce64e8ecfd0ee7a0b63d40d88046d701b8bd
regression-radial-hsv-base-square-fill	2048	0.010222642324	0.003920353879	0.000000000000	0.000000000000	fail	a85fa2347755fd74e7b203545755709bccb580c466d7c18df7ba138629d15eea
regression-radial-hsv-base-square-fill	4096	0.010222642324	0.003902269571	0.000000000000	0.000000000000	fail	234ade1b46fd697688a36f0d4c667c9a7f9b199ac213fdc0d3229c6988b4a9c5
regression-radial-hsv-coincident-tall-fill	2048	0.006069579655	0.003917737099	0.000000000000	0.000000000000	fail	d22a563eb3dd5838aa8a866308be35ce192edd82c73b0cc5c31b6e131c6a59ab
regression-radial-hsv-coincident-tall-fill	4096	0.006238951812	0.003899185028	0.000000000000	0.000000000000	fail	65c0feb9f9c1ebfc5931f63363460b7cf1f93e407717d2b1e13f52a0e00f4e01
regression-radial-hsv-two-wide-stroke	2048	0.009559609068	0.003900448643	0.000000000000	0.000000000000	pass	37fd7465063aaa73c6633ab1f3b9ea7a1b86a1d7e4174a41f7fee17f57ae73ab
regression-radial-hsv-two-wide-stroke	4096	0.009559609068	0.003921568627	0.000000000000	0.000000000000	pass	5fa8611741597c82eece3ca5a97db26003a2e3a80f649d7fce8c76ba6eae1e8b
regression-radial-srgb-alpha-first-square-fill	2048	0.003620749629	0.002737242500	0.001960780260	0.001691050971	pass	af7fa7ab0533f839db4c105096820401a0909e07fda995119a1a0f7478fffc89
regression-radial-srgb-alpha-first-square-fill	4096	0.003875077871	0.002736000977	0.001960780260	0.001696020287	pass	360efd78103309058f9bb3a844278d41246814e71c47af861e45307c67614d9e
regression-radial-srgb-alpha-last-tall-fill	2048	0.003559218138	0.002630610705	0.001960786695	0.001805413569	pass	bef8e14c72671b8ceb819f163a64df09e7257b60b8fe76d66e608a8dbb2d0f32
regression-radial-srgb-alpha-last-tall-fill	4096	0.003559218138	0.002626945751	0.001960786695	0.001805413569	pass	06c35df06820c9fe5eb72d9da332f8d0a855f16c1580cc16d03088511e47103a
regression-radial-srgb-alpha-mid-wide-stroke	2048	0.004367006111	0.003191356979	0.001960788368	0.001863399540	pass	1d6381370473023a1a522c8a5f25fb2d05768632c8adfed6901e6812ca93e78c
regression-radial-srgb-alpha-mid-wide-stroke	4096	0.004367006111	0.003154925179	0.001960788368	0.001863485428	pass	4f12aa6dd3c281a66d75a2e35ed82383efb87bb1ae2950ec9ed0164598195ab1
regression-radial-srgb-base-square-fill	2048	0.003123687402	0.002734514685	0.000000000000	0.000000000000	pass	915cb8ca1dd1f82e0230faf9cad29ef5e702a119438f52ca8213013c9e154ceb
regression-radial-srgb-base-square-fill	4096	0.003200984017	0.002729823392	0.000000000000	0.000000000000	pass	9f91d0187468915c1b58c0dcb1d37c392c73eced1d1ab0d3d691dad3b43fc204
regression-radial-srgb-coincident-tall-fill	2048	0.003052035300	0.002731887810	0.000000000000	0.000000000000	pass	cc5e36bb9414ba64683e4af74141a870797631241fd57f1b6693f2ff2f896bde
regression-radial-srgb-coincident-tall-fill	4096	0.003097416699	0.002732092478	0.000000000000	0.000000000000	pass	947b144e4a37f393c7b79ef9a2a56d221c3b601be8c0c4446281d8d592e94508
regression-radial-srgb-two-wide-stroke	2048	0.003396178054	0.002731774397	0.000000000000	0.000000000000	pass	a77433636dad1b7157ab52d9464e6ec1d2ab4d62002fe8903753b5a73e8a4221
regression-radial-srgb-two-wide-stroke	4096	0.003396178054	0.002726432616	0.000000000000	0.000000000000	pass	7413bbd040e65f6cf04c35b4e4884a0c0213ed11ec1bd517330ea5095ace5e1f
