probe_id	fixture_id	mesh	side	t	boundary	verdict	value	boundary_delta	alpha_delta	serialized	witness
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B05_U8_QUANTIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	interpolation of emitted quantized endpoints
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B06_CSS_SERIALIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#0074d9|0.4;#0074d9|0.4;u=0
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	exact	1	B07_CSS_REPARSE	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B01_VANILLA_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"				public components().map(repr)
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B02_CRYSTALLINE_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"	0			public components().map(repr)
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B05_U8_QUANTIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	interpolation of emitted quantized endpoints
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B06_CSS_SERIALIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#0074d9|0.4;#0074d9|0.4;u=0
P003	regression-linear-linear-rgb-alpha-last-tall-fill	2048	plus	1	B07_CSS_REPARSE	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B01_VANILLA_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"				public components().map(repr)
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B02_CRYSTALLINE_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"	0			public components().map(repr)
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B05_U8_QUANTIZATION	Measured-output-only	[5.477745677530535e-08,0.4549020354808457,0.8509803323996372,0.40000009461560726]			#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657	interpolation of emitted quantized endpoints
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B06_CSS_SERIALIZATION	Measured-output-only	[5.477745677530535e-08,0.4549020354808457,0.8509803323996372,0.40000009461560726]			#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657	#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	minus	0.99999990000000005	B07_CSS_REPARSE	Measured-output-only	[5.477745677530535e-08,0.4549020354808457,0.8509803323996372,0.40000009461560726]			#0b83cd|0.474509804;#0074d9|0.4;u=0.99999873015895657	#RRGGBB/#RRGGBBAA output parser
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B01_VANILLA_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"				public components().map(repr)
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B02_CRYSTALLINE_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"	0			public components().map(repr)
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B05_U8_QUANTIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	interpolation of emitted quantized endpoints
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B06_CSS_SERIALIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#0074d9|0.4;#0074d9|0.4;u=0
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	exact	1	B07_CSS_REPARSE	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B01_VANILLA_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"				public components().map(repr)
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B02_CRYSTALLINE_SAMPLE	Measured	"[""0%"",""17.46%"",""69.39%"",""40%""]"	0			public components().map(repr)
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B05_U8_QUANTIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	interpolation of emitted quantized endpoints
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B06_CSS_SERIALIZATION	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#0074d9|0.4;#0074d9|0.4;u=0
P004	regression-linear-linear-rgb-alpha-last-tall-fill	4096	plus	1	B07_CSS_REPARSE	Measured-output-only	[0.0,0.4549019607843137,0.8509803921568627,0.4]			#0074d9|0.4;#0074d9|0.4;u=0	#RRGGBB/#RRGGBBAA output parser
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B01_VANILLA_SAMPLE	Measured	"[""2.96%"",""60.25%"",""5.12%"",""40.14%""]"				public components().map(repr)
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B02_CRYSTALLINE_SAMPLE	Measured	"[""2.96%"",""60.25%"",""5.12%"",""40.14%""]"	0			public components().map(repr)
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B05_U8_QUANTIZATION	Measured-output-only	[0.18738822634566946,0.7994169942097563,0.25098039215686274,0.40116601154259207]			#3acb40|0.407843137;#2ecc40|0.4;u=0.85133352348785751	interpolation of emitted quantized endpoints
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B06_CSS_SERIALIZATION	Measured-output-only	[0.18738822634566946,0.7994169942097563,0.25098039215686274,0.40116601154259207]			#3acb40|0.407843137;#2ecc40|0.4;u=0.85133352348785751	#3acb40|0.407843137;#2ecc40|0.4;u=0.85133352348785751
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	minus	0.369140525	B07_CSS_REPARSE	Measured-output-only	[0.18738822634566946,0.7994169942097563,0.25098039215686274,0.40116601154259207]			#3acb40|0.407843137;#2ecc40|0.4;u=0.85133352348785751	#RRGGBB/#RRGGBBAA output parser
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B01_VANILLA_SAMPLE	Measured	"[""2.96%"",""60.25%"",""5.12%"",""40.14%""]"				public components().map(repr)
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B02_CRYSTALLINE_SAMPLE	Measured	"[""2.96%"",""60.25%"",""5.12%"",""40.14%""]"	0			public components().map(repr)
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B05_U8_QUANTIZATION	Measured-output-only	[0.18738741235703876,0.7994170620421422,0.25098039215686274,0.4011658758778247]			#3acb40|0.407843137;#2ecc40|0.4;u=0.8513508207462599	interpolation of emitted quantized endpoints
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B06_CSS_SERIALIZATION	Measured-output-only	[0.18738741235703876,0.7994170620421422,0.25098039215686274,0.4011658758778247]			#3acb40|0.407843137;#2ecc40|0.4;u=0.8513508207462599	#3acb40|0.407843137;#2ecc40|0.4;u=0.8513508207462599
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	exact	0.369140625	B07_CSS_REPARSE	Measured-output-only	[0.18738741235703876,0.7994170620421422,0.25098039215686274,0.4011658758778247]			#3acb40|0.407843137;#2ecc40|0.4;u=0.8513508207462599	#RRGGBB/#RRGGBBAA output parser
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B01_VANILLA_SAMPLE	Measured	"[""2.96%"",""60.25%"",""5.12%"",""40.14%""]"				public components().map(repr)
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B02_CRYSTALLINE_SAMPLE	Measured	"[""2.96%"",""60.25%"",""5.12%"",""40.14%""]"	0			public components().map(repr)
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B05_U8_QUANTIZATION	Measured-output-only	[0.18738659836840804,0.7994171298745281,0.25098039215686274,0.4011657402130573]			#3acb40|0.407843137;#2ecc40|0.4;u=0.85136811800466228	interpolation of emitted quantized endpoints
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B06_CSS_SERIALIZATION	Measured-output-only	[0.18738659836840804,0.7994171298745281,0.25098039215686274,0.4011657402130573]			#3acb40|0.407843137;#2ecc40|0.4;u=0.85136811800466228	#3acb40|0.407843137;#2ecc40|0.4;u=0.85136811800466228
P005	regression-linear-linear-rgb-alpha-mid-wide-stroke	2048	plus	0.369140725	B07_CSS_REPARSE	Measured-output-only	[0.18738659836840804,0.7994171298745281,0.25098039215686274,0.4011657402130573]			#3acb40|0.407843137;#2ecc40|0.4;u=0.85136811800466228	#RRGGBB/#RRGGBBAA output parser
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B01_VANILLA_SAMPLE	Measured	"[""2.89%"",""60.29%"",""5.12%"",""40.1%""]"				public components().map(repr)
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B02_CRYSTALLINE_SAMPLE	Measured	"[""2.89%"",""60.29%"",""5.12%"",""40.1%""]"	0			public components().map(repr)
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B05_U8_QUANTIZATION	Measured-output-only	[0.18540094941531093,0.7995826006206196,0.25098039215686274,0.40083479873163]			#3acb40|0.407843137;#2ecc40|0.4;u=0.89356315825797583	interpolation of emitted quantized endpoints
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B06_CSS_SERIALIZATION	Measured-output-only	[0.18540094941531093,0.7995826006206196,0.25098039215686274,0.40083479873163]			#3acb40|0.407843137;#2ecc40|0.4;u=0.89356315825797583	#3acb40|0.407843137;#2ecc40|0.4;u=0.89356315825797583
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	minus	0.369384665625	B07_CSS_REPARSE	Measured-output-only	[0.18540094941531093,0.7995826006206196,0.25098039215686274,0.40083479873163]			#3acb40|0.407843137;#2ecc40|0.4;u=0.89356315825797583	#RRGGBB/#RRGGBBAA output parser
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B01_VANILLA_SAMPLE	Measured	"[""2.89%"",""60.29%"",""5.12%"",""40.1%""]"				public components().map(repr)
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B02_CRYSTALLINE_SAMPLE	Measured	"[""2.89%"",""60.29%"",""5.12%"",""40.1%""]"	0			public components().map(repr)
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B03_TO_RGBA_F32	Unknown	null				public to-rgba unavailable
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B04_ADAPTIVE_METRIC	Unknown	null				pre-quantized encoded-sRGB tuple unavailable
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B05_U8_QUANTIZATION	Measured-output-only	[0.18540013542668024,0.7995826684530054,0.25098039215686274,0.40083466306686266]			#3acb40|0.407843137;#2ecc40|0.4;u=0.89358045551637821	interpolation of emitted quantized endpoints
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B06_CSS_SERIALIZATION	Measured-output-only	[0.18540013542668024,0.7995826684530054,0.25098039215686274,0.40083466306686266]			#3acb40|0.407843137;#2ecc40|0.4;u=0.89358045551637821	#3acb40|0.407843137;#2ecc40|0.4;u=0.89358045551637821
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	exact	0.369384765625	B07_CSS_REPARSE	Measured-output-only	[0.18540013542668024,0.7995826684530054,0.25098039215686274,0.40083466306686266]			#3acb40|0.407843137;#2ecc40|0.4;u=0.89358045551637821	#RRGGBB/#RRGGBBAA output parser
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	plus	0.369384865625	B01_VANILLA_SAMPLE	Measured	"[""2.89%"",""60.29%"",""5.12%"",""40.1%""]"				public components().map(repr)
P006	regression-linear-linear-rgb-alpha-mid-wide-stroke	4096	plus	0.369384865625	B02_CRYSTALLINE_SAMPLE	Measured	"[""2.89%"",""60.29%"",""5.12%"",""40.1%""]"	0			public components().map(repr)
