pair	scenario	t	hue_delta_deg	non_hue_max	alpha_delta	status
Linear/Hsl	seam-reverse	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsl	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsv	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsv	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsv	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Hsv	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	alpha-first	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-first	0.000001000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	alpha-first	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-first	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Oklch	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	alpha-last	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-last	0.000001000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	alpha-last	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-last	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Oklch	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Oklch	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Oklch	no-wrap	0.250000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	no-wrap	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	no-wrap	0.999999000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-forward	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-forward	0.000001000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-forward	0.250000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-forward	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-forward	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-reverse	0.000001000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-reverse	0.250000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-reverse	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-reverse	0.750000000000	0.0	0.0	0.0	Preserved
Linear/Oklch	seam-reverse	0.999999000000	0.0	1.4901161193847656e-08	0.0	Preserved
Linear/Oklch	seam-reverse	1.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Hsl	alpha-first	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-first	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-first	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsl	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsl	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsl	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsl	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsv	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsv	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsv	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Hsv	seam-reverse	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	alpha-first	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-first	0.000001000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-first	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	alpha-first	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-first	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-first	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Oklch	alpha-first	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	alpha-last	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-last	0.000001000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-last	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	alpha-last	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-last	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	alpha-last	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Oklch	alpha-last	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Oklch	low-chroma	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	no-wrap	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	no-wrap	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Oklch	no-wrap	0.250000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	no-wrap	0.500000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	no-wrap	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	no-wrap	0.999999000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	no-wrap	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-forward	0.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-forward	0.000001000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-forward	0.250000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-forward	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-forward	0.750000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-forward	0.999999000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-forward	1.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-reverse	0.000000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-reverse	0.000001000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-reverse	0.250000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-reverse	0.500000000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-reverse	0.750000000000	0.0	0.0	0.0	Preserved
Radial/Oklch	seam-reverse	0.999999000000	0.0	1.4901161193847656e-08	0.0	Preserved
Radial/Oklch	seam-reverse	1.000000000000	0.0	1.4901161193847656e-08	0.0	Preserved
