fixture_id	pair	seed	mask_svg	mask_svg_sha256	mask_binary	mask_binary_sha256	width	height	positive_pixels	bbox	alpha_digest	derivation	status
S05-linear-oklab	linear/oklab	S05	/tmp/p1268/oracle_v3/masks/S05-linear-oklab.svg	b974125e98167825ae127181739beef853ff75adb431ef6470340f7e85cd31ba	/tmp/p1268/oracle_v3/masks/S05-linear-oklab.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	480	400	31752	93,146,387,254	4888c531b27655ff5300a033ad10aed62af2165d4c2a022f8a9e949a6776ac86	vanilla-graph-solid-paint	Measured
S05-radial-oklab	radial/oklab	S05	/tmp/p1268/oracle_v3/masks/S05-radial-oklab.svg	1db642cc05c1bb029ca7c35d031c79fc2f00433ba195ef213263da2623d20721	/tmp/p1268/oracle_v3/masks/S05-radial-oklab.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	480	400	31752	93,146,387,254	4888c531b27655ff5300a033ad10aed62af2165d4c2a022f8a9e949a6776ac86	vanilla-graph-solid-paint	Measured
S05-linear-linear-rgb	linear/linear-rgb	S05	/tmp/p1268/oracle_v3/masks/S05-linear-linear-rgb.svg	f73dced4724c008f7b4b8668f3d6cc172f060576b021a3ab33182b568b325dea	/tmp/p1268/oracle_v3/masks/S05-linear-linear-rgb.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	480	400	31752	93,146,387,254	4888c531b27655ff5300a033ad10aed62af2165d4c2a022f8a9e949a6776ac86	vanilla-graph-solid-paint	Measured
S05-radial-linear-rgb	radial/linear-rgb	S05	/tmp/p1268/oracle_v3/masks/S05-radial-linear-rgb.svg	3a04bf55ef4be5b5f4af9796fabafcbff890c0e13becda01c337e915157a0f92	/tmp/p1268/oracle_v3/masks/S05-radial-linear-rgb.png	607102c5041cfb9935c9c612abe4caa03ccd2f7cd587dd7315b947c05f8bd8c1	480	400	31752	93,146,387,254	4888c531b27655ff5300a033ad10aed62af2165d4c2a022f8a9e949a6776ac86	vanilla-graph-solid-paint	Measured
S06-linear-oklab	linear/oklab	S06	/tmp/p1268/oracle_v3/masks/S06-linear-oklab.svg	dc72730c13bf0a82819a180143f9f58f43e3b0a4aa288bd95b1b71e7a78290e2	/tmp/p1268/oracle_v3/masks/S06-linear-oklab.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	480	400	9200	198,57,316,362	a76a0c3a104ef28086004a5be191912f809c2ccb4f9e3eb82bcf875075437dbe	vanilla-graph-solid-paint	Measured
S06-radial-oklab	radial/oklab	S06	/tmp/p1268/oracle_v3/masks/S06-radial-oklab.svg	28577c8face2ec9d05279bb70fc391b6b49a1fcca05a65abbcbbddde2a8e7eb4	/tmp/p1268/oracle_v3/masks/S06-radial-oklab.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	480	400	9200	198,57,316,362	a76a0c3a104ef28086004a5be191912f809c2ccb4f9e3eb82bcf875075437dbe	vanilla-graph-solid-paint	Measured
S06-linear-linear-rgb	linear/linear-rgb	S06	/tmp/p1268/oracle_v3/masks/S06-linear-linear-rgb.svg	dac11fb40c5c19b398ee7ba705dd39addbb9796af6aa1b1863aed18ab383fcad	/tmp/p1268/oracle_v3/masks/S06-linear-linear-rgb.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	480	400	9200	198,57,316,362	a76a0c3a104ef28086004a5be191912f809c2ccb4f9e3eb82bcf875075437dbe	vanilla-graph-solid-paint	Measured
S06-radial-linear-rgb	radial/linear-rgb	S06	/tmp/p1268/oracle_v3/masks/S06-radial-linear-rgb.svg	97f3bed3d76c36e22d7ec13e6b7cf6bb45b5a45a2f6018d328d563480cc54625	/tmp/p1268/oracle_v3/masks/S06-radial-linear-rgb.png	0745f912625410d1a482aa2dec6fd4c7710ddf49c4dafde228aa5fafbbeff361	480	400	9200	198,57,316,362	a76a0c3a104ef28086004a5be191912f809c2ccb4f9e3eb82bcf875075437dbe	vanilla-graph-solid-paint	Measured
S07-linear-oklab	linear/oklab	S07	/tmp/p1268/oracle_v3/masks/S07-linear-oklab.svg	aee6a3b4498fd2c6bfb8f41f1385478f032eb47847d0fa018625a4fd7fc49b05	/tmp/p1268/oracle_v3/masks/S07-linear-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S07-radial-oklab	radial/oklab	S07	/tmp/p1268/oracle_v3/masks/S07-radial-oklab.svg	0fbccb482918167cdf8be6c8a15b457111b3a450bf94d1d696b4da3cbfe5bdd1	/tmp/p1268/oracle_v3/masks/S07-radial-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S07-linear-linear-rgb	linear/linear-rgb	S07	/tmp/p1268/oracle_v3/masks/S07-linear-linear-rgb.svg	19d2598e6b03801df5d4e3e32fbf6bf704c5977fd91cfc9761521095662100e1	/tmp/p1268/oracle_v3/masks/S07-linear-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S07-radial-linear-rgb	radial/linear-rgb	S07	/tmp/p1268/oracle_v3/masks/S07-radial-linear-rgb.svg	a10c54828353ca665899e449c5b9176dc5ef7aa2170210f3248294781432570c	/tmp/p1268/oracle_v3/masks/S07-radial-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S08-linear-oklab	linear/oklab	S08	/tmp/p1268/oracle_v3/masks/S08-linear-oklab.svg	9fdde78463989d06863bbdddbf85f7400874052340e3797f6cf82a7264464522	/tmp/p1268/oracle_v3/masks/S08-linear-oklab.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	480	400	8800	181,48,299,352	bba8270c9d614233aba0981f211b782d6a7d7b9a752d614ea5f1d2348a828be0	vanilla-graph-solid-paint	Measured
S08-radial-oklab	radial/oklab	S08	/tmp/p1268/oracle_v3/masks/S08-radial-oklab.svg	70bd0af0a22ad0d876dcc63a6b252a4c4f5f2cbd695426bbea84dc01b7a19c1c	/tmp/p1268/oracle_v3/masks/S08-radial-oklab.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	480	400	8800	181,48,299,352	bba8270c9d614233aba0981f211b782d6a7d7b9a752d614ea5f1d2348a828be0	vanilla-graph-solid-paint	Measured
S08-linear-linear-rgb	linear/linear-rgb	S08	/tmp/p1268/oracle_v3/masks/S08-linear-linear-rgb.svg	84f3cb30d5802a46aa61d3096b393eec924bb160b9184b09a45ce7c126c4f7ce	/tmp/p1268/oracle_v3/masks/S08-linear-linear-rgb.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	480	400	8800	181,48,299,352	bba8270c9d614233aba0981f211b782d6a7d7b9a752d614ea5f1d2348a828be0	vanilla-graph-solid-paint	Measured
S08-radial-linear-rgb	radial/linear-rgb	S08	/tmp/p1268/oracle_v3/masks/S08-radial-linear-rgb.svg	a1d2514eb4fdd9e6eeac3ba88bbee49a2c066f946a0d874d2e661cc6771449b9	/tmp/p1268/oracle_v3/masks/S08-radial-linear-rgb.png	4a528b084bfbddf5a741ba36257a12764f7ab45b7faab728c78589730bc0d910	480	400	8800	181,48,299,352	bba8270c9d614233aba0981f211b782d6a7d7b9a752d614ea5f1d2348a828be0	vanilla-graph-solid-paint	Measured
S09-linear-oklab	linear/oklab	S09	/tmp/p1268/oracle_v3/masks/S09-linear-oklab.svg	a4974948d50098d222daab356f1b0319c4b95b0a5604e4e5919cd92ef9247c47	/tmp/p1268/oracle_v3/masks/S09-linear-oklab.png	4a743a3c1c77229378bb42ecd019913590da42b4c6b91ddeccc7eb66e768a596	480	400	21600	213,0,267,400	301e12ca2846bb264428eb2ae31cf4411e22c03dcea7528788f77057cfec10ed	vanilla-graph-solid-paint	Measured
S09-radial-oklab	radial/oklab	S09	/tmp/p1268/oracle_v3/masks/S09-radial-oklab.svg	5ec730f32f7b2761ffafb185b1267d8e548b5a046fea927590c4a0db6aac2df2	/tmp/p1268/oracle_v3/masks/S09-radial-oklab.png	4a743a3c1c77229378bb42ecd019913590da42b4c6b91ddeccc7eb66e768a596	480	400	21600	213,0,267,400	301e12ca2846bb264428eb2ae31cf4411e22c03dcea7528788f77057cfec10ed	vanilla-graph-solid-paint	Measured
S09-linear-linear-rgb	linear/linear-rgb	S09	/tmp/p1268/oracle_v3/masks/S09-linear-linear-rgb.svg	290b85939b466db871dd560a786cde04ba58db6040028091383171e95108f2f6	/tmp/p1268/oracle_v3/masks/S09-linear-linear-rgb.png	4a743a3c1c77229378bb42ecd019913590da42b4c6b91ddeccc7eb66e768a596	480	400	21600	213,0,267,400	301e12ca2846bb264428eb2ae31cf4411e22c03dcea7528788f77057cfec10ed	vanilla-graph-solid-paint	Measured
S09-radial-linear-rgb	radial/linear-rgb	S09	/tmp/p1268/oracle_v3/masks/S09-radial-linear-rgb.svg	2686b6e955655db97db91accc004d743f31ee560822b887d57a7feda067b645b	/tmp/p1268/oracle_v3/masks/S09-radial-linear-rgb.png	4a743a3c1c77229378bb42ecd019913590da42b4c6b91ddeccc7eb66e768a596	480	400	21600	213,0,267,400	301e12ca2846bb264428eb2ae31cf4411e22c03dcea7528788f77057cfec10ed	vanilla-graph-solid-paint	Measured
S10-linear-oklab	linear/oklab	S10	/tmp/p1268/oracle_v3/masks/S10-linear-oklab.svg	5b4a8620da9c20bb03765f9023f6ed42517559f9870f79534d102946ed4d7cf6	/tmp/p1268/oracle_v3/masks/S10-linear-oklab.png	af9276a338633b5ef10e2f09a8da5e764a01d6b80c63119992a212fb97a1059a	480	400	7609	154,98,326,302	82a56172c8045505ecb7cfa07e48f22d669e5b845238dc6f3d28ded160437804	vanilla-graph-solid-paint	Measured
S10-radial-oklab	radial/oklab	S10	/tmp/p1268/oracle_v3/masks/S10-radial-oklab.svg	edf090b986bb8baaca8147feddd5bbf98f2bfb3414aa3496ebbf6fbde2a965be	/tmp/p1268/oracle_v3/masks/S10-radial-oklab.png	af9276a338633b5ef10e2f09a8da5e764a01d6b80c63119992a212fb97a1059a	480	400	7609	154,98,326,302	82a56172c8045505ecb7cfa07e48f22d669e5b845238dc6f3d28ded160437804	vanilla-graph-solid-paint	Measured
S10-linear-linear-rgb	linear/linear-rgb	S10	/tmp/p1268/oracle_v3/masks/S10-linear-linear-rgb.svg	7e3d00dad2ed1c72f262a1f10f7fb453190691344e4f6fc4eaa0d2584b53d4f1	/tmp/p1268/oracle_v3/masks/S10-linear-linear-rgb.png	af9276a338633b5ef10e2f09a8da5e764a01d6b80c63119992a212fb97a1059a	480	400	7609	154,98,326,302	82a56172c8045505ecb7cfa07e48f22d669e5b845238dc6f3d28ded160437804	vanilla-graph-solid-paint	Measured
S10-radial-linear-rgb	radial/linear-rgb	S10	/tmp/p1268/oracle_v3/masks/S10-radial-linear-rgb.svg	7c67f9a67c09dddd666abfdec5ccc6d106a82cbb1c4c2684d71cb879119a2af2	/tmp/p1268/oracle_v3/masks/S10-radial-linear-rgb.png	af9276a338633b5ef10e2f09a8da5e764a01d6b80c63119992a212fb97a1059a	480	400	7609	154,98,326,302	82a56172c8045505ecb7cfa07e48f22d669e5b845238dc6f3d28ded160437804	vanilla-graph-solid-paint	Measured
S11-linear-oklab	linear/oklab	S11	/tmp/p1268/oracle_v3/masks/S11-linear-oklab.svg	11ff3b67a8e1590f3a57bd0eab84e26596552f6b0181afbc8c31f8f5429192c0	/tmp/p1268/oracle_v3/masks/S11-linear-oklab.png	39fc1032420cfc6a4bc3224d1ba3977d3cd7cd18718fd7c1273ea55082b85dcb	480	400	31807	87,75,393,325	f9f36628baf2e4ecf843a1345c4dc74bcf3ff94627fe50a3baf4b44a8b1c0f38	vanilla-graph-solid-paint	Measured
S11-radial-oklab	radial/oklab	S11	/tmp/p1268/oracle_v3/masks/S11-radial-oklab.svg	431909b72183b35d664baf71d50a76f5db63752fb45bf3508d5b0010deaf4312	/tmp/p1268/oracle_v3/masks/S11-radial-oklab.png	39fc1032420cfc6a4bc3224d1ba3977d3cd7cd18718fd7c1273ea55082b85dcb	480	400	31807	87,75,393,325	f9f36628baf2e4ecf843a1345c4dc74bcf3ff94627fe50a3baf4b44a8b1c0f38	vanilla-graph-solid-paint	Measured
S11-linear-linear-rgb	linear/linear-rgb	S11	/tmp/p1268/oracle_v3/masks/S11-linear-linear-rgb.svg	3a8d15a6e07492e4e34e6244f0e0e36ea12233354a58c13add2981377e469fa9	/tmp/p1268/oracle_v3/masks/S11-linear-linear-rgb.png	39fc1032420cfc6a4bc3224d1ba3977d3cd7cd18718fd7c1273ea55082b85dcb	480	400	31807	87,75,393,325	f9f36628baf2e4ecf843a1345c4dc74bcf3ff94627fe50a3baf4b44a8b1c0f38	vanilla-graph-solid-paint	Measured
S11-radial-linear-rgb	radial/linear-rgb	S11	/tmp/p1268/oracle_v3/masks/S11-radial-linear-rgb.svg	bfadacbb983072a3d8a373bcf71716bee4e754c0b0bb12bfa8002494976f4087	/tmp/p1268/oracle_v3/masks/S11-radial-linear-rgb.png	39fc1032420cfc6a4bc3224d1ba3977d3cd7cd18718fd7c1273ea55082b85dcb	480	400	31807	87,75,393,325	f9f36628baf2e4ecf843a1345c4dc74bcf3ff94627fe50a3baf4b44a8b1c0f38	vanilla-graph-solid-paint	Measured
S12-linear-oklab	linear/oklab	S12	/tmp/p1268/oracle_v3/masks/S12-linear-oklab.svg	5c76fb2aa8ec55c753b826e907db61c1510842a1217694d2c4334cf54ded3a93	/tmp/p1268/oracle_v3/masks/S12-linear-oklab.png	8fd0b31010d2ccc71677e90ec9a84e0454fc26906bf3aa151edd2a339210334b	480	400	8609	128,72,352,328	157bc1c76ca0cb63989f77a56aef73c187d438fb61c5078b4302e1e87ffbda8c	vanilla-graph-solid-paint	Measured
S12-radial-oklab	radial/oklab	S12	/tmp/p1268/oracle_v3/masks/S12-radial-oklab.svg	7a1120e37aa838ad685f78204c5b300c419c2b7c5365afbb17ceaa664a0d2709	/tmp/p1268/oracle_v3/masks/S12-radial-oklab.png	8fd0b31010d2ccc71677e90ec9a84e0454fc26906bf3aa151edd2a339210334b	480	400	8609	128,72,352,328	157bc1c76ca0cb63989f77a56aef73c187d438fb61c5078b4302e1e87ffbda8c	vanilla-graph-solid-paint	Measured
S12-linear-linear-rgb	linear/linear-rgb	S12	/tmp/p1268/oracle_v3/masks/S12-linear-linear-rgb.svg	ec7cdacb1e83b47ff845a5b63a57c52ae340ccf9ce19dcf6538c76b48d15ea61	/tmp/p1268/oracle_v3/masks/S12-linear-linear-rgb.png	8fd0b31010d2ccc71677e90ec9a84e0454fc26906bf3aa151edd2a339210334b	480	400	8609	128,72,352,328	157bc1c76ca0cb63989f77a56aef73c187d438fb61c5078b4302e1e87ffbda8c	vanilla-graph-solid-paint	Measured
S12-radial-linear-rgb	radial/linear-rgb	S12	/tmp/p1268/oracle_v3/masks/S12-radial-linear-rgb.svg	25437cd779cc768dd77b217f4dd4f82968f8655b272737e67632379da1677c1e	/tmp/p1268/oracle_v3/masks/S12-radial-linear-rgb.png	8fd0b31010d2ccc71677e90ec9a84e0454fc26906bf3aa151edd2a339210334b	480	400	8609	128,72,352,328	157bc1c76ca0cb63989f77a56aef73c187d438fb61c5078b4302e1e87ffbda8c	vanilla-graph-solid-paint	Measured
S13-linear-oklab	linear/oklab	S13	/tmp/p1268/oracle_v3/masks/S13-linear-oklab.svg	e022b95200bd35c89f31b3d03fa9c3bb3db32280c436756d4630ce3007eaf413	/tmp/p1268/oracle_v3/masks/S13-linear-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S13-radial-oklab	radial/oklab	S13	/tmp/p1268/oracle_v3/masks/S13-radial-oklab.svg	9f7a43c6baf780db889b057e63b80604cc635ecc021d6b52ce01e06c9864b8fd	/tmp/p1268/oracle_v3/masks/S13-radial-oklab.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S13-linear-linear-rgb	linear/linear-rgb	S13	/tmp/p1268/oracle_v3/masks/S13-linear-linear-rgb.svg	ca02ea1863e03b989c2b317339a1a3f74f584f23368296cd8ecd61bb392d5ed2	/tmp/p1268/oracle_v3/masks/S13-linear-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S13-radial-linear-rgb	radial/linear-rgb	S13	/tmp/p1268/oracle_v3/masks/S13-radial-linear-rgb.svg	9f944d57f48fef79ab774f2b1970617c38ec904895acf857cdf2d53733f003bc	/tmp/p1268/oracle_v3/masks/S13-radial-linear-rgb.png	4c8f81592123b9ea9f54171060e3819d6ad455b0d7fda97eb9922cd2a32c73b0	480	400	25600	160,120,320,280	d2d29d2199738faf550e081164c5a2dfe4cf8e99d01335159f24e4156105dbaa	vanilla-graph-solid-paint	Measured
S14-linear-oklab	linear/oklab	S14	/tmp/p1268/oracle_v3/masks/S14-linear-oklab.svg	d386c4ee6584092e7abe48254643a5d18525691f7c2491a1518c9444df00302b	/tmp/p1268/oracle_v3/masks/S14-linear-oklab.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
S14-radial-oklab	radial/oklab	S14	/tmp/p1268/oracle_v3/masks/S14-radial-oklab.svg	33ad22e887acc1007b5d975de3a9f1f7fd6eb9710e8305cadb62c425123e3c72	/tmp/p1268/oracle_v3/masks/S14-radial-oklab.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
S14-linear-linear-rgb	linear/linear-rgb	S14	/tmp/p1268/oracle_v3/masks/S14-linear-linear-rgb.svg	c148486061001980f11395901e86db014780a1c59e888092a6c845adb0bf8a61	/tmp/p1268/oracle_v3/masks/S14-linear-linear-rgb.png	6ac94647ac4a15c5122471191eb81bbddca9ceda0d4ce7db272c0ae1031b00ff	480	400	9585	83,61,397,339	304d1d1ae2cdf9665035f4a7f203647ef3dbe78311a1566bd477fec125e58858	vanilla-graph-solid-paint	Measured
