fixture_id	pair	fallback_markers	variant_nodes	status
S15-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S15-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S15-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S15-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S16-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S16-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S16-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S16-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S17-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S17-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S17-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S17-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S18-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S18-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S18-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S18-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S19-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S19-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S19-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S19-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S20-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S20-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S20-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S20-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S21-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S21-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S21-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S21-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S22-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S22-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S22-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S22-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S23-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S23-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S23-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S23-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
S24-linear-oklab	linear/oklab	0	1	PROMOTED-PRESERVED
S24-radial-oklab	radial/oklab	0	1	PROMOTED-PRESERVED
S24-linear-linear-rgb	linear/linear-rgb	0	1	PROMOTED-PRESERVED
S24-radial-linear-rgb	radial/linear-rgb	0	1	PROMOTED-PRESERVED
