fixture_id	pair	seed	logical_stops	public_constructor_stops	operation	anti_alias	role	transform	box	source_sha256	expression_sha256
S03-radial-luma	radial/luma	S03	4	4	constructor	true	fill	scale-2x-0.5	tall	49804e07aff70027b304f7522000d2e7d265649fc8f5a97248284686e50f16fe	abdc8b95a53129d30efbb6cbbdc4e46307cf0a6311d34623042cd0a7efa51d20
S04-linear-oklch	linear/oklch	S04	8	8	constructor	true	stroke	skew-x17	square	2509ffd49d2d294c9a7de48ebc32752a5221e93e683f1b43b603eddf5769166b	4b28084d5f5fcfc796d7102dc30b968b2f6b5822f2c0930ae59379253ca6a05d
S04-radial-oklch	radial/oklch	S04	8	8	constructor	true	stroke	skew-x17	square	8079d3479d54da98ad0c3a457cdde82c4af0b8bb090889db329f1a96e47f103d	e625d0f33fb845318db3768a7f070990244f0a88eee843e7bd7479bd288f4bda
S04-linear-hsl	linear/hsl	S04	8	8	constructor	true	stroke	skew-x17	square	3c2cd355f0fc781be34281968ce053147922a5a79fc366c96b5061464d34c40c	da0dee0422a36db3982d0f1243c18c8dbc18440ddf6d46e8c8a088c0d44d2d04
S04-radial-hsl	radial/hsl	S04	8	8	constructor	true	stroke	skew-x17	square	2ec386b1cd13c12f19f861ecbb4209fb910df5b2fa3824df1a7ac4562f87c2d8	3dd058e403b8a891a5b18e074310e249d09f0c537ba79cde0f0de9da5a911f29
S04-linear-hsv	linear/hsv	S04	8	8	constructor	true	stroke	skew-x17	square	814669e0583d814127197b774ce3cedae2a36126c9f57a0fcc3276685df4ac86	f8dd42f8d1dc538416905d6ae73850de46dcd57ceb9afe464dcf4df02b1389bd
S04-radial-hsv	radial/hsv	S04	8	8	constructor	true	stroke	skew-x17	square	99377a17f46ab98bf95fd578f8a12a18bd4cb200097e7070129f93d6d0bfc445	435b10c904f64dc3eaf0e55b6e99d0dd0578af8be6a1e45cae163227a75c96e7
S04-linear-luma	linear/luma	S04	8	8	constructor	true	stroke	skew-x17	square	c794905dc3d3e9a9665ac1aa1bcb70e730f93b5451da54f8d4903e28e3890023	c23138294b60e87c28a73a6ecdc2ca3c4773c1bd2d7961b001891bc36dce4b8c
S04-radial-luma	radial/luma	S04	8	8	constructor	true	stroke	skew-x17	square	7608f9925c8b290b5800200add13dd92e513863e5a0948c234243368cf27cd0e	326ee4f92787cd327728438cd5d0d69f76daad9b804a834dbcc3c1c1bdb11196
S05-linear-oklch	linear/oklch	S05	16	16	constructor	true	fill	reflect-x	wide	d2cefb40737f5f86d3812c70f1c4c906861b7b3fcb3692810cf1881c2ad73886	2606659496de40253bbf8a098afd9160ede48fa321eab3f618b42bfddf5f1b9d
S05-radial-oklch	radial/oklch	S05	16	16	constructor	true	fill	reflect-x	wide	eb7e6ea1fe7352123cfb63a43966042f6e1cf58124703a59e01cbe4faa7be754	defc8e7d812fe9fcf4f0b033472c247d8513f0551df694ac044a89500cb3a29a
S05-linear-hsl	linear/hsl	S05	16	16	constructor	true	fill	reflect-x	wide	ac919f26de7c3f5f588eef9789ab7809d1de5da7150cec04503dfe9602e6f74e	5da68cf926f75299557eb946f7745c82fb317e6f22e5b51dbc1a64b4c14928ff
S05-radial-hsl	radial/hsl	S05	16	16	constructor	true	fill	reflect-x	wide	2f7c4c6484d35d4230808961cc18118ac392a90034311508cbd75e9ff837e398	34abaa99df278187d4498584e6bf4aa89b5ea9598bc5a982d8d19b78d09e43fa
S05-linear-hsv	linear/hsv	S05	16	16	constructor	true	fill	reflect-x	wide	94717c8289c1c5d25a1b862e2e102c95fe59428a3fff5201b6a60f838c507dc8	4c473ef4ce6267b2c45a57850b10d149c43ae0c2259ab274c755c74f07384041
S05-radial-hsv	radial/hsv	S05	16	16	constructor	true	fill	reflect-x	wide	fd8b56b3b81704e045e6c14fb7a1c9237ebb771e717f4aa91712f96808c189b8	9d11ad90be2721d885876eec302b39df493b454d6eef6ea71dcc61e4698de9cd
S05-linear-luma	linear/luma	S05	16	16	constructor	true	fill	reflect-x	wide	d9fd9fbfee38b30f4741ea89d915baee00aca066aae7812048387ee79c36642d	93f08f95c17184035b943c1a72211bc23834e5f13a1c35d7b22e68d1e010fbfb
S05-radial-luma	radial/luma	S05	16	16	constructor	true	fill	reflect-x	wide	4a6851e8fe806ed38cbde165fd6d86662e39ba1da5bda4e33c85573be799d7a8	313de98202d81ff60fcd970363ae7b2702a0c0cacf46d7d44aa5e20d315259e6
S06-linear-oklch	linear/oklch	S06	32	32	constructor	true	stroke	translate-13-7	tall	b73f97edfb0ca075d0b4c197632af1a602635376a46722bb94def7366f1088fb	ab04315d3d25691dcf60542735b4db7e73c7900f9d4860ed71c1cb43edc94bc8
S06-radial-oklch	radial/oklch	S06	32	32	constructor	true	stroke	translate-13-7	tall	b623674b75d86f54e67f797c195442bb4ee4eaff32c533c0124180964607ed80	25f4d664ef85c4c183185bff455e394bd3ce7ea9fe5a0cae34bbe320939cf48a
S06-linear-hsl	linear/hsl	S06	32	32	constructor	true	stroke	translate-13-7	tall	85d0b30d17a8ba7313b8d29daaa8b5e20b06d93d3f4fff17b289d2f734f1cd71	fe2d744d87326cd5813f9cf252c3be7957cb65fcc9b23b9f9eb23b5c77b03cf5
S06-radial-hsl	radial/hsl	S06	32	32	constructor	true	stroke	translate-13-7	tall	da051bb32d9acffa58165d824d990c1de80307029ecd6ec30b94ef5ed3d36de6	3b3d0ade7216e222f1dde24789f63600af74a03112ee6dd42b702476de29c902
S06-linear-hsv	linear/hsv	S06	32	32	constructor	true	stroke	translate-13-7	tall	61e4f16e630a64248d49942c0aeaf6ddcb9652ef2160075545d3519b1f865bdc	5e03e999a21da3b724b8d24f04f79aff9e8151c6a2377fae0e93e2a985ddfcca
S06-radial-hsv	radial/hsv	S06	32	32	constructor	true	stroke	translate-13-7	tall	e2485f7c727e1ac895d1e34b292fc1788aa35e0c190700e2e6c9f28f0e6ce2b7	a8dbfeb184c99a682a34719bdece4f066e81ca74e6447f9552a3007384c860f9
S06-linear-luma	linear/luma	S06	32	32	constructor	true	stroke	translate-13-7	tall	586b0543fc1e9854af75dfc16bd7df8b6978325eb0657e3b397240c1572d3aaf	b003c2fcf6e0a01317352a548bd8874386e370828369a3f99cbf369e1a40aa11
S06-radial-luma	radial/luma	S06	32	32	constructor	true	stroke	translate-13-7	tall	a07bb5a22723e46497acf2fac8e0e352d04032b154c277f41d050ca17633f243	89a741022759cd5e5b6d4ea1ca25194f70b95c89dba37ac6f05b9551619f560b
S07-linear-oklch	linear/oklch	S07	2	3	constructor	true	fill	identity	square	8f5d729edb8ffc4db01cc616df67e9e383d1597e9c57ed0fbccbabf777e70a0f	484b3cf80bf681ba0e79564bb21164b8bdf68d64a4fa07ed9088a27633c8e4ab
S07-radial-oklch	radial/oklch	S07	2	3	constructor	true	fill	identity	square	f1ca44ee0f99e9ef1003618137fa60710c8ffbbcfdfad94929542d458eb8c8d2	8c110acb3198b446b3e9c18fbe4a1dfc8d08f56289ff508337ea87f7e5229ee3
S07-linear-hsl	linear/hsl	S07	2	3	constructor	true	fill	identity	square	e92465eacc8fa7200ce30e75acfdafd911e139b7afb33831d0f196ff23da6c5a	01554d0d99e6da0a70b24e536420e75581a137d800452dc9280c569328b690c2
S07-radial-hsl	radial/hsl	S07	2	3	constructor	true	fill	identity	square	6d7555914583e01108adfdeb1a2b5c411cf4b4b5d674550e612bbcd5b8e51e85	605d429c2a6dcf900605c00ff5fc4572f8ec73901ef223c24bf93ade7a2409dd
S07-linear-hsv	linear/hsv	S07	2	3	constructor	true	fill	identity	square	af16656d617adb114210cca879114322a1716d7aebe4433d1a3e0809d39a07cc	0092cb3217e4e6c0de3e2d5711645b30458bc55ef8c56cf6c907c317c0f72766
S07-radial-hsv	radial/hsv	S07	2	3	constructor	true	fill	identity	square	7ba5ce02265bc2bdb18caa5a313c7c006b74baf3d1fee3df488c2b5063e6aa05	29095a6e082ff7a16c5b2057062cd3d011c4be28f0ddbb0e973021e5fa108d22
S07-linear-luma	linear/luma	S07	2	3	constructor	true	fill	identity	square	ca9aa4ded11afdc7c2a713fa5d736ede392ca4cd12a2311b453c25da252f843b	bd157239ef314285183eb056ccdc83e77979fb0af1057cb5e3945011b35c84fe
S07-radial-luma	radial/luma	S07	2	3	constructor	true	fill	identity	square	c68000ad75b63dcfe9361406dd4a4f45c75089e495e186dfcdbc66249265a118	f0a6c46b0a6ec1b431b9a371a5ab2503512ec96120dee2bfa410186810065a0d
S08-linear-oklch	linear/oklch	S08	3	4	constructor	true	stroke	rotate90	wide	74a5ec5f03677d65a4be57014bf06bf62d5c8fca93e4fb4d207b9ec7a7e701ed	b5d48cead90e92eb7f2f610b301f3e12e0e4a0e027c90c8031ec05dd36d37b78
S08-radial-oklch	radial/oklch	S08	3	4	constructor	true	stroke	rotate90	wide	408b271289119cb5c8df074e1de43039a36aaf547d54138081f586eb8b4ac02c	8dd777159a242bf5e09f611472dff173883ec68db51da6ae0e479687cf0182e4
S08-linear-hsl	linear/hsl	S08	3	4	constructor	true	stroke	rotate90	wide	78fe19dade7cd7a01b1b9329259d0396f962e30c0d324ff575a16a3c3a392231	a87c8fcee4b73c50d6e83539ea3b9a4d1c3601887a3f103af679422a94747660
S08-radial-hsl	radial/hsl	S08	3	4	constructor	true	stroke	rotate90	wide	49fbaf94b9c9225da772b3a41f1337d643aa2adf2958c3b92aad4823d07a0777	efe7883bd951ba6a2c07068c499fd24c58a6cfff35b91e4e43b24c3a73b7c5dd
S08-linear-hsv	linear/hsv	S08	3	4	constructor	true	stroke	rotate90	wide	e31363c829b3686420d8d9b6e6ad8632043ecfafc5488bc3b7e852d1e8808a9e	82ca816732d9f89e6a6e63257137d79d281ed95f302fa4a0f2e61ee137675666
S08-radial-hsv	radial/hsv	S08	3	4	constructor	true	stroke	rotate90	wide	6a28bc5c4fa0767fa87baa8497fa05f7d59834790c3a69bc5351d81823f24c3f	d866d355e6c8ed7e7993b9de7eec3d69c0b7baa386fc7ec06bb815a80f242f3b
S08-linear-luma	linear/luma	S08	3	4	constructor	true	stroke	rotate90	wide	2d15e6f81428ef1bfc7d66ac3ca13aef382c7c776c6896c489b80047e5a986dc	f0e567645ec0b177ee8aabc433593be61e3a64bb31c03658c65c3159a686e795
S08-radial-luma	radial/luma	S08	3	4	constructor	true	stroke	rotate90	wide	953a10b349f96288723de6f5e4e16af3f8a88008c26f89c9f36e6fb566ddbbe0	8258077e7bcf4f9dad4dd0c284510c4bdaa4ba3aee3b5d4dcd3cb05d03680ce3
S09-linear-oklch	linear/oklch	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	dfc373069f692d774fd19af2c26947726e748a02da62cbffd6f3b52078746ee5	a886b4d389fddbd506fc022db304dc1a82762a0f7da592c32127ad65df3d8dac
S09-radial-oklch	radial/oklch	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	b8c3a2643574f5303fda8a204d33b7c4f796de94709b8790aefb4cada155ea64	789b80b52c2c9ef727d6569fb8f66b11020d29ca530839f0326df43ff0ee8234
S09-linear-hsl	linear/hsl	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	36d2f431e93d8e97779aac6f1b52b663436a076c65f61ea2346608a1cbf1b7f0	5c0742557d36b710f8c3f82aa352fb8e6a7d13f66ffe098c512ce047f1d994ba
S09-radial-hsl	radial/hsl	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	e09d54ef431be61f27d3a74038b51132ea9aede04df3017106085aa1169165d3	f82ed5c88b41509c1ef04a1d7a81d74c26ce972eb2e6c7e7db77eb90f2375c8e
S09-linear-hsv	linear/hsv	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	024cd73cadaecc1b260ad1c8569240d9df327518461fae4db8098c168f62effc	e5767600ee7f0b6693a12fecea6eeb81550cbdb3ba3cc6aca3a85ca0ccd0d308
S09-radial-hsv	radial/hsv	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	b229e10774faf1bd68290581ba4ee6522beb36293b5cdcc0089c4b404906227b	3420f6960e3b9c531c33c4265f7a800888083f692ec0bed62f32980772dc76f1
S09-linear-luma	linear/luma	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	86af45b98390faed7501fed95eda850503f4802b1cdef05dc6d12754da173406	fd3ac4f319ca4da24a5fc2d06534b88da965bb2df676b46f51e8b12b1e1b98fe
S09-radial-luma	radial/luma	S09	4	5	constructor	true	fill	scale-0.5x-2	tall	919b6bfc479b492cfb68eabe55ba8a50ecfa677714ef7ae2ce2ff57de75446d8	1c26f3bef9a59a4ccafa05f6d1e2b01d19521c6f30b59411008a22492f165f96
S10-linear-oklch	linear/oklch	S10	8	8	constructor	true	stroke	skew-y-11	square	417a8bfb877bbc846374e05265efe862e0b1eab5ab55e891c7d7a1b251831a4e	fd6bd35082a620454c997fb8c55b281a263a51477a7ccffb8859ac85b4430b0b
S10-radial-oklch	radial/oklch	S10	8	8	constructor	true	stroke	skew-y-11	square	6e93f1bfe485d11e7e6a6bba04d53a5ae67c23f16e5d55c8d2c941c889feb003	8f150c1778e1ffcfdc2e6480048587c9331eaa14b25b273da2657b2b646610bb
S10-linear-hsl	linear/hsl	S10	8	8	constructor	true	stroke	skew-y-11	square	8e29bdd67f1bb09d7335f7ae806df10da2a8f13e6c510245157e47e199510f74	35fa5a8906489ef90844d2786eed59408faab6de727f799feb076c38ffb816ae
S10-radial-hsl	radial/hsl	S10	8	8	constructor	true	stroke	skew-y-11	square	1f2c5ce1a0cea3b2338ce918245489fe2a6ef53d972f60b3a13be43721040206	1cc3138b049ec9c60c380937a366ad80957b7037e8a55247a0c756dba6170a5b
S10-linear-hsv	linear/hsv	S10	8	8	constructor	true	stroke	skew-y-11	square	4c065f772b114513b376a7287a96fb6d076694740793a1541b5bd9fe3d83a617	c5d3eef5ecd2598011fdceef31e8c52a3d856d24b1930a894e8d59b51abb0fb5
S10-radial-hsv	radial/hsv	S10	8	8	constructor	true	stroke	skew-y-11	square	40ef6594bd3c6c2f3f303ff52a69d367bb20079c830e6584dfb1b4f93c189eb0	83abf43962ff3ab539fc37f93ad59509ef917c953d35447f7f3489aa7faf09ba
S10-linear-luma	linear/luma	S10	8	8	constructor	true	stroke	skew-y-11	square	fe51e96bd1a8c13b074befc0f85c65012cc0aee58a26a829f2de4cb5b246bd40	cb1f980b5b63c62d8863fbeb71238546b4a4de777e9cbb395e9bad1938a4684a
S10-radial-luma	radial/luma	S10	8	8	constructor	true	stroke	skew-y-11	square	054588a1bb2fc8feff589cd75dba9386288303c663158e0deb561c0b1c9b588e	d79fb15b66bc6b01eeeceefb81153d7a857f96d5a6a5db755c379d3875b30421
S11-linear-oklch	linear/oklch	S11	16	16	constructor	true	fill	rotate-33	wide	e67b7059499fd5e8e2e461e9ce3481e45ddceb45b0ef2b2ff1227c786257bc2f	34e414129acafae3dd29af5c661f2dd1e70e47d72a3a55757839c2441899b86e
S11-radial-oklch	radial/oklch	S11	16	16	constructor	true	fill	rotate-33	wide	64a9ed362269b79b6cff5ecf98d7db66dec54874bb1c4884f7861b5ffbc06b1d	3a723ade1a2685b06a3ed220d86a74c0fadd849d6e420060afe05ba9b39dbb27
S11-linear-hsl	linear/hsl	S11	16	16	constructor	true	fill	rotate-33	wide	07e7d0658828884fb91f357e3a0cacbfcd2f79e9bf4f279099e2faab886b3964	41b521f3e6d9ac543b575ab1429fbba49164bdb4486b5f4d79af2a81e3fd4e77
S11-radial-hsl	radial/hsl	S11	16	16	constructor	true	fill	rotate-33	wide	987d6a5fd69358ade492843f5e13aba88a0b1cd17201ee0f21f878a398d5c78c	d541341c81d990fdce5153b69aa0215b733ba82b49b82606d0edfbb54fe18d89
S11-linear-hsv	linear/hsv	S11	16	16	constructor	true	fill	rotate-33	wide	d3c810d65941ab48f1349d2d0772391220e5cf15d05736f5d80b991ff77731ea	6b327e712926e1e96e6e597159bcb9ab1d35669e70af4f56983ef1ce0cb653f3
S11-radial-hsv	radial/hsv	S11	16	16	constructor	true	fill	rotate-33	wide	7ba7daadd8e0b46d7dadc921e7fc7a9f5b394875ae7ed0a98e38d5f30c1c1f26	fbbabb266a05078b10d0a36ddb776f0ccafe53d3f97c3879ea42ab9d46d17947
S11-linear-luma	linear/luma	S11	16	16	constructor	true	fill	rotate-33	wide	59c8d8b2ffd79fa7dd8ee81cb01989a33ef1a58ab4002f20a1f481d2381c5036	3ed51e10796c24f3ae8031c581fd68668c48c905783019bc0f82597508551e67
S11-radial-luma	radial/luma	S11	16	16	constructor	true	fill	rotate-33	wide	2527493627a17ea49e686e09eb77c08d64b691c1809f46d3375796124ab4cdc7	acb8a1b1bdd6386a2261b13963a835b8536e892003d04faf73cc2dca3f426a86
S12-linear-oklch	linear/oklch	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	94ca772f2de6d0a2865e0b1295b1b29d4dd4772f8834eac91de1b7087c38d694	612b52eeff718f79b0b9e8078b5ccb59f8b68fecd41b496b059d7e8fda7f49a9
S12-radial-oklch	radial/oklch	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	7c962ef46165838b02322effe57f4a513e4a1ef59a4760b1891162ba761c9eb7	f037a0cdfd83abb0e98baa8ed4e5f6916f450b4a128a950d30b8543f5832ec08
S12-linear-hsl	linear/hsl	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	903ecbb87f829785bbacbbfd2eea4b0c103d8bf17ec1116e9b74cdc4cc347bb7	fbaa3d1781fddd4b02e89eee86e656a5e74fc3f7e272c9bce1d13f3b6a767d00
S12-radial-hsl	radial/hsl	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	2d3a1f0fc97133d466dd688194416ed1957f7773269c862bfe1b7a55078ade0b	0eee091b3086cc0e245dc5a152a96d75aa0be4169899b580a129bcf1fff74137
S12-linear-hsv	linear/hsv	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	928571afbae6577afe64a076188e03aff901a79830c59d7e192b72ea4db90b22	8125770a58b138dfe1d05b2d301be7045d211802c9bcb82ce6000e8b8c7a8c16
S12-radial-hsv	radial/hsv	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	176a3bd793b3c8633830ad0821faf6552257be6f118a133317eda9c46cb13220	1d5150e41daaf7839601cf648d855a1f198cef26174805d185ff8d40647736b7
S12-linear-luma	linear/luma	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	a9f2f70ce4e75b8dcc8f394d9873b3a84881f3974a4e8baa347433180a7b16f5	e749001473dabc0ed3ace7e443cef8ba4ec4744b8f246595958b31ce8e844be4
S12-radial-luma	radial/luma	S12	32	32	constructor	true	stroke	compose-rotate-scale	tall	564e0ef8137965abe892a3442b49095b98aeeec751fcc309503da4544f3bf5a4	7f1ca39816761c8ca1ce1072375ee63c1ccfba6f5c980e81ed5701d457270dde
S13-linear-oklch	linear/oklch	S13	2	2	sharp	false	fill	identity	square	8f3fb2410357f08db9d808063dd2dad4e191149e9501111aeef1142c91312eb5	67d9e801cef741e2c01c855452fa618547fddf522be0339308a87b1fc62dbda5
S13-radial-oklch	radial/oklch	S13	2	2	sharp	false	fill	identity	square	a095e4775e645aedb141df49f1f8ca3f20c36bf0e15fe5614de9c2c576252ebb	c2f81c03f956bf73c3c64141bdb31c959775c11849f19a1d13562679ee5b28fd
S13-linear-hsl	linear/hsl	S13	2	2	sharp	false	fill	identity	square	78d7dd6638fb227ad1f2448b59640221194e323d97cac12812867f7d9e8b84c6	8ff8efc1a3b17e10984795c9d9bc17677c38861a69bb3c105cce91fd8451e3fc
S13-radial-hsl	radial/hsl	S13	2	2	sharp	false	fill	identity	square	aa1228f06461014c541158b720a31a6415466b1bdaa840a068ec676f84d419e8	e1866cf00af30cb6655b94a849aaa7c47df5bb9e9744624dddf7c2bcc6dea1de
S13-linear-hsv	linear/hsv	S13	2	2	sharp	false	fill	identity	square	16a62a0a41a249bdd1901a6bd4f0790525fb78b3316dc9d084bf18bd34b10a9a	5c00e4f2b1e0b0b2929088aa8c44575a05592ee66c08b1e40272d80d671f1f86
S13-radial-hsv	radial/hsv	S13	2	2	sharp	false	fill	identity	square	6c7137d49c585813dd45939d0704e4b3c025b729f8be06013b82d4fbba60cbbf	2b022b2b0578420add5525b449d82cd534f2ab19d3da4974fe15efa723f24e22
S13-linear-luma	linear/luma	S13	2	2	sharp	false	fill	identity	square	682736cedd23c39e524ec86726c8625f679c5a452c280c1fd49073a86f584edf	fb5b4c4ed019a44c3319abdeb637dc27e7a92b884a9a10a0f786498c6dbe1545
S13-radial-luma	radial/luma	S13	2	2	sharp	false	fill	identity	square	7b9cd7ef6473bbe7528f4636990292b18c43f0344a6ac524beea46a981310337	8cfd76a0266e3ac8abc10d1130371efecf9f478819272311c7a468bb69223dfe
S14-linear-oklch	linear/oklch	S14	3	3	sharp	false	stroke	rotate37	wide	c9d8394b9c3a2a8907d68a0dcf21dc57deedd2530aa54ec98076166ce77ef418	506e8994200bb0883a1121019359a83f439b7e1c5f3217b36833492a0558e73c
S14-radial-oklch	radial/oklch	S14	3	3	sharp	false	stroke	rotate37	wide	cf76fa393abd6c54e026c8aef67af701f6515d5c623cd609966357dfe4173889	06423f5ff5ef4aca49ad9f8c37256d6a810cbcec3e5510a0a3c4695500210218
S14-linear-hsl	linear/hsl	S14	3	3	sharp	false	stroke	rotate37	wide	cbf444ee510cfc15fc8a41b11b741cf46e5dc282f62115f360f34c4ea380be52	2da794ebcf33b3c1f880d523668c887a2d94ad73430e6f458f0b53ca495f7c45
S14-radial-hsl	radial/hsl	S14	3	3	sharp	false	stroke	rotate37	wide	518650c1f4831cddf368eac70fcdc9da41b9e4231dcebff8d7530456a425e96c	a0ba62b71fd46191e5a7613ca66c527ba68f3a79f44c148b6c56d11373ae8669
