fixture_id	pair	sealed_evidence_sha256	actual_stops	route_identity	status
S18-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S18-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S18-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S18-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S19-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	36	Inherited-P1279	Preserved
S19-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S19-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S19-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	23	Inherited-P1279	Preserved
S19-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	36	Inherited-P1279	Preserved
S19-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	26	Inherited-P1279	Preserved
S19-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S19-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	23	Inherited-P1279	Preserved
S20-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	56	Inherited-P1279	Preserved
S20-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	54	Inherited-P1279	Preserved
S20-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S20-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	79	Inherited-P1279	Preserved
S20-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	56	Inherited-P1279	Preserved
S20-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	54	Inherited-P1279	Preserved
S20-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S20-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	79	Inherited-P1279	Preserved
S21-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	8	Inherited-P1279	Preserved
S21-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	8	Inherited-P1279	Preserved
S21-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S21-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	8	Inherited-P1279	Preserved
S21-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	8	Inherited-P1279	Preserved
S21-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	8	Inherited-P1279	Preserved
S21-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S21-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	8	Inherited-P1279	Preserved
S22-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	151	Inherited-P1279	Preserved
S22-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	132	Inherited-P1279	Preserved
S22-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S22-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	378	Inherited-P1279	Preserved
S22-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	151	Inherited-P1279	Preserved
S22-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	132	Inherited-P1279	Preserved
S22-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S22-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	378	Inherited-P1279	Preserved
S23-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	207	Inherited-P1279	Preserved
S23-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	207	Inherited-P1279	Preserved
S23-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S23-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	219	Inherited-P1279	Preserved
S23-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	207	Inherited-P1279	Preserved
S23-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	207	Inherited-P1279	Preserved
S23-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S23-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	219	Inherited-P1279	Preserved
S24-linear-hsl	linear/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S24-linear-hsv	linear/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S24-linear-luma	linear/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S24-linear-oklch	linear/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S24-radial-hsl	radial/hsl	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S24-radial-hsv	radial/hsv	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
S24-radial-luma	radial/luma	not-applicable-fallback	0	not-applicable-fallback	Preserved
S24-radial-oklch	radial/oklch	be1e16cfb002c70b8d7af83421e7027f2abdb32324a1e8ff94ace7152ee1e3ed	31	Inherited-P1279	Preserved
