executor	role	regime	capability	path	sha256_or_identity	access	restriction
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-l0	00_nucleo/prompts/infra/pipeline.md	8a4caaec2147a5848bafbd717aa129d235b3cff8dccd7d2c76c4da4e7257169b	read-only	Pipeline context obligations only
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-nucleus	00_nucleo/prompts/_nuclei/export/svg-destination-context.toml	c71f2ef3c306810c8801544e1eea2769687c95271ff6c6d1d3c2d6315e84c3a0	read-only	Destination shared claims
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-nucleus	00_nucleo/prompts/_nuclei/export/svg-glyph-font-context.toml	f4b82bcf0dc6948c177742924e237844201f008864a4ebccac8e51e5aa5f48ac	read-only	Glyph-font shared claims
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-adr	00_nucleo/adr/typst-adr-0107-paridade-linguagem-nao-mecanica.md	e680d22bbf4486cf93f5bfb4ec85f4ae965e6db788c2a18c48f3be000029d49d	read-only	Language morphology is acceptance; bytes are mechanics
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-adr	00_nucleo/adr/typst-adr-0108-disciplina-anti-deriva.md	31daec5ae9e84cb5bbdcb806e9a2b6cb9160b7e90519df53e6e0bd8809076405	read-only	Measured inputs precede integrated classification
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-adr	00_nucleo/adr/typst-adr-0127-gate-l0-paragem-vs-fluxo.md	5e8581b5f9ebb0798d4213e59e39ee8dfcd4f41b34d4ca639b00b1f287699ad9	read-only	No new public contract or pipeline phase authorized here
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-adr	00_nucleo/adr/typst-adr-0129-nucleos-tekt-l0-compartilhado.md	64756b81ce58ca62e1a166b3776303759bc7af507a1c97a4e3ad91a8dc5b906e	read-only	P1250 coordinates owners and does not absorb them
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-baseline	lab/typst-original/crates/typst-svg/src/lib.rs	4c10ff4542102ea657e5756505fc8a395400a66dac0e94a4e982cacff1ae1144	read-only	Ratified vanilla a51e02804 graph/clip/export reference
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-baseline	lab/typst-original/crates/typst-svg/src/image.rs	de0ebc3c99911b9fee276b4d3fe6eda330e6bf39c6f3e8926b0c346157da9bd0	read-only	Ratified vanilla a51e02804 image reference
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	read-baseline	lab/typst-original/crates/typst-svg/src/text.rs	d5ffcdc23ccc7f15822b67ef774779bf1a97bfb9c56e5ef0b71cb4b6c037b479	read-only	Ratified vanilla a51e02804 glyph reference
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	write-output	00_nucleo/diagnosticos/p1250-integrated-contract.tsv	only integrated contract output	write	May define contract; may not author attacks or oracles or verify itself
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	write-output	00_nucleo/diagnosticos/p1250-role-capabilities.tsv	only capability record	write	May record frozen hashes and authority only
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	forbidden-read	03_infra/**;future integrated tests;P1250 attacks;P1250 oracles;candidate outputs	all	denied-by-role	Not read and not executed
agent-/root/p1248_oracles	integrated-contract-author	full-segregated	forbidden-write	00_nucleo/prompts/**;01_core/**;02_shell/**;03_infra/**;04_wiring/**;P1250 attacks;P1250 oracles;verdicts	all	denied-by-role	No L0 code oracle attack seal or verdict authority
