probe_id	profile	current_language_class	raw_state	cohort_id	universe	measurement_ref
P1138-B-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-B-001
P1138-X-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-001
P1138-L-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-L-001
P1138-X-002	a11y	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-002
P1138-X-003	a11y	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-003
P1138-X-004	a11y	EXPECTED_FEATURE_GATED	DISABLED_BY_PROFILE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-004
P1288-B-001	a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1288-B-001
P1137-S-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-S-001
P1137-E-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-E-001
P1137-B-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-B-001
P1137-I-001	html+a11y	MISSING_PUBLIC_CLI_CAPABILITY	DIFFERENCE	query-cli-feature-option	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-I-001
P1137-L-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-L-001
P1137-X-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-001
P1137-X-002	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-002
P1137-X-003	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-X-003
P1137-C-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-001
P1137-C-002	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1137-C-002
P1138-S-001	html+a11y	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-001
P1138-S-002	html+a11y	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-002
P1138-S-003	html+a11y	ENVIRONMENT_BOUND_DIAGNOSTIC_SPELLING	DIFFERENCE	external-diagnostic-path-display	transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-S-003
P1138-B-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-B-001
P1138-X-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-001
P1138-L-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-L-001
P1138-X-002	html+a11y	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-002
P1138-X-003	html+a11y	MECHANICAL_RENDER_OR_FONT_RESOURCE_DIFFERENCE	DIFFERENCE		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-003
P1138-X-004	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1138-X-004
P1288-B-001	html+a11y	CLOSED_MEASURED_TRANSVERSAL	MATCH		transversal	00_nucleo/diagnosticos/p1322-transversal-r2.json#P1288-B-001
captured-only	default	CLOSED_DOCUMENT_ASSERTIONS_ONLY	MATCH_ASSERTIONS_ONLY		transversal	00_nucleo/diagnosticos/p1322-transversal.json#captured-only
closure-only	default	OPEN_LANGUAGE_SOURCE_ORIGIN	DIFFERENCE	closure-source-file-origin	transversal	00_nucleo/diagnosticos/p1322-transversal.json#closure-only
captured-only	html	CLOSED_DOCUMENT_ASSERTIONS_ONLY	MATCH_ASSERTIONS_ONLY		transversal	00_nucleo/diagnosticos/p1322-transversal.json#captured-only
closure-only	html	OPEN_LANGUAGE_SOURCE_ORIGIN	DIFFERENCE	closure-source-file-origin	transversal	00_nucleo/diagnosticos/p1322-transversal.json#closure-only
captured-only	a11y	CLOSED_DOCUMENT_ASSERTIONS_ONLY	MATCH_ASSERTIONS_ONLY		transversal	00_nucleo/diagnosticos/p1322-transversal.json#captured-only
closure-only	a11y	OPEN_LANGUAGE_SOURCE_ORIGIN	DIFFERENCE	closure-source-file-origin	transversal	00_nucleo/diagnosticos/p1322-transversal.json#closure-only
captured-only	html+a11y	CLOSED_DOCUMENT_ASSERTIONS_ONLY	MATCH_ASSERTIONS_ONLY		transversal	00_nucleo/diagnosticos/p1322-transversal.json#captured-only
closure-only	html+a11y	OPEN_LANGUAGE_SOURCE_ORIGIN	DIFFERENCE	closure-source-file-origin	transversal	00_nucleo/diagnosticos/p1322-transversal.json#closure-only
