path	profiles	runtime_class_by_profile	previous_class	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_hash_declared	owner_prompt_sha256	l0_claim	gate_class	inference	refutation	recommended_action	universe	probe_id	canonical_route
cancel	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/structural/math.rs:1141	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/structural/math.md	81441281	18b2fb0d9a3e1f6a0ff9cd8fb2e25047b4c9f2185cb6a511ae022e7a9c4e80a2	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-cancel	math.cancel
color.map	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:56	lab/typst-original/crates/typst-library/src/foundations/module.rs:174	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:32-34 possui formatter morfológico; color.md:420-426 fixa Module nomeado map; elisão/forma de módulo exigem refinamento L0 futuro.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Kind module e nome público map coincidem; somente wrapper module(map) vs <module map> diverge.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map	
color.map.cividis	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.cividis	
color.map.coolwarm	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.coolwarm	
color.map.crest	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.crest	
color.map.flare	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.flare	
color.map.icefire	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.icefire	
color.map.mako	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.mako	
color.map.rainbow	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.rainbow	
color.map.rocket	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.rocket	
color.map.turbo	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.turbo	
color.map.vlag	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	WRONG_PUBLIC_KIND_OR_IDENTITY	WRONG_PUBLIC_REPR	01_core/src/compiler/eval/repr.rs:36	lab/typst-original/crates/typst-library/src/foundations/array.rs:1188	00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	repr.md:200-207 fixa formatter de arrays; color.md:373-426 fixa dados/digests que coincidem. Fronteira de elisão ainda não especificada explicitamente.	ADR-0127_CONTINUOUS_PARITY_CORRECTION	Nos quatro perfis kind/cardinalidade/digest RGBA8/componentes completos coincidem; vanilla mostra 40/256 e marcador 216, cristalino mostra 256/256.	Diferença em kind/nome, cardinalidade, qualquer canal, índice ou digest integral refutaria formatter como causa suficiente.	Candidata repr-module-and-large-array; não editar dados color.	p1299_residual_160	path-color.map.vlag	
color.spot	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/color.rs:2	lab/typst-original/crates/typst-library/src/visualize/color.rs:2304	00_nucleo/prompts/compiler/stdlib/color.md	356f1537	60de24ea6496a1c95fcc4af1883278164a2cd031351ef59278e654d7d485ff01	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_HUMAN_GATE_REQUIRED	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-color.spot	
color.spot.tint	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/stdlib/color.rs:2	lab/typst-original/crates/typst-library/src/visualize/color.rs:2375	00_nucleo/prompts/compiler/stdlib/color.md	356f1537	60de24ea6496a1c95fcc4af1883278164a2cd031351ef59278e654d7d485ff01	Membro público vanilla medido e cristalino ausente no lookup atual; a ausência não prova autorização L0 para implementá-lo.	ADR-0127_HUMAN_GATE_REQUIRED	VANILLA_ONLY fresco nos perfis em que a feature está ativa; falha bilateral sem html é gate ancestral esperado, não fechamento.	Lookup cristalino com mesmo kind/repr ou ausência vanilla no perfil habilitado refutaria dívida.	Manter dívida para coorte do owner; nenhuma implementação autorizada.	p1299_residual_160	path-color.spot.tint	
counter_at	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/counter.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-counter_at	counter.at
counter_display	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/counter.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-counter_display	counter.display
counter_final	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	INTENTIONAL_PRODUCT_EXTENSION	INTENTIONAL_PRODUCT_EXTENSION	01_core/src/compiler/stdlib/counter.rs:2	lab/typst-original/crates/typst-library/src/lib.rs:374 (ausência na matriz pública)	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	Retenção/global documentado no L0 semântico e/ou decisão de compatibilidade explícita no consumer; não se infere intenção somente da disponibilidade.	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	CRYSTALLINE_ONLY fresco em todos os perfis; a intenção é auditada separadamente da execução.	Fonte normativa proibindo a publicação, remoção da retenção deliberada ou aceitação vanilla refutaria extensão.	Não selecionar automaticamente; reabrir contrato somente por decisão humana.	p1299_residual_160	path-counter_final	counter.final
