probe_id	path	profile	previous_runtime_class	current_runtime_class	transition	fixture_comparable	universe	measurement_ref	previous_measurement_ref
path-alignment.inv	alignment.inv	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.inv	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.inv
path-alignment.left	alignment.left	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.left
path-alignment.left	alignment.left	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.left
path-alignment.left	alignment.left	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.left
path-alignment.left	alignment.left	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.left	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.left
path-alignment.right	alignment.right	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.right
path-alignment.right	alignment.right	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.right
path-alignment.right	alignment.right	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.right
path-alignment.right	alignment.right	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.right	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.right
path-alignment.start	alignment.start	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.start
path-alignment.start	alignment.start	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.start
path-alignment.start	alignment.start	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.start
path-alignment.start	alignment.start	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.start	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.start
path-alignment.top	alignment.top	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.top
path-alignment.top	alignment.top	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.top
path-alignment.top	alignment.top	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.top
path-alignment.top	alignment.top	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-alignment.top	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-alignment.top
path-angle.deg	angle.deg	default	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.deg
path-angle.deg	angle.deg	html	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.deg
path-angle.deg	angle.deg	a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.deg
path-angle.deg	angle.deg	html+a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.deg	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.deg
path-angle.rad	angle.rad	default	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.rad
path-angle.rad	angle.rad	html	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.rad
path-angle.rad	angle.rad	a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.rad
path-angle.rad	angle.rad	html+a11y	VANILLA_ONLY	VANILLA_ONLY	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-angle.rad	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-angle.rad
path-aqua	aqua	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-aqua
path-aqua	aqua	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-aqua
path-aqua	aqua	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-aqua
path-aqua	aqua	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-aqua	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-aqua
path-arguments.at	arguments.at	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.at
path-arguments.at	arguments.at	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.at
path-arguments.at	arguments.at	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.at
path-arguments.at	arguments.at	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.at
path-arguments.filter	arguments.filter	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.filter
path-arguments.filter	arguments.filter	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.filter
path-arguments.filter	arguments.filter	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.filter
path-arguments.filter	arguments.filter	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.filter	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.filter
path-arguments.len	arguments.len	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.len
path-arguments.len	arguments.len	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.len
path-arguments.len	arguments.len	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.len
path-arguments.len	arguments.len	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.len	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.len
path-arguments.map	arguments.map	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.map
path-arguments.map	arguments.map	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.map
path-arguments.map	arguments.map	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.map
path-arguments.map	arguments.map	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.map	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.map
path-arguments.named	arguments.named	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.named
path-arguments.named	arguments.named	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.named
path-arguments.named	arguments.named	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.named
path-arguments.named	arguments.named	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.named	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.named
path-arguments.pos	arguments.pos	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.pos
path-arguments.pos	arguments.pos	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.pos
path-arguments.pos	arguments.pos	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.pos
path-arguments.pos	arguments.pos	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-arguments.pos	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-arguments.pos
path-array.all	array.all	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.all
path-array.all	array.all	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.all
path-array.all	array.all	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.all
path-array.all	array.all	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.all	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.all
path-array.any	array.any	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.any
path-array.any	array.any	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.any
path-array.any	array.any	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.any
path-array.any	array.any	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.any	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.any
path-array.at	array.at	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.at
path-array.at	array.at	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.at
path-array.at	array.at	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.at
path-array.at	array.at	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.at	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.at
path-array.chunks	array.chunks	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.chunks
path-array.chunks	array.chunks	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.chunks
path-array.chunks	array.chunks	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.chunks
path-array.chunks	array.chunks	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.chunks	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.chunks
path-array.contains	array.contains	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.contains	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.contains
path-array.contains	array.contains	html	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.contains	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.contains
path-array.contains	array.contains	a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.contains	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.contains
path-array.contains	array.contains	html+a11y	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.contains	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.contains
path-array.dedup	array.dedup	default	MATCH_VALUE	MATCH_VALUE	UNCHANGED_RUNTIME_CLASS	true	principal	00_nucleo/diagnosticos/p1322-matrix-normal.json#path-array.dedup	00_nucleo/diagnosticos/p1309-matrix-normal.json#path-array.dedup
