pair	fixture_id	metric	worst_t	error	left_offset	right_offset	interval_width	declared_segment	inferred_subdivisions	inferred_dyadic_depth	cap_64_hit	emitted_stops	query_sha256	svg_sha256
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	color_max	0.408935546875	0.0065354447830654906	0.38968750800000002	0.40937501199999998	0.019687503999999967	0.37:1	32	5	false	47	60430881bcb629359403af2785793a8baa404503285329f138e497e6c514b76e	7c9012a664ceb585ec5f4cc971c23904bf26e6129415d8133421a804284cdbc9
radial/oklab	candidate-radial-oklab-alpha-last-tall-fill	alpha_max	0.684814453125	0.003736770215285623	0.64562499500000003	0.685000002	0.039375006999999962	0.37:1	16	4	false	47	60430881bcb629359403af2785793a8baa404503285329f138e497e6c514b76e	7c9012a664ceb585ec5f4cc971c23904bf26e6129415d8133421a804284cdbc9
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	color_max	0.156982421875	0.0054321099822330623	0.13875000200000001	0.16187501000000001	0.023125008000000002	0:0.37	16	4	false	46	d7730bcc8750e1f36628f5b4b17032337cd472b5fceb69919417408c51a5e5f1	a1bf55ea45b9f62f6ad6b974840fb7c3f20104da0d4b602b32ac2e7537535cd6
radial/linear-rgb	candidate-radial-linear-rgb-base-square-fill	alpha_max	0	0	0	0.0115625	0.0115625	0:0.37	32	5	false	46	d7730bcc8750e1f36628f5b4b17032337cd472b5fceb69919417408c51a5e5f1	a1bf55ea45b9f62f6ad6b974840fb7c3f20104da0d4b602b32ac2e7537535cd6
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	color_max	0.994140625	0.020785701026582535	0.984375	1	0.015625	0:1	64	6	true	29	9924be0ad76449a4dd74ee764a0db3c45530b8e36835cd8fd2ffb405f8a2ade3	185cc6178cf114084ec93bc0e4a865629914be7d3c582a3365d802636700c777
radial/linear-rgb	candidate-radial-linear-rgb-two-wide-stroke	alpha_max	0	0	0	0.015625	0.015625	0:1	64	6	true	29	9924be0ad76449a4dd74ee764a0db3c45530b8e36835cd8fd2ffb405f8a2ade3	185cc6178cf114084ec93bc0e4a865629914be7d3c582a3365d802636700c777
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	color_max	0.306640625	0.005292358549433605	0.25	0.3125	0.0625	0:1	16	4	false	22	d9173d2dddbb0e6bc00e876f4848f7c1041892517a0b1dc294cbeed1d029b80b	8f9c8af9c19c132db078a2933f9a7230756bd8b4bf55d0915a72606c72e0968e
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	alpha_max	0	0	0	0.015625	0.015625	0:1	64	6	true	22	d9173d2dddbb0e6bc00e876f4848f7c1041892517a0b1dc294cbeed1d029b80b	8f9c8af9c19c132db078a2933f9a7230756bd8b4bf55d0915a72606c72e0968e
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	color_max	0.313232421875	0.0057466845430157098	0.31218749299999998	0.323750019	0.011562526000000017	0:0.37	32	5	false	44	d7aac0fc7d73ec54369a3bd7b98f9e1ed11cadb73549d37aba702818314fe849	b04600dfdf75d7a3f77e2b1eec933dcc9aab1f7613cfb5616fef85e5bb5b5366
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	alpha_max	0.18505859375	0.0038222076060189236	0.185000002	0.20812499500000001	0.02312499300000001	0:0.37	16	4	false	44	d7aac0fc7d73ec54369a3bd7b98f9e1ed11cadb73549d37aba702818314fe849	b04600dfdf75d7a3f77e2b1eec933dcc9aab1f7613cfb5616fef85e5bb5b5366
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	color_max	0.9619140625	0.0064291359188179929	0.96062499300000004	1	0.039375006999999962	0.37:1	16	4	false	36	c99e31ef8860477644e8fee9b9ea8ed5364c84e0ced22a54a8053f149481e12c	fafc230b90c8d0241f2abd739a31983273aae78180698e62c3305a2d6fb343bf
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	alpha_max	0.680908203125	0.0038714800416134176	0.60624998799999996	0.685000002	0.078750014000000035	0.37:1	8	3	false	36	c99e31ef8860477644e8fee9b9ea8ed5364c84e0ced22a54a8053f149481e12c	fafc230b90c8d0241f2abd739a31983273aae78180698e62c3305a2d6fb343bf
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	color_max	0.721923828125	0.0057530967247766017	0.685000002	0.763750017	0.078750015000000007	0.37:1	8	3	false	40	b689819d8afd10f112ff915aec8c09aff52bf4146e17f8f6645007bbf45c0307	97f0cb2172afd0d394cb93a20a2f899d9d5f6206beeaf89915d7ceaae5a412eb
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	alpha_max	0.70556640625	0.0037727532116051954	0.685000002	0.763750017	0.078750015000000007	0.37:1	8	3	false	40	b689819d8afd10f112ff915aec8c09aff52bf4146e17f8f6645007bbf45c0307	97f0cb2172afd0d394cb93a20a2f899d9d5f6206beeaf89915d7ceaae5a412eb
linear/oklab	regression-linear-oklab-base-square-fill	color_max	0.555419921875	0.0077448526051822489	0.54718750699999996	0.566874981	0.019687474000000038	0.37:1	32	5	false	58	7467b9e1ac172eb55b8627e53cfa8db18dca9e5ba1c74be8330ae5fa66543692	d3a69c786ff959ab3f28bf2635fc74313de9b5b8c740adee7297beb21f5bdeb2
linear/oklab	regression-linear-oklab-base-square-fill	alpha_max	0	0	0	0.0115625	0.0115625	0:0.37	32	5	false	58	7467b9e1ac172eb55b8627e53cfa8db18dca9e5ba1c74be8330ae5fa66543692	d3a69c786ff959ab3f28bf2635fc74313de9b5b8c740adee7297beb21f5bdeb2
linear/oklab	regression-linear-oklab-two-wide-stroke	color_max	0.99169921875	0.0090719389820204666	0.984375	1	0.015625	0:1	64	6	true	25	f2d5d63eb15b3dfc3b478072932a2c139f6d97926665c8496306d583d32058fd	da80542bf804ea8f4698c256d24a87107b5d79eb101e291a374cb80427fd2284
linear/oklab	regression-linear-oklab-two-wide-stroke	alpha_max	0	0	0	0.03125	0.03125	0:1	32	5	false	25	f2d5d63eb15b3dfc3b478072932a2c139f6d97926665c8496306d583d32058fd	da80542bf804ea8f4698c256d24a87107b5d79eb101e291a374cb80427fd2284
linear/oklab	regression-linear-oklab-coincident-tall-fill	color_max	0.292236328125	0.007775225863656479	0.28125	0.3125	0.03125	0:1	32	5	false	34	78ab134689966d910380bd0460268acb1faa5890a72f607234352ba60f7b468c	837d247743aa4773d863e54c2ec12cc55b43ef2a16902d0cfa8eb803cccc64c7
linear/oklab	regression-linear-oklab-coincident-tall-fill	alpha_max	0	0	0	0.03125	0.03125	0:1	32	5	false	34	78ab134689966d910380bd0460268acb1faa5890a72f607234352ba60f7b468c	837d247743aa4773d863e54c2ec12cc55b43ef2a16902d0cfa8eb803cccc64c7
linear/oklab	regression-linear-oklab-alpha-first-square-fill	color_max	0.555419921875	0.0077448526051822489	0.54718750699999996	0.566874981	0.019687474000000038	0.37:1	32	5	false	54	0b76b7aed63cef82ed12344960800c8c805523da746a06376c5fa2e2e82fc943	69c0ac49ed7069033d5921a8b6d8e3b1761f87a15e349266528d15e63b77ad0d
linear/oklab	regression-linear-oklab-alpha-first-square-fill	alpha_max	0.18017578125	0.0038503606271529378	0.13875000200000001	0.185000002	0.046249999999999986	0:0.37	8	3	false	54	0b76b7aed63cef82ed12344960800c8c805523da746a06376c5fa2e2e82fc943	69c0ac49ed7069033d5921a8b6d8e3b1761f87a15e349266528d15e63b77ad0d
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	color_max	0.55419921875	0.0073261313215508524	0.52750003300000003	0.566874981	0.039374947999999965	0.37:1	16	4	false	40	7c4056c9dedb595ffc67ea3396e4da1e2de9680874eb5b17e343fb7d5e18835e	f873a67b9c05840881b77c5eb3f32cf68415e3948df2c3e186470e1167b33e48
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	alpha_max	0.68505859375	0.0038632136418942364	0.685000002	0.72437501000000004	0.039375008000000045	0.37:1	16	4	false	40	7c4056c9dedb595ffc67ea3396e4da1e2de9680874eb5b17e343fb7d5e18835e	f873a67b9c05840881b77c5eb3f32cf68415e3948df2c3e186470e1167b33e48
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	color_max	0.408935546875	0.0065354447830654906	0.38968750800000002	0.40937501199999998	0.019687503999999967	0.37:1	32	5	false	47	08dcefa1b71be9af4bf704004f5cfa153367c032566151610e71220be97140eb	fe70580614a2539fbaf0b26a92d97089d76b5a8499627c939b0c01c1cfceb992
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	alpha_max	0.684814453125	0.003736770215285623	0.64562499500000003	0.685000002	0.039375006999999962	0.37:1	16	4	false	47	08dcefa1b71be9af4bf704004f5cfa153367c032566151610e71220be97140eb	fe70580614a2539fbaf0b26a92d97089d76b5a8499627c939b0c01c1cfceb992
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	color_max	0.156982421875	0.0054321099822330623	0.13875000200000001	0.16187501000000001	0.023125008000000002	0:0.37	16	4	false	46	8b2be08b508f9b2d4638b1804ad60e2ff3223e192dfff4e6ac91b17f2564becd	de4c0a260e1ca6dfb80ff4c359fe5975f39f0a3596bad8b4e6c8e77d8f7ce5fd
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	alpha_max	0	0	0	0.0115625	0.0115625	0:0.37	32	5	false	46	8b2be08b508f9b2d4638b1804ad60e2ff3223e192dfff4e6ac91b17f2564becd	de4c0a260e1ca6dfb80ff4c359fe5975f39f0a3596bad8b4e6c8e77d8f7ce5fd
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	color_max	0.994140625	0.020785701026582535	0.984375	1	0.015625	0:1	64	6	true	29	fe9046b91deed41a364cbb42463f4036429cd4865ce30a36b56cb9f975b648fc	0d8047742ae5e6450f369a2b4216eeb7aed1a865a38f090de62375df8ce21185
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	alpha_max	0	0	0	0.015625	0.015625	0:1	64	6	true	29	fe9046b91deed41a364cbb42463f4036429cd4865ce30a36b56cb9f975b648fc	0d8047742ae5e6450f369a2b4216eeb7aed1a865a38f090de62375df8ce21185
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	color_max	0.306640625	0.005292358549433605	0.25	0.3125	0.0625	0:1	16	4	false	22	79f7b5cbff040d18aadc08e918d6c68fc1ec37aee10c55d9a4fe652f1506f7c7	32c5a468ba0346ecc5150588efff764e378c2daac04c632f8c581983ebe7b092
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	alpha_max	0	0	0	0.015625	0.015625	0:1	64	6	true	22	79f7b5cbff040d18aadc08e918d6c68fc1ec37aee10c55d9a4fe652f1506f7c7	32c5a468ba0346ecc5150588efff764e378c2daac04c632f8c581983ebe7b092
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	color_max	0.313232421875	0.0057466845430157098	0.31218749299999998	0.323750019	0.011562526000000017	0:0.37	32	5	false	44	0e39024c2f714e9c68c9ccb48976429ec7ed78584205b74e35e480a999e6b229	42cd2273497166414e3a2750ae0a51b2a99658775889f5a290c1580a7cde711b
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	alpha_max	0.18505859375	0.0038222076060189236	0.185000002	0.20812499500000001	0.02312499300000001	0:0.37	16	4	false	44	0e39024c2f714e9c68c9ccb48976429ec7ed78584205b74e35e480a999e6b229	42cd2273497166414e3a2750ae0a51b2a99658775889f5a290c1580a7cde711b
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	color_max	0.9619140625	0.0064291359188179929	0.96062499300000004	1	0.039375006999999962	0.37:1	16	4	false	36	842c8446652a56778e985026e5d59a6709fafad1af3da8fd701e12da787d1894	13c91187e52c3fa0d71ad5ec03da7ba596edc421bb0fad56e80c12078724c792
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	alpha_max	0.680908203125	0.0038714800416134176	0.60624998799999996	0.685000002	0.078750014000000035	0.37:1	8	3	false	36	842c8446652a56778e985026e5d59a6709fafad1af3da8fd701e12da787d1894	13c91187e52c3fa0d71ad5ec03da7ba596edc421bb0fad56e80c12078724c792
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	color_max	0.721923828125	0.0057530967247766017	0.685000002	0.763750017	0.078750015000000007	0.37:1	8	3	false	40	19a58cde3c3433ff047dea526a08c17a2c45f4066bc302f3458cc6cf5f2aab76	43fac462691f6a5ce14361668e6fc22f37f9ca51b9ddbe898e613cbafb959be4
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	alpha_max	0.70556640625	0.0037727532116051954	0.685000002	0.763750017	0.078750015000000007	0.37:1	8	3	false	40	19a58cde3c3433ff047dea526a08c17a2c45f4066bc302f3458cc6cf5f2aab76	43fac462691f6a5ce14361668e6fc22f37f9ca51b9ddbe898e613cbafb959be4
