fixture_id	pair	interval	left	right	eligible	s_i	a_i	d_i	b_i	q_i	status
S05-radial-hsl	radial/hsl	14	0.91111111111111098	1	true	16	7	15	14	29	Preserved
S05-linear-hsv	linear/hsv	0	0	0.022222222222222202	true	64	13	27	26	53	Preserved
S05-linear-hsv	linear/hsv	1	0.022222222222222202	0.088888888888888892	true	32	11	23	22	45	Preserved
S05-linear-hsv	linear/hsv	2	0.088888888888888892	0.20000000000000001	true	64	16	33	32	65	Preserved
S05-linear-hsv	linear/hsv	3	0.20000000000000001	0.24444444444444399	true	64	6	13	12	25	Preserved
S05-linear-hsv	linear/hsv	4	0.24444444444444399	0.33333333333333298	true	16	7	15	14	29	Preserved
S05-linear-hsv	linear/hsv	5	0.33333333333333298	0.35555555555555601	true	64	13	27	26	53	Preserved
S05-linear-hsv	linear/hsv	6	0.35555555555555601	0.422222222222222	true	32	11	23	22	45	Preserved
S05-linear-hsv	linear/hsv	7	0.422222222222222	0.53333333333333299	true	64	16	33	32	65	Preserved
S05-linear-hsv	linear/hsv	8	0.53333333333333299	0.57777777777777795	true	64	6	13	12	25	Preserved
S05-linear-hsv	linear/hsv	9	0.57777777777777795	0.66666666666666696	true	16	7	15	14	29	Preserved
S05-linear-hsv	linear/hsv	10	0.66666666666666696	0.68888888888888899	true	64	13	27	26	53	Preserved
S05-linear-hsv	linear/hsv	11	0.68888888888888899	0.75555555555555598	true	32	11	23	22	45	Preserved
S05-linear-hsv	linear/hsv	12	0.75555555555555598	0.86666666666666703	true	64	16	33	32	65	Preserved
S05-linear-hsv	linear/hsv	13	0.86666666666666703	0.91111111111111098	true	64	6	13	12	25	Preserved
S05-linear-hsv	linear/hsv	14	0.91111111111111098	1	true	16	7	15	14	29	Preserved
S05-radial-hsv	radial/hsv	0	0	0.022222222222222202	true	64	13	27	26	53	Preserved
S05-radial-hsv	radial/hsv	1	0.022222222222222202	0.088888888888888892	true	32	11	23	22	45	Preserved
S05-radial-hsv	radial/hsv	2	0.088888888888888892	0.20000000000000001	true	64	16	33	32	65	Preserved
S05-radial-hsv	radial/hsv	3	0.20000000000000001	0.24444444444444399	true	64	6	13	12	25	Preserved
S05-radial-hsv	radial/hsv	4	0.24444444444444399	0.33333333333333298	true	16	7	15	14	29	Preserved
S05-radial-hsv	radial/hsv	5	0.33333333333333298	0.35555555555555601	true	64	13	27	26	53	Preserved
S05-radial-hsv	radial/hsv	6	0.35555555555555601	0.422222222222222	true	32	11	23	22	45	Preserved
S05-radial-hsv	radial/hsv	7	0.422222222222222	0.53333333333333299	true	64	16	33	32	65	Preserved
S05-radial-hsv	radial/hsv	8	0.53333333333333299	0.57777777777777795	true	64	6	13	12	25	Preserved
S05-radial-hsv	radial/hsv	9	0.57777777777777795	0.66666666666666696	true	16	7	15	14	29	Preserved
S05-radial-hsv	radial/hsv	10	0.66666666666666696	0.68888888888888899	true	64	13	27	26	53	Preserved
S05-radial-hsv	radial/hsv	11	0.68888888888888899	0.75555555555555598	true	32	11	23	22	45	Preserved
S05-radial-hsv	radial/hsv	12	0.75555555555555598	0.86666666666666703	true	64	16	33	32	65	Preserved
S05-radial-hsv	radial/hsv	13	0.86666666666666703	0.91111111111111098	true	64	6	13	12	25	Preserved
S05-radial-hsv	radial/hsv	14	0.91111111111111098	1	true	16	7	15	14	29	Preserved
S05-linear-luma	linear/luma	0	0	0.022222222222222202	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	1	0.022222222222222202	0.088888888888888892	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	2	0.088888888888888892	0.20000000000000001	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	3	0.20000000000000001	0.24444444444444399	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	4	0.24444444444444399	0.33333333333333298	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	5	0.33333333333333298	0.35555555555555601	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	6	0.35555555555555601	0.422222222222222	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	7	0.422222222222222	0.53333333333333299	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	8	0.53333333333333299	0.57777777777777795	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	9	0.57777777777777795	0.66666666666666696	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	10	0.66666666666666696	0.68888888888888899	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	11	0.68888888888888899	0.75555555555555598	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	12	0.75555555555555598	0.86666666666666703	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	13	0.86666666666666703	0.91111111111111098	true	1	0	1	0	1	Preserved
S05-linear-luma	linear/luma	14	0.91111111111111098	1	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	0	0	0.022222222222222202	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	1	0.022222222222222202	0.088888888888888892	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	2	0.088888888888888892	0.20000000000000001	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	3	0.20000000000000001	0.24444444444444399	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	4	0.24444444444444399	0.33333333333333298	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	5	0.33333333333333298	0.35555555555555601	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	6	0.35555555555555601	0.422222222222222	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	7	0.422222222222222	0.53333333333333299	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	8	0.53333333333333299	0.57777777777777795	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	9	0.57777777777777795	0.66666666666666696	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	10	0.66666666666666696	0.68888888888888899	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	11	0.68888888888888899	0.75555555555555598	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	12	0.75555555555555598	0.86666666666666703	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	13	0.86666666666666703	0.91111111111111098	true	1	0	1	0	1	Preserved
S05-radial-luma	radial/luma	14	0.91111111111111098	1	true	1	0	1	0	1	Preserved
S06-linear-oklch	linear/oklch	0	0	0.032258064516128997	true	64	21	43	42	85	Preserved
S06-linear-oklch	linear/oklch	1	0.032258064516128997	0.06451612903225809	true	32	17	35	34	69	Preserved
S06-linear-oklch	linear/oklch	2	0.06451612903225809	0.096774193548387094	true	64	34	69	68	137	Preserved
S06-linear-oklch	linear/oklch	3	0.096774193548387094	0.12903225806451599	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	4	0.12903225806451599	0.16129032258064499	true	8	7	15	14	29	Preserved
S06-linear-oklch	linear/oklch	5	0.16129032258064499	0.19354838709677399	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	6	0.19354838709677399	0.225806451612903	true	64	23	47	46	93	Preserved
S06-linear-oklch	linear/oklch	7	0.225806451612903	0.25806451612903197	true	64	30	61	60	121	Preserved
S06-linear-oklch	linear/oklch	8	0.25806451612903197	0.29032258064516098	true	64	21	43	42	85	Preserved
S06-linear-oklch	linear/oklch	9	0.29032258064516098	0.32258064516128998	true	32	17	35	34	69	Preserved
S06-linear-oklch	linear/oklch	10	0.32258064516128998	0.35483870967741898	true	64	34	69	68	137	Preserved
S06-linear-oklch	linear/oklch	11	0.35483870967741898	0.38709677419354799	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	12	0.38709677419354799	0.41935483870967699	true	8	7	15	14	29	Preserved
S06-linear-oklch	linear/oklch	13	0.41935483870967699	0.45161290322580599	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	14	0.45161290322580599	0.483870967741936	true	64	23	47	46	93	Preserved
S06-linear-oklch	linear/oklch	15	0.483870967741936	0.51612903225806395	true	64	30	61	60	121	Preserved
S06-linear-oklch	linear/oklch	16	0.51612903225806395	0.54838709677419406	true	64	21	43	42	85	Preserved
S06-linear-oklch	linear/oklch	17	0.54838709677419406	0.58064516129032295	true	32	17	35	34	69	Preserved
S06-linear-oklch	linear/oklch	18	0.58064516129032295	0.61290322580645207	true	64	34	69	68	137	Preserved
S06-linear-oklch	linear/oklch	19	0.61290322580645207	0.64516129032258107	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	20	0.64516129032258107	0.67741935483871007	true	8	7	15	14	29	Preserved
S06-linear-oklch	linear/oklch	21	0.67741935483871007	0.70967741935483897	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	22	0.70967741935483897	0.74193548387096797	true	64	23	47	46	93	Preserved
S06-linear-oklch	linear/oklch	23	0.74193548387096797	0.77419354838709697	true	64	30	61	60	121	Preserved
S06-linear-oklch	linear/oklch	24	0.77419354838709697	0.80645161290322609	true	64	21	43	42	85	Preserved
S06-linear-oklch	linear/oklch	25	0.80645161290322609	0.83870967741935498	true	32	17	35	34	69	Preserved
S06-linear-oklch	linear/oklch	26	0.83870967741935498	0.87096774193548399	true	64	34	69	68	137	Preserved
S06-linear-oklch	linear/oklch	27	0.87096774193548399	0.90322580645161299	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	28	0.90322580645161299	0.9354838709677421	true	8	7	15	14	29	Preserved
S06-linear-oklch	linear/oklch	29	0.9354838709677421	0.967741935483871	true	64	32	65	64	129	Preserved
S06-linear-oklch	linear/oklch	30	0.967741935483871	1	true	64	23	47	46	93	Preserved
S06-radial-oklch	radial/oklch	0	0	0.032258064516128997	true	64	21	43	42	85	Preserved
S06-radial-oklch	radial/oklch	1	0.032258064516128997	0.06451612903225809	true	32	17	35	34	69	Preserved
S06-radial-oklch	radial/oklch	2	0.06451612903225809	0.096774193548387094	true	64	34	69	68	137	Preserved
S06-radial-oklch	radial/oklch	3	0.096774193548387094	0.12903225806451599	true	64	32	65	64	129	Preserved
S06-radial-oklch	radial/oklch	4	0.12903225806451599	0.16129032258064499	true	8	7	15	14	29	Preserved
S06-radial-oklch	radial/oklch	5	0.16129032258064499	0.19354838709677399	true	64	32	65	64	129	Preserved
S06-radial-oklch	radial/oklch	6	0.19354838709677399	0.225806451612903	true	64	23	47	46	93	Preserved
S06-radial-oklch	radial/oklch	7	0.225806451612903	0.25806451612903197	true	64	30	61	60	121	Preserved
S06-radial-oklch	radial/oklch	8	0.25806451612903197	0.29032258064516098	true	64	21	43	42	85	Preserved
S06-radial-oklch	radial/oklch	9	0.29032258064516098	0.32258064516128998	true	32	17	35	34	69	Preserved
S06-radial-oklch	radial/oklch	10	0.32258064516128998	0.35483870967741898	true	64	34	69	68	137	Preserved
S06-radial-oklch	radial/oklch	11	0.35483870967741898	0.38709677419354799	true	64	32	65	64	129	Preserved
S06-radial-oklch	radial/oklch	12	0.38709677419354799	0.41935483870967699	true	8	7	15	14	29	Preserved
S06-radial-oklch	radial/oklch	13	0.41935483870967699	0.45161290322580599	true	64	32	65	64	129	Preserved
S06-radial-oklch	radial/oklch	14	0.45161290322580599	0.483870967741936	true	64	23	47	46	93	Preserved
S06-radial-oklch	radial/oklch	15	0.483870967741936	0.51612903225806395	true	64	30	61	60	121	Preserved
S06-radial-oklch	radial/oklch	16	0.51612903225806395	0.54838709677419406	true	64	21	43	42	85	Preserved
S06-radial-oklch	radial/oklch	17	0.54838709677419406	0.58064516129032295	true	32	17	35	34	69	Preserved
