fixture_id	pair	seed	source_path	source_sha256	expression_sha256	identity
S03-linear-linear-rgb	linear/linear-rgb	S03	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-linear-linear-rgb.typ	dc9e16d7a5eca183dcf9cf83fa30cff62ef0a8830ebb5ac6412c7e7b04c31816	b0ad03a4a2213583b3a2c2c9ec5a92ca294ec0ba0525f1524317560a7c0f7777	Frozen
S03-radial-linear-rgb	radial/linear-rgb	S03	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S03-radial-linear-rgb.typ	045c20a49f1ff8f030a4576dcd980f1a7e4ec89cf7ba0dec2fe2a8cc505093e3	c64ed875471a04b3810a306ede7d631431529e7db9ff860c61858f8bcd2b9e8b	Frozen
S04-linear-oklab	linear/oklab	S04	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-linear-oklab.typ	32d3d2e65f4da748921d8e0a0711fc2aa33c10964834b52ae2c1ea31056563f2	694c349ab6e88948180e39129b89a754fa920aef5bf6688d777a889c4f0bed1c	Frozen
S04-radial-oklab	radial/oklab	S04	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-radial-oklab.typ	75dc3188ab3244e06411990f65ec13b59fc1f92268f0c8637e0ecddeaf6a47e7	5fdb773a5d152c05c6dbf1ebcef06f4d18147ecd01603687d5b3904e7dd484a5	Frozen
S04-linear-linear-rgb	linear/linear-rgb	S04	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-linear-linear-rgb.typ	a2cd7e1913208e1abeb8249aa7e75ac84358da34867ba3c1212d31bb07db7122	9c551b2f4da401abbd53c2e7cab7e959d12824deb372172218cac6c44816b549	Frozen
S04-radial-linear-rgb	radial/linear-rgb	S04	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S04-radial-linear-rgb.typ	dfd7769ca86580960ba14dad8f1192eaaac87885d29359e27f140d0da9f3df7e	42e29bb914a96c687f514aafb6f97c25413e95ea5942093b6ee2b69995f35a1f	Frozen
S05-linear-oklab	linear/oklab	S05	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-linear-oklab.typ	9223a20e0bfa691cbd50ef66e4365cba817fb18d8881e90fecff6b75fdbad0f8	30033a984ef19a7fe45163c2f82171b8b29916b74b214537c4142108bdb75e97	Frozen
S05-radial-oklab	radial/oklab	S05	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-radial-oklab.typ	3c5a494f63fb9c39d4eccfae3d6450c30208ba0076bbaa19dd8b69c55db6ffc4	cdcd1871dc80ecb91153fcdfc129cc3cfb1c6eae8b457b8d9e6c2f4d865f6039	Frozen
S05-linear-linear-rgb	linear/linear-rgb	S05	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-linear-linear-rgb.typ	b82968186344eb2f76e3ef4f84ed880aaf4222104905d1bccd4563a437dffeeb	19c2b288a0c547500d787bce73bedb8482e2404035ff0f430281e786f05bfd24	Frozen
S05-radial-linear-rgb	radial/linear-rgb	S05	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S05-radial-linear-rgb.typ	06752d4e61f26a5c74b9fd61d369c15827cecfb09792a817fbbb95d608c1985e	5181bba91d2867d1701606bae21fcfce66f660084e46123352f52ecb6c83b4ac	Frozen
S06-linear-oklab	linear/oklab	S06	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-linear-oklab.typ	ed9bd42c2c9842aa3a67734d319cdb1ddbfb2b89519d82b88535ea5b72b260ca	ccadb216ea54e63e8a14498284f730333de22976f7f36bb00ffb26ecba64af3d	Frozen
S06-radial-oklab	radial/oklab	S06	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-radial-oklab.typ	f31e6aff8dca6e8ae32c7135ff419c2ebfbe6d21beb514b6b4fc040b7a49716f	2f51434838b7553e16b4255dc783322e7fa20b196b811134192ac3cc6f05705a	Frozen
S06-linear-linear-rgb	linear/linear-rgb	S06	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-linear-linear-rgb.typ	19c9a0c247cff3f9df44631803006fa04236cbd5e73fff943d3c99da4e794a93	4799246e8374dda3e2212249924d37cb58777c99a29bd1b42d55f081ea48acf8	Frozen
S06-radial-linear-rgb	radial/linear-rgb	S06	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S06-radial-linear-rgb.typ	23154332a8fe86693112c87c901c1e3a6d1194dcac68edd8284f68bc4016b0de	e25b4a7cb2edec1e71aef8789441ca0ff469d7695624f62a457a7e61a22b6af4	Frozen
S07-linear-oklab	linear/oklab	S07	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-linear-oklab.typ	21f2131f163185a524416bcc9938f93c89012f213e0cb3dd162b8f3cd9b1f26e	2fc4639598cfc566a7e95b749dc93d2502fa2f734d9d066015b4be1f86fbf1b1	Frozen
S07-radial-oklab	radial/oklab	S07	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-radial-oklab.typ	2e2ef7a5030c8609411b44f3cb6ed7b7e82ea512fd43480d028f22c7033b3627	629b5101cc42f504f54b91b7d6e04d083045c5508602b060e56086f37f852b57	Frozen
S07-linear-linear-rgb	linear/linear-rgb	S07	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-linear-linear-rgb.typ	e22e4d3442069978ec265ebe41204fb3a33c10f5b53a07423ed8a3cb30234cd4	428b5163278ede4c38cc2f8d00a5ce0c874759424edc46602fb87f266dbe479b	Frozen
S07-radial-linear-rgb	radial/linear-rgb	S07	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S07-radial-linear-rgb.typ	c9575a5dd1a270f63def7834d66690652b9455baae79fcd38a09c59c101c69a5	93b0a8b9afee1354decaf48a1f88b84912f15b408b352f025681ee02acb0108f	Frozen
S08-linear-oklab	linear/oklab	S08	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-linear-oklab.typ	7469763d06ff8f70ecf5d302d41ea7c000e7ab5ee44e4c83624a3457314eebc2	1d502bc9f473571bfe608f525dbe81e1728ca3ad31396275aa3076249774f28e	Frozen
S08-radial-oklab	radial/oklab	S08	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-radial-oklab.typ	f03ad367179f86e3b14249ac0029e048404ca6a10ed5fe0dfa3990d98e5f8aea	aa399bcc25a0374dbaf9be85fa5af0fe7823c38e5c7bb7e8313972188b3d12d4	Frozen
S08-linear-linear-rgb	linear/linear-rgb	S08	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-linear-linear-rgb.typ	0e9818e8d731c8ef1f6a2da43479f419be98c4c56d9098e80a11ed56914c7210	81962dfd8128fd05cca8df06adf267a7c61126a55e63cbb4435256f5abf00e29	Frozen
S08-radial-linear-rgb	radial/linear-rgb	S08	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S08-radial-linear-rgb.typ	f5b9ab8b03c64db8ac8582071df59c603ebba9e1ca1d0db7f93eb23a6ef594e6	9cca69254881715207688854d51c17ee0ec65a5d0236f3528285c11d7616db8e	Frozen
S09-linear-oklab	linear/oklab	S09	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-linear-oklab.typ	1ee3a27f702d22f5414390842115ad273ea65c6016f5b1b3dbb8ee076a5aad8d	ec86914520becb3afa205ed44591a40d641e0991677ffe6c5db0978db265edc6	Frozen
S09-radial-oklab	radial/oklab	S09	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-radial-oklab.typ	1a324dd0d5721a08b36b81c17b2fc9fb916adc2370079313fe0701e4c013bf09	46404977b2ccb2a367b7811f0071260f3925bce880f5cc82faa36e6b26f5525f	Frozen
S09-linear-linear-rgb	linear/linear-rgb	S09	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-linear-linear-rgb.typ	2f7ea369fec1ee94398a54f4bd00b077e0431fb1b46a9de549d78e63c4266429	70f1b85c5270b7344de2f8407beeb230cc5cd99a79bab362f2976e555ffb8918	Frozen
S09-radial-linear-rgb	radial/linear-rgb	S09	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S09-radial-linear-rgb.typ	dfe539de52baa7a3fa048b1805990b0b4f14d70b7727f324e156283a0b1c6610	424ec4dc5218af95b3d1c9f7f12fe2c0c999c4e2254bae15fa9bbae3566112cc	Frozen
S10-linear-oklab	linear/oklab	S10	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-linear-oklab.typ	a026ceb7138f752a6606397f0ec7c4299e4ab6a83c1ecd3ab7f7fe6810fb7268	2290c1e7cddc8a9cb84975279eaf4e91b2cd8007ca4c96cfcab45bb7836e7a05	Frozen
S10-radial-oklab	radial/oklab	S10	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-radial-oklab.typ	33317bf0436515eba1c8edadeb8b7614eaf0c541a644b502e4c9e227254d5f1c	fb11fbb893d988f22418d621f6ab814fdbf6cd5d71d7482e7372822a3f7e62ee	Frozen
S10-linear-linear-rgb	linear/linear-rgb	S10	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-linear-linear-rgb.typ	7551da4825e1979894d5d02f0e6dfe3c016abed8e2d65dc4d6d3454d07e285ef	1b06167628eed2a90be4ced6835070e98a29b07ab20043db105f3da183291ecc	Frozen
S10-radial-linear-rgb	radial/linear-rgb	S10	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S10-radial-linear-rgb.typ	a72d8d5db01e872d9e966ae25be91df5846922b7d36d4af9778bff09a82bb52d	52191b8286f307c0d93d2781ce1cbf421077c04242f52ce89a19342da8d40beb	Frozen
S11-linear-oklab	linear/oklab	S11	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-linear-oklab.typ	d1f41437ddfb9e02db82a3f9bd71edd291f20f64d38ad8abe7e9836803a1cc11	c0b4b7eb82fc2b16f6339c98899c7f682e5115caec24ccb9e0e8965d60a5c4eb	Frozen
S11-radial-oklab	radial/oklab	S11	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-radial-oklab.typ	daa7015a0b1bb28735df93fcba3a8d005aa4fc159aff7a6247f7956b5e18d692	eca7f6dd97f3656d0566358f9071bc895521fd2694d37c72e3701c782a192eab	Frozen
S11-linear-linear-rgb	linear/linear-rgb	S11	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-linear-linear-rgb.typ	5da644425dc6029219653380493f0d15c251f4b9fe0ab56917dd16352f4597cc	a50126031fc0086b064830c63d12afdc5f13371402e4a810d4e10ae79f98dc05	Frozen
S11-radial-linear-rgb	radial/linear-rgb	S11	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S11-radial-linear-rgb.typ	00d6fae74172387106c4ae66df8a9c345dfec9396a7ff8792ab3d386bbf46759	ed3e977cdb3b5e4e53771f6afa4456999aeeef51820663295a6830ad875f5828	Frozen
S12-linear-oklab	linear/oklab	S12	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-linear-oklab.typ	7a5607ad0ba37d564af6847a5bdd62517e65a8b3748f9cfd1a4de3dc6a2f9c8c	e9498980196bf44fab885ba53a423922e139b07065cec667adb906786d816c5f	Frozen
S12-radial-oklab	radial/oklab	S12	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-radial-oklab.typ	dbcc95e7667305431b2be228332e88fdb20a1a08aff4bd41d542b67444733d25	07a49a6f657c2fe6511dd907614909fa8766520b69c6653d27f3ba8618d7850b	Frozen
S12-linear-linear-rgb	linear/linear-rgb	S12	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-linear-linear-rgb.typ	dbe1a2b5afa57c7c36215167d3883fb0fa6f49928a76f134f0fd425cf8c46e30	edfaaa49e5b5036e6153d4cc27b8ff40e4a483d81dd3d2eb7a1c2a082d3b7d51	Frozen
S12-radial-linear-rgb	radial/linear-rgb	S12	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S12-radial-linear-rgb.typ	2e93263c80734a7a076779fdc17e676a8c7c339c46eee9f891e4a137f7f501ca	7438a61e6d8e47532c5b9bb83c3e93890c81529fd55e33d14a66a6fa8b7829c3	Frozen
S13-linear-oklab	linear/oklab	S13	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-linear-oklab.typ	1c9d0d7041fd6fdccc9e7ce315d10c508cc02e3b3c05c646497ed8f876155f15	26951d2e8d9c53fbc3b9689b15401ec1a9ab26f983fd0ea2f9a99f0c9f016ef8	Frozen
S13-radial-oklab	radial/oklab	S13	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-radial-oklab.typ	8236d11d4b128e9d33d3dcba7b07acbb943bedb35f1040117369cac8df6889c0	5a46aece079d992808ab5dec73ad95ff16832571aedd51e04a3bf0c263ffd173	Frozen
S13-linear-linear-rgb	linear/linear-rgb	S13	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-linear-linear-rgb.typ	d53d3368062c098831add99d5774bfab67683faedfd7047be079f614c86ca152	20e619db066c9981a63796afc6e54c664a7e356dca40b765ebcc74c7a86d3072	Frozen
S13-radial-linear-rgb	radial/linear-rgb	S13	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S13-radial-linear-rgb.typ	8e1662afc7f823a4a582fe42f5888dc214dbdb9bf8f42550ede6ac860db83244	1cd43eecbbbc90a61920d0a2dc162b667fc63b683d1832c247d3cf32e42f0c83	Frozen
S14-linear-oklab	linear/oklab	S14	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S14-linear-oklab.typ	7be84891b75e7bc3bbbb2d3e1b539f958f95e7fafdba2f6cc0275133571e95cd	4a65904e4da38423b14b908db0afeee9fd42edf154cae61ce5f008108a23d6be	Frozen
S14-radial-oklab	radial/oklab	S14	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S14-radial-oklab.typ	6b5c3d1e421b12587c24a3cadb07419cd1c02e900142a850395a5592c3a6066c	14fc6324f18dafa247589fa620bd3a0c7916b8fe5b7fecd85bffb60902206f0d	Frozen
S14-linear-linear-rgb	linear/linear-rgb	S14	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S14-linear-linear-rgb.typ	517bb948bd518b8abdb9ed26cde18583586486639268b36494dbbca6cea5057e	ce306a782523497d973f688846801b87c6d040f1fee56f9380c566f1d18dc42f	Frozen
S14-radial-linear-rgb	radial/linear-rgb	S14	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S14-radial-linear-rgb.typ	1a08f2c3c826c40664f7c30f84bb528a54955c5c39de885531eb4a7ec6abe956	c376432599d727e0c8aa4fa73f2a30a364f3498cd34683396f25317d1078ae8d	Frozen
S15-linear-oklab	linear/oklab	S15	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S15-linear-oklab.typ	fe68ea4457ae0acfceba44a2cd44df74634dd3a468d5c693944d6c5d4b1af7bb	eb65deb6d5e548ccebf73485149032e70813ffee129d242557e1b083d0b4aac9	Frozen
S15-radial-oklab	radial/oklab	S15	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S15-radial-oklab.typ	b90964913b388574a9fe3a247e66a07bfa24b4eb6e443df764906e2c1605ddbe	122c822a3e9841d2713273a9e874224dd2bf9d3a0328c4f86face8b62b4b56b4	Frozen
S15-linear-linear-rgb	linear/linear-rgb	S15	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S15-linear-linear-rgb.typ	d4480f431a2a93a0b0daaea74f349e84403c546a391ff0ceb43bfdbcde493ddc	7e92b9a1fc5c6e8b30bf3c38d0f79a9e64fc63673a37dae8749596cf25847851	Frozen
S15-radial-linear-rgb	radial/linear-rgb	S15	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S15-radial-linear-rgb.typ	b31545ca80a620e08df6934629fceb6bcea6fd67d5c3cc17239d513a0c2eb9b5	b98dae7220bbc9258615aba55d298f33a70ac2acbdf624a953bb8ec83d97fdb1	Frozen
S16-linear-oklab	linear/oklab	S16	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S16-linear-oklab.typ	4a4de643760cfe4595541044682a2f503c6c8016c9f92bbb9c9e1d8a18df9e5b	e5cf4b1f6a8b72b0a244a24ce1173c51af31fd2656a4bfd35c1adf1b42e5ac4a	Frozen
S16-radial-oklab	radial/oklab	S16	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S16-radial-oklab.typ	2248b70b60f1716a2ff24bc4e951c6f006b53dc01b2250da6d2e2d362834524f	612e792577222dedc920c117db2a3ab0d1e8caeaae542031fe760ff09b46b3a8	Frozen
S16-linear-linear-rgb	linear/linear-rgb	S16	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S16-linear-linear-rgb.typ	37984af5be235c04e160298370762a2fcfb4e2f055366d123652a733f6d43386	131579cf486e02dd4e5b6944e5940df3519586e9f6e5589832d359a13d20082a	Frozen
S16-radial-linear-rgb	radial/linear-rgb	S16	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S16-radial-linear-rgb.typ	ce2db167a6901cb6410d95a5b39c7ba6a12cb86e6b5c9e08323aaf522389fbfd	c30f505e13a113118e5de554030ec98b41a9c200410c7ad22802d81709934b44	Frozen
S17-linear-oklab	linear/oklab	S17	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S17-linear-oklab.typ	7ba241edd30e447a7e0b3609fc67b7c1888e418f1c7c4c16eb3aa429967ab578	dd99cdce89cf34f6493f162e349e1f5ac3564d7b59d9d5d2b6fd4ec4af302875	Frozen
S17-radial-oklab	radial/oklab	S17	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S17-radial-oklab.typ	b6d3d4ce84d6bc15ac7ad49a2f2d11ad9fd33d142fca9eaff350817f10aab8d8	094951800930564d17ea8a52e2919031d77f67b43087e166aefe1f04d184148f	Frozen
S17-linear-linear-rgb	linear/linear-rgb	S17	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S17-linear-linear-rgb.typ	383cd05e8c644a14977ace4199f9547f40befd64ae3a7c31c4e9c783dae014bd	c85ef059637d8bac744c194c6451a60e0e099bb13d64672d860a08f444760cc7	Frozen
S17-radial-linear-rgb	radial/linear-rgb	S17	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S17-radial-linear-rgb.typ	02f6b42a72400811c0c0da4df90b18b2f920da4193b1c51dd70c2704cfa8c401	912e9e1bc9a5c515921ea7b9153fc8c772ea1214f189b53f2245a028ac1a7a6e	Frozen
S18-linear-oklab	linear/oklab	S18	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S18-linear-oklab.typ	4b4ad8725fddfc2b6e6fa38c2382d7e515692e769e38e652deb7247a60f99e93	92f2a7836856e67d76486adcffbe36c1f76d3f25e4861df8d878c5a898c04320	Frozen
S18-radial-oklab	radial/oklab	S18	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S18-radial-oklab.typ	c4cb6434ecb2070f4f305035a4c3a2019dcceba3e22ee3b1933c76a233622208	a17370493f7e645aab72820c7b2e88b5b0755323cb1f137d37594da094c72b01	Frozen
S18-linear-linear-rgb	linear/linear-rgb	S18	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S18-linear-linear-rgb.typ	cbbb71e49b38ac00b61b6529b3008ddb3c1084c17ed948dd0c50aac9bc0e62b8	4333ca837ab15b111aba8bac3a0ccde83cd4fc38a478d8897e1784571b299bbc	Frozen
S18-radial-linear-rgb	radial/linear-rgb	S18	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S18-radial-linear-rgb.typ	75181e6cbb7b2250eb8f30ccce9460806a745046548c802c17c28799c2f6bca5	720a8fc00610d9bd97444cebc3e4b92eb51ad7d87e4326c332e06b6a5678f098	Frozen
S19-linear-oklab	linear/oklab	S19	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S19-linear-oklab.typ	162f57da6061cd36f9c4d0c1e706246a9e505cb8e5e0f16344161ab94cc1335c	328ce625386573a266e65e5be91e70834261f5e0e1c058d2971b911f5b5ba9a3	Frozen
S19-radial-oklab	radial/oklab	S19	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S19-radial-oklab.typ	d911c3e187b39851aad656ed20e012d193db8ac8c300752ef7f4a46a342e9561	c7896b3043dfc5f6103434a39db77f0f6d622f7edca21b77c40e5198d38c97f0	Frozen
S19-linear-linear-rgb	linear/linear-rgb	S19	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S19-linear-linear-rgb.typ	441cf1103c3a707d8f40228b3d98620a1f6f3fb803ccd8be0ec3dd057183cbb4	77b6a57f9b7d03c84daa7cb57897ab7d74b9e776802229ee17878a774a02c116	Frozen
S19-radial-linear-rgb	radial/linear-rgb	S19	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S19-radial-linear-rgb.typ	a46f61074d562fe47b0158ca6a4f7a2691a9dea4793208986c5b65aeca0635cc	d28f909f715f732fdf8834721341f6d2f31b3c65e6992d3ddc3ed54291d54b70	Frozen
S20-linear-oklab	linear/oklab	S20	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S20-linear-oklab.typ	115e02aefbe002a20a8be63fa81e6464b84e171767312750cd7fa33bf6cb55cd	4fbe3f017ab1da87705f8879f7b36b36bb4edb78504b4d980966a3c268ea5804	Frozen
S20-radial-oklab	radial/oklab	S20	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S20-radial-oklab.typ	d62be08d42e4abf5312ce1ab89c2cb64570aa770ef4c2cacc2d182a82ed7ff49	305b809cb8493192760cb5f2ee2bd695618f741b7578dcccb99dcd6a8fcf87e8	Frozen
S20-linear-linear-rgb	linear/linear-rgb	S20	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S20-linear-linear-rgb.typ	0ad19cecbb68be78abe74ba06ac6ed20d858057204837a82b81bb07f711037ea	067da1f349575a8ba50813975872eea65909762dc8907e10aa903d9111c2fd0e	Frozen
S20-radial-linear-rgb	radial/linear-rgb	S20	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S20-radial-linear-rgb.typ	ddee0009d6ed2705b6ab91a7c33b32718cfe7375aacba587808aeff2dfbf19d7	51eecfe7ed02cb51a054e79d7e89d48c30402ac2768c1822daace41447c142d8	Frozen
S21-linear-oklab	linear/oklab	S21	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S21-linear-oklab.typ	bb4ef8b5c9ba9bdaaf3674667d72f4e6dd7a86595e46b755b702427ac44eae6a	683efef1de93201ddb90512caf36a48c67ca6124c673a037146e545e25cad21d	Frozen
S21-radial-oklab	radial/oklab	S21	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S21-radial-oklab.typ	719d7b44b6887feddd7063178a01c7087d2c21877ad2bf4677b0415a12740bc0	511fd13b7c390e889797964a7fdc355280d0d7914bb3869d88129472b43b6607	Frozen
S21-linear-linear-rgb	linear/linear-rgb	S21	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S21-linear-linear-rgb.typ	0f712d6e24d9c72bcfc0d8e6d5da291e8841d6d4d542893911718831db659320	95fa48a46f43bd7242623dddde5ae473dfa4149d94248b821d0a558857ff4214	Frozen
S21-radial-linear-rgb	radial/linear-rgb	S21	/repos/Antigravity/typst-crystalline/lab/parity/matrix/fixtures/p1266/S21-radial-linear-rgb.typ	b70f976651212a8318e3ce841be482fe697e4d2764ae1b8960a64201e483ce47	9f952898d48465b73c8842618ea4606a75e2f4dbb4cf9fe0452bc57236a454d3	Frozen
