path	profiles	runtime_class	crystalline_registration_file_line	vanilla_source_file_line	canonical_route	owner_prompt	owner_prompt_hash_declared	owner_prompt_sha256	l0_claim	language_class	gate_class	inference	refutation	recommended_action
cancel	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1981	ABSENT in ratified public catalog	math.cancel	00_nucleo/prompts/compiler/stdlib/structural/math.md	81441281	18b2fb0d9a3e1f6a0ff9cd8fb2e25047b4c9f2185cb6a511ae022e7a9c4e80a2	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
color.map	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.cividis	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.coolwarm	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.crest	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.flare	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.icefire	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.mako	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.rainbow	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.rocket	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.turbo	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.map.vlag	default,html,a11y,html+a11y	default:DIFFERENT_VALUE;html:DIFFERENT_VALUE;a11y:DIFFERENT_VALUE;html+a11y:DIFFERENT_VALUE	01_core/src/compiler/stdlib/color.rs:55	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/eval/repr.md	d91654f3	555b6df222a931991f1a521b11fe2d8d58ee185cdcf90cd3f0eaf6d3c40c9355	both accept, but repr-observable public morphology differs	WRONG_PUBLIC_KIND_OR_IDENTITY	ADR-0127_OWNER_STEP_REQUIRED	The mismatch is stable across all four profiles and belongs to the repr observation path.	Byte-identical stdout for the same expression would refute this.	Queue a repr-focused causal cohort after higher-priority contract contradictions.
color.spot	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/visualize/color.rs:SpotColorant		00_nucleo/prompts/compiler/stdlib/color.md	dfc7912c	fecc619d1b336a6f8ca8c39c22a302babdec4daf22d3387ce97ce28e36d87dc3	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
color.spot.tint	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/visualize/color.rs:SpotColorant::tint		00_nucleo/prompts/compiler/stdlib/color.md	dfc7912c	fecc619d1b336a6f8ca8c39c22a302babdec4daf22d3387ce97ce28e36d87dc3	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
counter_at	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1965	ABSENT in ratified public catalog	counter.at	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
counter_display	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1924	ABSENT in ratified public catalog	counter.display	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
counter_final	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1958	ABSENT in ratified public catalog	counter.final	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
counter_step	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1951	ABSENT in ratified public catalog	counter.step	00_nucleo/prompts/compiler/stdlib/counter.md	d19229e2	a4802f75d7437152b3f738c90552db359e7a27efb71187636821eed8d407d27f	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
display	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1990	ABSENT in ratified public catalog	math.display	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
enum.item	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/model/enum.rs:EnumItem		00_nucleo/prompts/compiler/eval/bindings/field_access.md	d37b05cb	3e5b96f5d62a693cb8291f63cd656a73ba19ebd69e29446858d36e475bff4a60	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
figure.caption	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/model/figure.rs:FigureCaption		00_nucleo/prompts/compiler/eval/bindings/field_access.md	d37b05cb	3e5b96f5d62a693cb8291f63cd656a73ba19ebd69e29446858d36e475bff4a60	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
float.from-bytes	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/foundations/float.rs:f64::from_bytes		00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
float.inf	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
float.nan	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	runtime canary; see full bilateral receipt		00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
float.signum	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/foundations/float.rs:f64::signum		00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
float.to-bytes	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/foundations/float.rs:f64::to_bytes		00_nucleo/prompts/compiler/stdlib/foundations/float.md	c95f8eb6	f28cb58e46ced68ddb29335a35e8ade4f03a7c30a573c7e79a86b1ef3bc99107	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
footnote.entry	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	ABSENT at baseline (bilateral VANILLA_ONLY)	crates/typst-library/src/model/footnote.rs:FootnoteEntry		00_nucleo/prompts/compiler/eval/bindings/field_access.md	d37b05cb	3e5b96f5d62a693cb8291f63cd656a73ba19ebd69e29446858d36e475bff4a60	ratified vanilla member is accepted while crystalline rejects it	MISSING_LANGUAGE_MEMBER	ADR-0127_OWNER_STEP_REQUIRED	The bilateral runtime result confirms a missing language member, including former blocked ancestors.	Crystalline acceptance with the same public value would refute this.	Queue an owner-specific parity cohort; do not mix it with alias removal.
frak	default,html,a11y,html+a11y	default:CRYSTALLINE_ONLY;html:CRYSTALLINE_ONLY;a11y:CRYSTALLINE_ONLY;html+a11y:CRYSTALLINE_ONLY	01_core/src/compiler/eval/mod.rs:1991	ABSENT in ratified public catalog	math.frak	00_nucleo/prompts/compiler/stdlib/math_style.md	56b9e300	02a1dadb6c08f3ea9ae109ff7bd2dc87e2616a5da5d4a4cfbf5a1269bc4c9603	owner L0 explicitly retains the crystalline-only public extension/compatibility path	INTENTIONAL_PRODUCT_EXTENSION	ADR-0127_HUMAN_GATE_IF_CONTRACT_REOPENED	The path is accepted only by crystalline in every measured profile and is documented as retained.	An owner L0 that does not retain it, or vanilla acceptance, would refute this classification.	Retain outside P1300; reopen only by an owner decision and public-contract gate.
