fixture_id	pair	fallback_markers	variant_nodes	productive_promotion	status
S10-linear-oklab	linear/oklab	0	1	true	Preserved
S10-radial-oklab	radial/oklab	0	1	true	Preserved
S10-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S10-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S11-linear-oklab	linear/oklab	0	1	true	Preserved
S11-radial-oklab	radial/oklab	0	1	true	Preserved
S11-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S11-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S12-linear-oklab	linear/oklab	0	1	true	Preserved
S12-radial-oklab	radial/oklab	0	1	true	Preserved
S12-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S12-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S13-linear-oklab	linear/oklab	0	1	true	Preserved
S13-radial-oklab	radial/oklab	0	1	true	Preserved
S13-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S13-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S14-linear-oklab	linear/oklab	0	1	true	Preserved
S14-radial-oklab	radial/oklab	0	1	true	Preserved
S14-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S14-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S15-linear-oklab	linear/oklab	0	1	true	Preserved
S15-radial-oklab	radial/oklab	0	1	true	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S16-linear-oklab	linear/oklab	0	1	true	Preserved
S16-radial-oklab	radial/oklab	0	1	true	Preserved
S16-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S16-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S17-linear-oklab	linear/oklab	0	1	true	Preserved
S17-radial-oklab	radial/oklab	0	1	true	Preserved
S17-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S17-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S18-linear-oklab	linear/oklab	0	1	true	Preserved
S18-radial-oklab	radial/oklab	0	1	true	Preserved
S18-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S18-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S19-linear-oklab	linear/oklab	0	1	true	Preserved
S19-radial-oklab	radial/oklab	0	1	true	Preserved
S19-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S19-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S20-linear-oklab	linear/oklab	0	1	true	Preserved
S20-radial-oklab	radial/oklab	0	1	true	Preserved
S20-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S20-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S21-linear-oklab	linear/oklab	0	1	true	Preserved
S21-radial-oklab	radial/oklab	0	1	true	Preserved
S21-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S21-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S22-linear-oklab	linear/oklab	0	1	true	Preserved
S22-radial-oklab	radial/oklab	0	1	true	Preserved
S22-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S22-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S23-linear-oklab	linear/oklab	0	1	true	Preserved
S23-radial-oklab	radial/oklab	0	1	true	Preserved
S23-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S23-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
S24-linear-oklab	linear/oklab	0	1	true	Preserved
S24-radial-oklab	radial/oklab	0	1	true	Preserved
S24-linear-linear-rgb	linear/linear-rgb	0	1	true	Preserved
S24-radial-linear-rgb	radial/linear-rgb	0	1	true	Preserved
