id	universe	path_or_case	classification	owner_candidate	status	evidence	note
surface:alignment.center	surface-wide-provisional	alignment.center	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.end	surface-wide-provisional	alignment.end	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.horizon	surface-wide-provisional	alignment.horizon	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.inv	surface-wide-provisional	alignment.inv	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.left	surface-wide-provisional	alignment.left	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.right	surface-wide-provisional	alignment.right	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.start	surface-wide-provisional	alignment.start	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:alignment.top	surface-wide-provisional	alignment.top	MISSING_MEMBER	owner for stdlib `alignment`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:angle.deg	surface-wide-provisional	angle.deg	MISSING_MEMBER	owner for stdlib `angle`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:angle.rad	surface-wide-provisional	angle.rad	MISSING_MEMBER	owner for stdlib `angle`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:arguments.at	surface-wide-provisional	arguments.at	MISSING_MEMBER	owner for stdlib `arguments`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:arguments.filter	surface-wide-provisional	arguments.filter	MISSING_MEMBER	owner for stdlib `arguments`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:arguments.len	surface-wide-provisional	arguments.len	MISSING_MEMBER	owner for stdlib `arguments`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:arguments.map	surface-wide-provisional	arguments.map	MISSING_MEMBER	owner for stdlib `arguments`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:arguments.named	surface-wide-provisional	arguments.named	MISSING_MEMBER	owner for stdlib `arguments`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:arguments.pos	surface-wide-provisional	arguments.pos	MISSING_MEMBER	owner for stdlib `arguments`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.all	surface-wide-provisional	array.all	UNVERIFIED_METADATA	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.any	surface-wide-provisional	array.any	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.at	surface-wide-provisional	array.at	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.chunks	surface-wide-provisional	array.chunks	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.contains	surface-wide-provisional	array.contains	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.dedup	surface-wide-provisional	array.dedup	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.enumerate	surface-wide-provisional	array.enumerate	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.filter	surface-wide-provisional	array.filter	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.find	surface-wide-provisional	array.find	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.first	surface-wide-provisional	array.first	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.flatten	surface-wide-provisional	array.flatten	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.fold	surface-wide-provisional	array.fold	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.insert	surface-wide-provisional	array.insert	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.intersperse	surface-wide-provisional	array.intersperse	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.join	surface-wide-provisional	array.join	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.last	surface-wide-provisional	array.last	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.len	surface-wide-provisional	array.len	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.map	surface-wide-provisional	array.map	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.pop	surface-wide-provisional	array.pop	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.position	surface-wide-provisional	array.position	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.product	surface-wide-provisional	array.product	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.push	surface-wide-provisional	array.push	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.range	surface-wide-provisional	array.range	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.reduce	surface-wide-provisional	array.reduce	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.remove	surface-wide-provisional	array.remove	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.rev	surface-wide-provisional	array.rev	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.slice	surface-wide-provisional	array.slice	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.sorted	surface-wide-provisional	array.sorted	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.split	surface-wide-provisional	array.split	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.sum	surface-wide-provisional	array.sum	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.to-dict	surface-wide-provisional	array.to-dict	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.windows	surface-wide-provisional	array.windows	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:array.zip	surface-wide-provisional	array.zip	MISSING_MEMBER	owner for stdlib `array`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:assert	surface-wide-provisional	assert	UNVERIFIED_METADATA	owner for stdlib `assert`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:assert.eq	surface-wide-provisional	assert.eq	UNVERIFIED_METADATA	owner for stdlib `assert`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:assert.ne	surface-wide-provisional	assert.ne	UNVERIFIED_METADATA	owner for stdlib `assert`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:asset	surface-wide-provisional	asset	UNVERIFIED_METADATA	owner for stdlib `asset`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:bb	surface-wide-provisional	bb	EXTRA_BINDING	owner for stdlib `bb`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:bibliography	surface-wide-provisional	bibliography	UNVERIFIED_METADATA	owner for stdlib `bibliography`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:block	surface-wide-provisional	block	UNVERIFIED_METADATA	owner for stdlib `block`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:bold	surface-wide-provisional	bold	EXTRA_BINDING	owner for stdlib `bold`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:box	surface-wide-provisional	box	UNVERIFIED_METADATA	owner for stdlib `box`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:bytes.at	surface-wide-provisional	bytes.at	MISSING_MEMBER	owner for stdlib `bytes`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:bytes.len	surface-wide-provisional	bytes.len	MISSING_MEMBER	owner for stdlib `bytes`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:bytes.slice	surface-wide-provisional	bytes.slice	MISSING_MEMBER	owner for stdlib `bytes`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:cal	surface-wide-provisional	cal	EXTRA_BINDING	owner for stdlib `cal`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.abs	surface-wide-provisional	calc.abs	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.acos	surface-wide-provisional	calc.acos	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.acosh	surface-wide-provisional	calc.acosh	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.asin	surface-wide-provisional	calc.asin	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.asinh	surface-wide-provisional	calc.asinh	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.atan	surface-wide-provisional	calc.atan	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.atan2	surface-wide-provisional	calc.atan2	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.atanh	surface-wide-provisional	calc.atanh	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.binom	surface-wide-provisional	calc.binom	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.ceil	surface-wide-provisional	calc.ceil	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.clamp	surface-wide-provisional	calc.clamp	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.cos	surface-wide-provisional	calc.cos	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.cosh	surface-wide-provisional	calc.cosh	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.deg	surface-wide-provisional	calc.deg	EXTRA_BINDING	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.div-euclid	surface-wide-provisional	calc.div-euclid	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.erf	surface-wide-provisional	calc.erf	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.even	surface-wide-provisional	calc.even	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.exp	surface-wide-provisional	calc.exp	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.fact	surface-wide-provisional	calc.fact	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.floor	surface-wide-provisional	calc.floor	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.fract	surface-wide-provisional	calc.fract	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.gcd	surface-wide-provisional	calc.gcd	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.lcm	surface-wide-provisional	calc.lcm	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.ln	surface-wide-provisional	calc.ln	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.log	surface-wide-provisional	calc.log	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.log10	surface-wide-provisional	calc.log10	EXTRA_BINDING	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.max	surface-wide-provisional	calc.max	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.min	surface-wide-provisional	calc.min	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.norm	surface-wide-provisional	calc.norm	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.odd	surface-wide-provisional	calc.odd	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.perm	surface-wide-provisional	calc.perm	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.pow	surface-wide-provisional	calc.pow	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.quo	surface-wide-provisional	calc.quo	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.rad	surface-wide-provisional	calc.rad	EXTRA_BINDING	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.rem	surface-wide-provisional	calc.rem	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.rem-euclid	surface-wide-provisional	calc.rem-euclid	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.root	surface-wide-provisional	calc.root	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.round	surface-wide-provisional	calc.round	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.sin	surface-wide-provisional	calc.sin	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.sinh	surface-wide-provisional	calc.sinh	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.sqrt	surface-wide-provisional	calc.sqrt	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.tan	surface-wide-provisional	calc.tan	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.tanh	surface-wide-provisional	calc.tanh	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:calc.trunc	surface-wide-provisional	calc.trunc	UNVERIFIED_METADATA	owner for stdlib `calc`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:cancel	surface-wide-provisional	cancel	EXTRA_BINDING	owner for stdlib `cancel`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:cbor	surface-wide-provisional	cbor	UNVERIFIED_METADATA	owner for stdlib `cbor`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:cbor.encode	surface-wide-provisional	cbor.encode	UNVERIFIED_METADATA	owner for stdlib `cbor`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:circle	surface-wide-provisional	circle	UNVERIFIED_METADATA	owner for stdlib `circle`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:cite	surface-wide-provisional	cite	UNVERIFIED_METADATA	owner for stdlib `cite`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:cmyk	surface-wide-provisional	cmyk	UNVERIFIED_METADATA	owner for stdlib `cmyk`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:colbreak	surface-wide-provisional	colbreak	UNVERIFIED_METADATA	owner for stdlib `colbreak`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.cmyk	surface-wide-provisional	color.cmyk	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.components	surface-wide-provisional	color.components	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.darken	surface-wide-provisional	color.darken	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.desaturate	surface-wide-provisional	color.desaturate	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.hsl	surface-wide-provisional	color.hsl	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.hsv	surface-wide-provisional	color.hsv	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.lighten	surface-wide-provisional	color.lighten	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.linear-rgb	surface-wide-provisional	color.linear-rgb	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.luma	surface-wide-provisional	color.luma	UNVERIFIED_METADATA	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.map	surface-wide-provisional	color.map	MISSING_MEMBER	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.map.cividis	surface-wide-provisional	color.map.cividis	MISSING_MEMBER	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
surface:color.map.coolwarm	surface-wide-provisional	color.map.coolwarm	MISSING_MEMBER	owner for stdlib `color`	HARNESS_LIMITATION	p1210-superficie-publica.json	vanilla side inherited from P1140.26; requires fresh vanilla enumerator
