path	probe_id	profiles	runtime_class_by_profile	previous_class	transition	current_language_class	crystalline_owner_file_line	vanilla_source_file_line	owner_prompt	owner_prompt_sha256	owner_prompt_hash_declared	consumer_unique	consumer_prompt_hash	language_observable	normative_intent	normative_evidence	causal_hypothesis	refutation	gate_class	recommended_action	universe	canonical_route	cohort_id	measurement_ref
alignment.start	path-alignment.start	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.start), repr(alignment.start)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.start]
alignment.top	path-alignment.top	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(alignment.top), repr(alignment.top)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-alignment.top]
angle.deg	path-angle.deg	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	UNCHANGED	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/layout/angle.rs:150	00_nucleo/prompts/compiler/eval/bindings/field_access.md	f24721d430c58791e3e5075bc0a8a30ab61909cdf43992fe84eaa53dab193937	e0188151	01_core/src/compiler/eval/bindings/field_access.rs	cd93babd	repr((type(angle.deg), repr(angle.deg)))	Vanilla member exists and crystalline lookup is absent in enabled profiles. Current L0 does not authorize an unplanned repair.	00_nucleo/prompts/compiler/eval/bindings/field_access.md:1	Fresh public lookup and refreshed owner source constrain the missing member; absence is not implementation authorization.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_PUBLIC_CONTRACT_GATE_BEFORE_MATERIALIZATION	Candidate debt only; update exact L0 and obtain the indicated gate before implementation.	principal_historical_167		missing-angle.deg	00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-angle.deg]
angle.rad	path-angle.rad	default,html,a11y,html+a11y	default:VANILLA_ONLY;html:VANILLA_ONLY;a11y:VANILLA_ONLY;html+a11y:VANILLA_ONLY	MISSING_LANGUAGE_MEMBER	UNCHANGED	MISSING_LANGUAGE_MEMBER	01_core/src/compiler/eval/bindings/field_access.rs:269	lab/typst-original/crates/typst-library/src/layout/angle.rs:144	00_nucleo/prompts/compiler/eval/bindings/field_access.md	f24721d430c58791e3e5075bc0a8a30ab61909cdf43992fe84eaa53dab193937	e0188151	01_core/src/compiler/eval/bindings/field_access.rs	cd93babd	repr((type(angle.rad), repr(angle.rad)))	Vanilla member exists and crystalline lookup is absent in enabled profiles. Current L0 does not authorize an unplanned repair.	00_nucleo/prompts/compiler/eval/bindings/field_access.md:1	Fresh public lookup and refreshed owner source constrain the missing member; absence is not implementation authorization.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_PUBLIC_CONTRACT_GATE_BEFORE_MATERIALIZATION	Candidate debt only; update exact L0 and obtain the indicated gate before implementation.	principal_historical_167		missing-angle.rad	00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-angle.rad]
aqua	path-aqua	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(aqua), repr(aqua)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-aqua]
arguments.at	path-arguments.at	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(arguments.at), repr(arguments.at)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-arguments.at]
arguments.filter	path-arguments.filter	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(arguments.filter), repr(arguments.filter)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-arguments.filter]
arguments.len	path-arguments.len	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(arguments.len), repr(arguments.len)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-arguments.len]
arguments.map	path-arguments.map	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(arguments.map), repr(arguments.map)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-arguments.map]
arguments.named	path-arguments.named	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(arguments.named), repr(arguments.named)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-arguments.named]
arguments.pos	path-arguments.pos	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(arguments.pos), repr(arguments.pos)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-arguments.pos]
array.all	path-array.all	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(array.all), repr(array.all)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-array.all]
array.any	path-array.any	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(array.any), repr(array.any)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-array.any]
array.at	path-array.at	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(array.at), repr(array.at)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-array.at]
array.chunks	path-array.chunks	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(array.chunks), repr(array.chunks)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-array.chunks]
array.contains	path-array.contains	default,html,a11y,html+a11y	default:MATCH_VALUE;html:MATCH_VALUE;a11y:MATCH_VALUE;html+a11y:MATCH_VALUE	NOT_IN_HISTORICAL_LEDGER	UNCHANGED	CLOSED_CONFIRMED	01_core/src/compiler/eval/mod.rs:1560	lab/typst-original/crates/typst-library/src/lib.rs:374	00_nucleo/prompts/compiler/eval.md	80412483c8353a736f5c11842511cdef6c5e854728281a780c0183d6b73875cf	823ed329	01_core/src/compiler/eval/mod.rs	467b7445	repr((type(array.contains), repr(array.contains)))	Binding and behavior are distinct. A matching identity probe does not certify unmeasured calls.	00_nucleo/prompts/compiler/eval.md:1	Owner is the measured global binding registry, not a claim of semantic ownership of all methods.	Same source/profile reproduces different classification or cited source establishes a different causal owner. No closure beyond this observable.	ADR0127_INTERNAL_PARITY_L0_FIRST_REVALIDATE	Preserve the measured result; no product edit in P1309.	principal_catalog			00_nucleo/diagnosticos/p1309-matrix-normal.json#results[id=path-array.contains]
