pair	fixture_id	policy	emitted_stops	decisions	color_max	color_p95	alpha_max	alpha_p95	status
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	midpoint	46	89	0.0051412198439712868	0.0036805532886473413	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-coincident-tall-fill	quarters	65	127	0.0051412198439712868	0.0036079188970626077	0	0	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	midpoint	102	200	0.0056063508519329551	0.003626476026677419	0.0038023317435081916	0.0020535241123477155	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-first-square-fill	quarters	127	250	0.0056063508519329551	0.0035755102405699577	0.0038023317435081916	0.0020932697403286404	Preserved
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	midpoint	115	226	0.0064291448980009968	0.0037332216617985145	0.0038632119514473429	0.0026610644257701876	Violated
radial/linear-rgb	candidate-radial-linear-rgb-alpha-mid-wide-stroke	quarters	127	250	0.0067215542799422068	0.0036878225049111987	0.0038515406162464849	0.002602707749766342	Violated
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	midpoint	112	220	0.0056198194110085985	0.0035092386075556052	0.0038048552754434972	0.0024159663865546133	Violated
radial/linear-rgb	candidate-radial-linear-rgb-alpha-last-tall-fill	quarters	126	248	0.0056198194110085985	0.0034810291763446408	0.0038048552754434972	0.0023809523809522615	Violated
linear/oklab	regression-linear-oklab-base-square-fill	midpoint	103	202	0.0051342128522019817	0.0035860197188896941	0	0	Preserved
linear/oklab	regression-linear-oklab-base-square-fill	quarters	126	248	0.0051342128522019834	0.0035757169288863008	0	0	Preserved
linear/oklab	regression-linear-oklab-two-wide-stroke	midpoint	58	113	0.0090719389820204666	0.0038388370361952997	0	0	Violated
linear/oklab	regression-linear-oklab-two-wide-stroke	quarters	61	119	0.0090719389820204666	0.0038388370361952997	0	0	Violated
linear/oklab	regression-linear-oklab-coincident-tall-fill	midpoint	54	105	0.0050706276631316584	0.0036426137126719651	0	0	Preserved
linear/oklab	regression-linear-oklab-coincident-tall-fill	quarters	65	127	0.0050706276631316584	0.0036094795281919004	0	0	Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	midpoint	112	220	0.0057177520559929173	0.0035928254927068098	0.0038023317435081916	0.0021197668256491831	Preserved
linear/oklab	regression-linear-oklab-alpha-first-square-fill	quarters	128	252	0.0057177520559929173	0.0035890172831891313	0.0038023317435081916	0.0020932697403286404	Preserved
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	midpoint	121	238	0.0067200747562556765	0.0035695656786914336	0.0038515406162464849	0.0026232114467408252	Violated
linear/oklab	regression-linear-oklab-alpha-mid-wide-stroke	quarters	126	248	0.0067200747562556765	0.0035666928457503402	0.0038515406162464849	0.0025910364145658171	Violated
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	midpoint	107	210	0.0063538349988307308	0.0035290894881435347	0.0038048552754434972	0.0024354186118891175	Violated
linear/oklab	regression-linear-oklab-alpha-last-tall-fill	quarters	126	248	0.0063538349988307308	0.0034865384512372589	0.0038048552754434972	0.0023809523809522615	Violated
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	midpoint	98	192	0.0051412198439712677	0.0036546771912170962	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-base-square-fill	quarters	126	248	0.0051412198439712677	0.0035813606962686192	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	midpoint	60	117	0.020785701026582535	0.0040030595517305629	0	0	Violated
linear/linear-rgb	regression-linear-linear-rgb-two-wide-stroke	quarters	65	127	0.020785701026582535	0.0039964886909608609	0	0	Violated
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	midpoint	46	89	0.0051412198439712868	0.0036805532886473413	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-coincident-tall-fill	quarters	65	127	0.0051412198439712868	0.0036079188970626077	0	0	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	midpoint	102	200	0.0056063508519329551	0.003626476026677419	0.0038023317435081916	0.0020535241123477155	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-first-square-fill	quarters	127	250	0.0056063508519329551	0.0035755102405699577	0.0038023317435081916	0.0020932697403286404	Preserved
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	midpoint	115	226	0.0064291448980009968	0.0037332216617985145	0.0038632119514473429	0.0026610644257701876	Violated
linear/linear-rgb	regression-linear-linear-rgb-alpha-mid-wide-stroke	quarters	127	250	0.0067215542799422068	0.0036878225049111987	0.0038515406162464849	0.002602707749766342	Violated
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	midpoint	112	220	0.0056198194110085985	0.0035092386075556052	0.0038048552754434972	0.0024159663865546133	Violated
linear/linear-rgb	regression-linear-linear-rgb-alpha-last-tall-fill	quarters	126	248	0.0056198194110085985	0.0034810291763446408	0.0038048552754434972	0.0023809523809522615	Violated
