fixture_id	pair	offset	multiplicity	candidate_exact_json	frozen_exact_json	exact_max_delta	epsilon	candidate_epsilon_json	frozen_epsilon_json	epsilon_max_delta	structural_rule	status
S09-linear-linear-rgb	linear/linear-rgb	1	2	[1.0,0.7156934142112732,0.0,0.0]	[1.0,0.7156934142112732,0.0,0.0]	0			n/a	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S09-radial-linear-rgb	radial/linear-rgb	1	2	[1.0,0.7156934142112732,0.0,0.0]	[1.0,0.7156934142112732,0.0,0.0]	0			n/a	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S13-linear-oklab	linear/oklab	0.5	2	[0.0,0.0,0.0,1.0]	[0.0,0.0,0.0,1.0]	0	0.5000004768371582	[1.0,0.0,5.960464477539063e-08,1.0]	[1.0,1.1444091796875e-05,3.707408905029297e-05,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S13-radial-oklab	radial/oklab	0.5	2	[0.0,0.0,0.0,1.0]	[0.0,0.0,0.0,1.0]	0	0.5000004768371582	[1.0,0.0,5.960464477539063e-08,1.0]	[1.0,1.1444091796875e-05,3.707408905029297e-05,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S13-linear-linear-rgb	linear/linear-rgb	0.5	2	[0.0,0.0,0.0,1.0]	[0.0,0.0,0.0,1.0]	0	0.5000004768371582	[1.0,1.0,1.0,1.0]	[1.0,1.0,1.0,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S13-radial-linear-rgb	radial/linear-rgb	0.5	2	[0.0,0.0,0.0,1.0]	[0.0,0.0,0.0,1.0]	0	0.5000004768371582	[1.0,1.0,1.0,1.0]	[1.0,1.0,1.0,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-linear-oklab	linear/oklab	0.33333333333333331	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	0.33333366115887958	[0.7395852208137512,-0.17897485196590424,0.1286393105983734,0.3999999761581421]	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	1.4901161193847656e-08	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-linear-oklab	linear/oklab	0.66666666666666663	2	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	0.66666700442632043	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-radial-oklab	radial/oklab	0.33333333333333331	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	0.33333366115887958	[0.7395852208137512,-0.17897485196590424,0.1286393105983734,0.3999999761581421]	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	1.4901161193847656e-08	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-radial-oklab	radial/oklab	0.66666666666666663	2	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	[0.7395852208137512,-0.17897483706474304,0.1286393105983734,0.3999999761581421]	0	0.66666700442632043	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-linear-linear-rgb	linear/linear-rgb	0.33333333333333331	2	[1.0,0.05286065489053726,0.036889538168907166,1.0]	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	0.33333366115887958	[0.02732086181640625,0.6038272976875305,0.05126945301890373,0.3999999761581421]	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-linear-linear-rgb	linear/linear-rgb	0.66666666666666663	2	[0.02732086181640625,0.6038272976875305,0.05126945301890373,0.3999999761581421]	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	0.66666700442632043	[0.0,0.17464739084243774,0.693871021270752,1.0]	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-radial-linear-rgb	radial/linear-rgb	0.33333333333333331	2	[1.0,0.05286065489053726,0.036889538168907166,1.0]	[1.0,0.05286065489053726,0.036889538168907166,1.0]	0	0.33333366115887958	[0.02732086181640625,0.6038272976875305,0.05126945301890373,0.3999999761581421]	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S14-radial-linear-rgb	radial/linear-rgb	0.66666666666666663	2	[0.02732086181640625,0.6038272976875305,0.05126945301890373,0.3999999761581421]	[0.02732088789343834,0.6038272976875305,0.05126945301890373,0.3999999761581421]	0	0.66666700442632043	[0.0,0.17464739084243774,0.693871021270752,1.0]	[0.0,0.17464739084243774,0.693871021270752,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.125	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0]	0	0.12500011920928955	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.25	2	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	0.25000011920928955	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.375	2	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	0.37500011920928955	[0.6788621544837952,0.1081790179014206,0.11313236504793167,0.24175821244716644]	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.5	2	[0.6788621544837952,0.1081790179014206,0.11313236504793167,0.24175821244716644]	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	0.50000011920928955	[0.721984326839447,-0.095741868019104,0.124144546687603,0.7802198529243469]	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.625	2	[0.721984326839447,-0.095741868019104,0.124144546687603,0.7802198529243469]	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	0.62500011920928955	[0.6990766525268555,-0.14946186542510986,0.06040899455547333,0.8401575088500977]	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.75	2	[0.6990766525268555,-0.14946186542510986,0.06040899455547333,0.8401575088500977]	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	0.75000011920928955	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-oklab	linear/oklab	0.875	2	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	0.87500011920928955	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.125	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,0.0]	0	0.12500011920928955	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.25	2	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	[0.780738115310669,0.15353433787822723,-0.026186682283878326,0.791891872882843]	0	0.25000011920928955	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.375	2	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	[0.6781677007675171,0.23285722732543945,-0.014570813626050949,0.2877049148082733]	0	0.37500011920928955	[0.6788621544837952,0.1081790179014206,0.11313236504793167,0.24175821244716644]	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.5	2	[0.6788621544837952,0.1081790179014206,0.11313236504793167,0.24175821244716644]	[0.6788621544837952,0.10817901045084,0.11313237249851227,0.24175824224948883]	0	0.50000011920928955	[0.721984326839447,-0.095741868019104,0.124144546687603,0.7802198529243469]	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.625	2	[0.721984326839447,-0.095741868019104,0.124144546687603,0.7802198529243469]	[0.721984326839447,-0.09574183821678162,0.124144546687603,0.7802197933197021]	0	0.62500011920928955	[0.6990766525268555,-0.14946186542510986,0.06040899455547333,0.8401575088500977]	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.75	2	[0.6990766525268555,-0.14946186542510986,0.06040899455547333,0.8401575088500977]	[0.6990766525268555,-0.14946186542510986,0.060409002006053925,0.8401574492454529]	0	0.75000011920928955	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-oklab	radial/oklab	0.875	2	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	[0.630631148815155,-0.09959511458873749,-0.05487669259309769,0.5700787305831909]	0	0.87500011920928955	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]	[0.5621856451034546,-0.04972836375236511,-0.1701623797416687,0.30000001192092896]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.125	2	[1.0,0.05286065489053726,0.036889538168907166,0.0]	[1.0,0.05286065489053726,0.036889538168907166,0.0]	0	0.12500011920928955	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.25	2	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	0.25000011920928955	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.375	2	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	0.37500011920928955	[0.7648468017578125,0.18606135249137878,0.040366001427173615,0.24175821244716644]	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.5	2	[0.7648468017578125,0.18606135249137878,0.040366001427173615,0.24175821244716644]	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	0.50000011920928955	[0.24109643697738647,0.4827357530593872,0.0481090322136879,0.7802198529243469]	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.625	2	[0.24109643697738647,0.4827357530593872,0.0481090322136879,0.7802198529243469]	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	0.62500011920928955	[0.021082259714603424,0.5058255791664124,0.19800527393817902,0.8401574492454529]	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.75	2	[0.021082259714603424,0.5058255791664124,0.19800527393817902,0.8401574492454529]	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	0.75000011920928955	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-linear-linear-rgb	linear/linear-rgb	0.875	2	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	0.87500011920928955	[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]	[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.125	2	[1.0,0.05286065489053726,0.036889538168907166,0.0]	[1.0,0.05286065489053726,0.036889538168907166,0.0]	0	0.12500011920928955	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.25	2	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	[1.0,0.29014596343040466,0.5945945978164673,0.791891872882843]	0	0.25000011920928955	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.375	2	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	[1.0,0.02946331538259983,0.4631843566894531,0.2877049148082733]	0	0.37500011920928955	[0.7648468017578125,0.18606135249137878,0.040366001427173615,0.24175821244716644]	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.5	2	[0.7648468017578125,0.18606135249137878,0.040366001427173615,0.24175821244716644]	[0.7648468017578125,0.18606138229370117,0.040366001427173615,0.24175824224948883]	0	0.50000011920928955	[0.24109643697738647,0.4827357530593872,0.0481090322136879,0.7802198529243469]	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.625	2	[0.24109643697738647,0.4827357530593872,0.0481090322136879,0.7802198529243469]	[0.24109652638435364,0.4827357232570648,0.0481090322136879,0.7802197933197021]	0	0.62500011920928955	[0.021082259714603424,0.5058255791664124,0.19800527393817902,0.8401574492454529]	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.75	2	[0.021082259714603424,0.5058255791664124,0.19800527393817902,0.8401574492454529]	[0.021082259714603424,0.5058255791664124,0.19800524413585663,0.8401574492454529]	0	0.75000011920928955	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S15-radial-linear-rgb	radial/linear-rgb	0.875	2	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	[0.010541129857301712,0.34023648500442505,0.4459381103515625,0.5700787305831909]	0	0.87500011920928955	[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]	[0.0,0.17464739084243774,0.693871021270752,0.30000001192092896]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S16-linear-oklab	linear/oklab	0.5	2	[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0]	[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0]	0	0.50000015894571936	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	3.5762786865234375e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S16-radial-oklab	radial/oklab	0.5	2	[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0]	[0.896699070930481,-0.023979216814041138,0.18350183963775635,1.0]	0	0.50000015894571936	[0.6595011949539185,0.1997348964214325,0.10818814486265182,1.0]	[0.6595011949539185,0.19973494112491608,0.10818813741207123,1.0]	4.0233135223388672e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S16-linear-linear-rgb	linear/linear-rgb	0.5	2	[1.0,0.7156934142112732,0.0,1.0]	[1.0,0.7156934142112732,0.0,1.0]	0	0.50000015894571936	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	9.5367431640625e-07	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S16-radial-linear-rgb	radial/linear-rgb	0.5	2	[1.0,0.7156934142112732,0.0,1.0]	[1.0,0.7156934142112732,0.0,1.0]	0	0.50000015894571936	[0.999998927116394,0.05286124721169472,0.03688955307006836,1.0]	[0.9999990463256836,0.052861180156469345,0.03688955307006836,1.0]	1.0728836059570312e-06	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.0625	2	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	[0.6595011353492737,0.19973529875278473,0.10818812251091003,1.0]	0	0.062500059604644775	[0.6903996467590332,0.05361878126859665,0.11607873439788818,1.0]	[0.6903997659683228,0.053618788719177246,0.11607874184846878,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.125	2	[0.6903996467590332,0.05361878126859665,0.11607873439788818,1.0]	[0.6903997659683228,0.053618788719177246,0.11607874184846878,1.0]	0	0.12500005960464478	[0.7212982773780823,-0.09249773621559143,0.12396935373544693,1.0]	[0.721298336982727,-0.09249772131443024,0.12396935373544693,1.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.1875	2	[0.7212982773780823,-0.09249773621559143,0.12396935373544693,1.0]	[0.721298336982727,-0.09249772131443024,0.12396935373544693,1.0]	0	0.18750005960464478	[0.7005963325500488,-0.15056902170181274,0.06296859681606293,0.7802197337150574]	[0.700596272945404,-0.15056902170181274,0.06296861171722412,0.7802197933197021]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.25	2	[0.7005963325500488,-0.15056902170181274,0.06296859681606293,0.7802197337150574]	[0.700596272945404,-0.15056902170181274,0.06296861171722412,0.7802197933197021]	0	0.25000005960464478	[0.6050734519958496,-0.08097474277019501,-0.09792464226484299,0.24175810813903809]	[0.6050734519958496,-0.0809747651219368,-0.09792460501194,0.24175824224948883]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.3125	2	[0.6050734519958496,-0.08097474277019501,-0.09792464226484299,0.24175810813903809]	[0.6050734519958496,-0.0809747651219368,-0.09792460501194,0.24175824224948883]	0	0.31250005960464478	[0.7102490663528442,-0.03833119571208954,-0.013622410595417023,0.0]	[0.7102489471435547,-0.03833119943737984,-0.013622477650642395,0.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.375	2	[0.7102490663528442,-0.03833119571208954,-0.013622410595417023,0.0]	[0.7102489471435547,-0.03833119943737984,-0.013622477650642395,0.0]	0	0.37500005960464478	[0.8005377054214478,0.06671588122844696,0.15296924114227295,0.4054054915904999]	[0.8005377650260925,0.06671585142612457,0.15296924114227295,0.4054054021835327]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.4375	2	[0.8005377054214478,0.06671588122844696,0.15296924114227295,0.4054054915904999]	[0.8005377650260925,0.06671585142612457,0.15296924114227295,0.4054054021835327]	0	0.43750005960464478	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.5625	2	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	[0.896699070930481,-0.023979216814041138,0.18350183963775635,0.0]	0	0.56250005960464478	[0.8005377054214478,0.06671588122844696,0.15296924114227295,0.4054054915904999]	[0.8005377650260925,0.06671585142612457,0.15296924114227295,0.4054054021835327]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.625	2	[0.8005377054214478,0.06671588122844696,0.15296924114227295,0.4054054915904999]	[0.8005377650260925,0.06671585142612457,0.15296924114227295,0.4054054021835327]	0	0.62500005960464478	[0.7102490663528442,-0.03833119571208954,-0.013622410595417023,0.0]	[0.7102489471435547,-0.03833119943737984,-0.013622477650642395,0.0]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
S18-linear-oklab	linear/oklab	0.6875	2	[0.7102490663528442,-0.03833119571208954,-0.013622410595417023,0.0]	[0.7102489471435547,-0.03833119943737984,-0.013622477650642395,0.0]	0	0.68750005960464478	[0.6050734519958496,-0.08097474277019501,-0.09792464226484299,0.24175810813903809]	[0.6050734519958496,-0.0809747651219368,-0.09792460501194,0.24175824224948883]	0	candidate exact selects expected first/zero special-case index; epsilon-right selects expected last index	Preserved
