fixture_id	fixture_sha256	svg_sha256	decision_budget_fields
candidate-radial-linear-rgb-alpha-mid-wide-stroke	352a7d86a7e2dc06319acee4f553458aacfa2f914144b5ca3baa85f828699288	fafc230b90c8d0241f2abd739a31983273aae78180698e62c3305a2d6fb343bf	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
candidate-radial-linear-rgb-alpha-last-tall-fill	b07682f38cca4b15a704e29a52e7d0120e5ddf69018de65fb6e19ee62f6d8d7e	97f0cb2172afd0d394cb93a20a2f899d9d5f6206beeaf89915d7ceaae5a412eb	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-oklab-base-square-fill	180bd3df3c25f6aa1039cb497f37d7749068c6059837440d83c0b3168349273e	d3a69c786ff959ab3f28bf2635fc74313de9b5b8c740adee7297beb21f5bdeb2	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-oklab-two-wide-stroke	bbec67071356c8269081a0b49860d0941aaea48aa41d1352e497885c1755c5ff	da80542bf804ea8f4698c256d24a87107b5d79eb101e291a374cb80427fd2284	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-oklab-coincident-tall-fill	a407b98f024988e0503aac67a0b437e097e53fe9ceca75788cf0ed70f68fb657	837d247743aa4773d863e54c2ec12cc55b43ef2a16902d0cfa8eb803cccc64c7	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-oklab-alpha-first-square-fill	5f49e4fe51d2f3e43657aecb2b4511382ceb617a2bbb36c32cfe8d4f4f509ce4	69c0ac49ed7069033d5921a8b6d8e3b1761f87a15e349266528d15e63b77ad0d	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-oklab-alpha-mid-wide-stroke	1eddcf17f5c73648dfb446d3006aa480ff9ec99c06d5efef1d0fd975c08ffb8d	f873a67b9c05840881b77c5eb3f32cf68415e3948df2c3e186470e1167b33e48	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-oklab-alpha-last-tall-fill	ee0326677317164f30dd32fceecbe3955d7d6cf0ad499aa711c2046c9c4693af	fe70580614a2539fbaf0b26a92d97089d76b5a8499627c939b0c01c1cfceb992	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-linear-rgb-base-square-fill	6aa433760d9accf61fdf5241a847a8def64d4749d67500f6ed06d68a509f8f26	de4c0a260e1ca6dfb80ff4c359fe5975f39f0a3596bad8b4e6c8e77d8f7ce5fd	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-linear-rgb-two-wide-stroke	39eb540f94f91717a354b215fe87d8a1c9084a12d90e90429302ce8b6108adf6	0d8047742ae5e6450f369a2b4216eeb7aed1a865a38f090de62375df8ce21185	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-linear-rgb-coincident-tall-fill	298cf8cf3c075065df341230f2698c0b116a6448ff3bfa62fe9f74a86472c25f	32c5a468ba0346ecc5150588efff764e378c2daac04c632f8c581983ebe7b092	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-linear-rgb-alpha-first-square-fill	ce7ff67bc78072877e3f1db6c930bcd25c675a7e35b1c64321ffbf6f0fec229e	42cd2273497166414e3a2750ae0a51b2a99658775889f5a290c1580a7cde711b	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-linear-rgb-alpha-mid-wide-stroke	0127411bfeccbb68cb3f464fd3ed28a92278d1fe397ce412f9f615f740eb009a	13c91187e52c3fa0d71ad5ec03da7ba596edc421bb0fad56e80c12078724c792	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
regression-linear-linear-rgb-alpha-last-tall-fill	dd0873890ec509ec208695ae5b3a537a1cb20f66a68b6eff1a0d58bbf0085df6	43fac462691f6a5ce14361668e6fc22f37f9ca51b9ddbe898e613cbafb959be4	V_color_max;V_color_p95;V_alpha_max;V_alpha_p95
