phase	fixture_id	pair	direct_semantic_digest	observed_semantic_digest	status
inverse	S18-radial-linear-rgb	radial/linear-rgb	94899dcb424186d695e3c236d94b4e87ec0d9a356b4656203ae0e8ef283503bc	94899dcb424186d695e3c236d94b4e87ec0d9a356b4656203ae0e8ef283503bc	MeasuredEqual
inverse	S18-linear-linear-rgb	linear/linear-rgb	0320f25884d82348fd63f337dfce00603764b1fbdf31d1de6e43b92007b0da3e	0320f25884d82348fd63f337dfce00603764b1fbdf31d1de6e43b92007b0da3e	MeasuredEqual
inverse	S18-radial-oklab	radial/oklab	b08f3fda01673a92c712f25b46f9effe726e1289b393fe0903288b6cf66298b0	b08f3fda01673a92c712f25b46f9effe726e1289b393fe0903288b6cf66298b0	MeasuredEqual
inverse	S18-linear-oklab	linear/oklab	9fd33d189687981b270e33261902df38c3f8473946ea6f8ddacdd3b13a0f3909	9fd33d189687981b270e33261902df38c3f8473946ea6f8ddacdd3b13a0f3909	MeasuredEqual
inverse	S17-radial-linear-rgb	radial/linear-rgb	c84a78358101b42b942af617ebaf5c345fa4d383dd60f271f85e74290cb8ff03	c84a78358101b42b942af617ebaf5c345fa4d383dd60f271f85e74290cb8ff03	MeasuredEqual
inverse	S17-linear-linear-rgb	linear/linear-rgb	1e67beafb41fe738d743d8b1daf5f7785068580abed3d082ab6f305f20f2db9c	1e67beafb41fe738d743d8b1daf5f7785068580abed3d082ab6f305f20f2db9c	MeasuredEqual
inverse	S17-radial-oklab	radial/oklab	8a81295799031f2eb33c4a83cadf34f0ecfe9c1f4c134b8aa5ff824833017ec4	8a81295799031f2eb33c4a83cadf34f0ecfe9c1f4c134b8aa5ff824833017ec4	MeasuredEqual
inverse	S17-linear-oklab	linear/oklab	f20fe187349f45ddcad4a807f64a896147d9192960b288002e2351a0858db074	f20fe187349f45ddcad4a807f64a896147d9192960b288002e2351a0858db074	MeasuredEqual
inverse	S16-radial-linear-rgb	radial/linear-rgb	4c1eaea7cda78e786e4e8f65d0f7641921010baafc0037882050e893ac89d30a	4c1eaea7cda78e786e4e8f65d0f7641921010baafc0037882050e893ac89d30a	MeasuredEqual
inverse	S16-linear-linear-rgb	linear/linear-rgb	d4efedf5b7f317af4e48b60409dc2c1286ba07c3fdc80c3d136abde857c72d90	d4efedf5b7f317af4e48b60409dc2c1286ba07c3fdc80c3d136abde857c72d90	MeasuredEqual
inverse	S16-radial-oklab	radial/oklab	ef2fadde4ff1d6f68172dd0947829920c555cc2fedf6a269bd86963912706668	ef2fadde4ff1d6f68172dd0947829920c555cc2fedf6a269bd86963912706668	MeasuredEqual
inverse	S16-linear-oklab	linear/oklab	572ffaa09b8499db5829b1fb82fb4eb073d0bebfa875009aa2868a9e4fc49c7e	572ffaa09b8499db5829b1fb82fb4eb073d0bebfa875009aa2868a9e4fc49c7e	MeasuredEqual
inverse	S15-radial-linear-rgb	radial/linear-rgb	f482db3a0da0abea38d4cfb1af8e28b30718c898b03ad618265598fe78b3f261	f482db3a0da0abea38d4cfb1af8e28b30718c898b03ad618265598fe78b3f261	MeasuredEqual
inverse	S15-linear-linear-rgb	linear/linear-rgb	23a4195110004a6510478c941f004b4dc047bee488bb0aa0b009e01147f3ee0c	23a4195110004a6510478c941f004b4dc047bee488bb0aa0b009e01147f3ee0c	MeasuredEqual
inverse	S15-radial-oklab	radial/oklab	fd83973a9eba50b011ec2455d8cafd76cf364454c55c1da2306e945c726ea662	fd83973a9eba50b011ec2455d8cafd76cf364454c55c1da2306e945c726ea662	MeasuredEqual
inverse	S15-linear-oklab	linear/oklab	9b7e413338571b8419907ac8386e0f3fb783652d5890d72cf313851e4c4b3d4c	9b7e413338571b8419907ac8386e0f3fb783652d5890d72cf313851e4c4b3d4c	MeasuredEqual
inverse	S14-radial-linear-rgb	radial/linear-rgb	ec7524dedfc63bbff55f3f0c4ef146addb1db03ae8f29cd324b161965bf521b1	ec7524dedfc63bbff55f3f0c4ef146addb1db03ae8f29cd324b161965bf521b1	MeasuredEqual
inverse	S14-linear-linear-rgb	linear/linear-rgb	a5935d1db680b65ed31b78647d7f9806f3c0482eb4e7b173053c5ffa8590e3c1	a5935d1db680b65ed31b78647d7f9806f3c0482eb4e7b173053c5ffa8590e3c1	MeasuredEqual
inverse	S14-radial-oklab	radial/oklab	e80165dc82d61dced0760035f0673d50a7bf8e3865d0fcb32eb09dec80f67a37	e80165dc82d61dced0760035f0673d50a7bf8e3865d0fcb32eb09dec80f67a37	MeasuredEqual
inverse	S14-linear-oklab	linear/oklab	fee3facbdd283f61912b934e6adb64162ad55ccd2f7d492edbb29f6af8fa74e3	fee3facbdd283f61912b934e6adb64162ad55ccd2f7d492edbb29f6af8fa74e3	MeasuredEqual
inverse	S13-radial-linear-rgb	radial/linear-rgb	e96a7424c60356bf9287e1e9c5affd9155e58897a228dd32fa4933664f6d09ed	e96a7424c60356bf9287e1e9c5affd9155e58897a228dd32fa4933664f6d09ed	MeasuredEqual
inverse	S13-linear-linear-rgb	linear/linear-rgb	59710ccd42937c7f6fa202dafe4af392669499f45225456945da95423659f89f	59710ccd42937c7f6fa202dafe4af392669499f45225456945da95423659f89f	MeasuredEqual
inverse	S13-radial-oklab	radial/oklab	76fefb2f3de43d4dc3ad5779bea55db873d96ddf58a587625ee2a95247301878	76fefb2f3de43d4dc3ad5779bea55db873d96ddf58a587625ee2a95247301878	MeasuredEqual
inverse	S13-linear-oklab	linear/oklab	615834817426ada5ca9db880fce0d67c9773b309cebcc5e61bd25483f04498fa	615834817426ada5ca9db880fce0d67c9773b309cebcc5e61bd25483f04498fa	MeasuredEqual
inverse	S12-radial-linear-rgb	radial/linear-rgb	4957f74032cc6f285b3259fcd3bb1d5ee3b2109f80080a82c85f996f46467022	4957f74032cc6f285b3259fcd3bb1d5ee3b2109f80080a82c85f996f46467022	MeasuredEqual
inverse	S12-linear-linear-rgb	linear/linear-rgb	378271a548494faf1260bc8328ec9153735466ce4445aa6b65db6c173c4a1cec	378271a548494faf1260bc8328ec9153735466ce4445aa6b65db6c173c4a1cec	MeasuredEqual
inverse	S12-radial-oklab	radial/oklab	158c17271dad0e6ebb87f115c1e5efc1fa3f7bd8e665dd7e93af971f9eecfc68	158c17271dad0e6ebb87f115c1e5efc1fa3f7bd8e665dd7e93af971f9eecfc68	MeasuredEqual
inverse	S12-linear-oklab	linear/oklab	a80e29f1c451a8b6cd33188496754527871f65eeb7a181b8462d3cf43668babe	a80e29f1c451a8b6cd33188496754527871f65eeb7a181b8462d3cf43668babe	MeasuredEqual
inverse	S11-radial-linear-rgb	radial/linear-rgb	2b3e661ab011bfe152fd97344ac04c4ca2b3a1cc4209a3bfb3bb2a21fe04571b	2b3e661ab011bfe152fd97344ac04c4ca2b3a1cc4209a3bfb3bb2a21fe04571b	MeasuredEqual
inverse	S11-linear-linear-rgb	linear/linear-rgb	0ec7f3f528c5b08c340eaef21d3f15a4257d474cfce5c923a9bae1eb866630db	0ec7f3f528c5b08c340eaef21d3f15a4257d474cfce5c923a9bae1eb866630db	MeasuredEqual
inverse	S11-radial-oklab	radial/oklab	2df98dabb7ae7c1df595050fddcb8b7f997754aacea9b291e3e91e46c3eecbf5	2df98dabb7ae7c1df595050fddcb8b7f997754aacea9b291e3e91e46c3eecbf5	MeasuredEqual
inverse	S11-linear-oklab	linear/oklab	6497b4a321f357982c78119cce243b927dfa3dc92b2658e1e46bd8da7e7664df	6497b4a321f357982c78119cce243b927dfa3dc92b2658e1e46bd8da7e7664df	MeasuredEqual
inverse	S10-radial-linear-rgb	radial/linear-rgb	6c1706d502b076855b3248363a61e369a16400913fdbda93f30a5b1e901ab7d3	6c1706d502b076855b3248363a61e369a16400913fdbda93f30a5b1e901ab7d3	MeasuredEqual
inverse	S10-linear-linear-rgb	linear/linear-rgb	246f8f19eeea01b6323035a21b80a29bb8cab179fa55d126e6badc22820ec241	246f8f19eeea01b6323035a21b80a29bb8cab179fa55d126e6badc22820ec241	MeasuredEqual
inverse	S10-radial-oklab	radial/oklab	e94a2271535353e083243cb9e389a49b27f0ce82c83008e8fafef0f5a901a9e8	e94a2271535353e083243cb9e389a49b27f0ce82c83008e8fafef0f5a901a9e8	MeasuredEqual
inverse	S10-linear-oklab	linear/oklab	cd24b7aae5f9203dfe2a1f3c5d6c157bac74a7e1c8d81632529f2de0a1f2afe0	cd24b7aae5f9203dfe2a1f3c5d6c157bac74a7e1c8d81632529f2de0a1f2afe0	MeasuredEqual
inverse	S09-radial-linear-rgb	radial/linear-rgb	619ec7511c22e384f8e3297a87152551344e8f084fd0e65dae91f14deb16d5a2	619ec7511c22e384f8e3297a87152551344e8f084fd0e65dae91f14deb16d5a2	MeasuredEqual
inverse	S09-linear-linear-rgb	linear/linear-rgb	21ba4a0b0a674e8c759d868df3cf8348c61c1e1301ebfe6e7a08ed8588a79c9d	21ba4a0b0a674e8c759d868df3cf8348c61c1e1301ebfe6e7a08ed8588a79c9d	MeasuredEqual
inverse	S09-radial-oklab	radial/oklab	0cac3a9635f9eaec6d143a519c3b2bac1ce50a4786196894c095209d3b933ebd	0cac3a9635f9eaec6d143a519c3b2bac1ce50a4786196894c095209d3b933ebd	MeasuredEqual
inverse	S09-linear-oklab	linear/oklab	5f20166b5de1c7d44547b0cb43d751108edafe9e464b367649003ccdc4a3e257	5f20166b5de1c7d44547b0cb43d751108edafe9e464b367649003ccdc4a3e257	MeasuredEqual
inverse	S08-radial-linear-rgb	radial/linear-rgb	5f0a63de66ddb364dbc590c5937e026e44b268e52877bc886e0856fa607e6806	5f0a63de66ddb364dbc590c5937e026e44b268e52877bc886e0856fa607e6806	MeasuredEqual
inverse	S08-linear-linear-rgb	linear/linear-rgb	d1b689d6f1e360ab3aa124f98783467d6326d806c3e5c05dd373e5555cc53408	d1b689d6f1e360ab3aa124f98783467d6326d806c3e5c05dd373e5555cc53408	MeasuredEqual
inverse	S08-radial-oklab	radial/oklab	2ea66c0876894ca5b16ed858c211ec0639b48a97def586c340126c38f4c3d6fa	2ea66c0876894ca5b16ed858c211ec0639b48a97def586c340126c38f4c3d6fa	MeasuredEqual
inverse	S08-linear-oklab	linear/oklab	b75f1c3d1c9dcee6c6b490a7c533961f6cc4020bbe281520c81377865f60b86e	b75f1c3d1c9dcee6c6b490a7c533961f6cc4020bbe281520c81377865f60b86e	MeasuredEqual
inverse	S07-radial-linear-rgb	radial/linear-rgb	2d9b881c93d38a4955be51abcd46aa1edbc119c5f53cfa994138d4a94a56157e	2d9b881c93d38a4955be51abcd46aa1edbc119c5f53cfa994138d4a94a56157e	MeasuredEqual
inverse	S07-linear-linear-rgb	linear/linear-rgb	5b375bfb9ded6b232192a72acfe8912e145badfb4c335556e1b1ae5a8ef71118	5b375bfb9ded6b232192a72acfe8912e145badfb4c335556e1b1ae5a8ef71118	MeasuredEqual
inverse	S07-radial-oklab	radial/oklab	7ef7e33936203465a26463d0ebbe310e7c0e67d1d550580a90d6921d54b0368f	7ef7e33936203465a26463d0ebbe310e7c0e67d1d550580a90d6921d54b0368f	MeasuredEqual
inverse	S07-linear-oklab	linear/oklab	2ec8c613fcd5ec03905ded92ff2b9b75c21e54ee2fd870b2551fe5cf3d668d61	2ec8c613fcd5ec03905ded92ff2b9b75c21e54ee2fd870b2551fe5cf3d668d61	MeasuredEqual
inverse	S06-radial-linear-rgb	radial/linear-rgb	4f577546ac9a572fbab9fbf29e3f54d3a14193272cb8ca0800dc615ed7aac9f1	4f577546ac9a572fbab9fbf29e3f54d3a14193272cb8ca0800dc615ed7aac9f1	MeasuredEqual
inverse	S06-linear-linear-rgb	linear/linear-rgb	6c220948d7c0f676d242042726a15b0beafd6f0e9564e5ddcaf58e20dcca1bc7	6c220948d7c0f676d242042726a15b0beafd6f0e9564e5ddcaf58e20dcca1bc7	MeasuredEqual
inverse	S06-radial-oklab	radial/oklab	c7d4f4f7be02b85a542c7efe350cf9b4913087ce5e3fd10c6f5758eb12c6c37c	c7d4f4f7be02b85a542c7efe350cf9b4913087ce5e3fd10c6f5758eb12c6c37c	MeasuredEqual
inverse	S06-linear-oklab	linear/oklab	216a108d173659be6251d6108a6f301f394d1945018567164323ba4cb052819d	216a108d173659be6251d6108a6f301f394d1945018567164323ba4cb052819d	MeasuredEqual
inverse	S05-radial-linear-rgb	radial/linear-rgb	59a1c4f040ac4983002989b5bc4ceff62cc4b452a5d40a0374f0499d87795dfe	59a1c4f040ac4983002989b5bc4ceff62cc4b452a5d40a0374f0499d87795dfe	MeasuredEqual
inverse	S05-linear-linear-rgb	linear/linear-rgb	531c8aa5bb24d8e7d153503a40c2753f8b6592ad430b8012f8ae1a4bc85e47bb	531c8aa5bb24d8e7d153503a40c2753f8b6592ad430b8012f8ae1a4bc85e47bb	MeasuredEqual
inverse	S05-radial-oklab	radial/oklab	24d29b0281defa2f6cdb2fb5239bc9f8c999fff9094201b486deaca6051b754a	24d29b0281defa2f6cdb2fb5239bc9f8c999fff9094201b486deaca6051b754a	MeasuredEqual
inverse	S05-linear-oklab	linear/oklab	6f63fbd58e9e6a333683e17ab3ef9084f736421dddfd81bbd256f4e1571a5333	6f63fbd58e9e6a333683e17ab3ef9084f736421dddfd81bbd256f4e1571a5333	MeasuredEqual
inverse	S04-radial-linear-rgb	radial/linear-rgb	f747113f8addbed86ca2de005bba36ab8167064065167980a275f4855543b86c	f747113f8addbed86ca2de005bba36ab8167064065167980a275f4855543b86c	MeasuredEqual
inverse	S04-linear-linear-rgb	linear/linear-rgb	2a21e69831232a5107af4ddb694ff7eeffcd4c4953dae6593b201878fc84758e	2a21e69831232a5107af4ddb694ff7eeffcd4c4953dae6593b201878fc84758e	MeasuredEqual
inverse	S04-radial-oklab	radial/oklab	ce085eb2a91f808bfd44d6a1c8b8a3b4cbab30739b9831fda57668993af04c5d	ce085eb2a91f808bfd44d6a1c8b8a3b4cbab30739b9831fda57668993af04c5d	MeasuredEqual
inverse	S04-linear-oklab	linear/oklab	ebf81182658501937ff7c689e1413e5357b87a564857c0ae5042a47901cdece3	ebf81182658501937ff7c689e1413e5357b87a564857c0ae5042a47901cdece3	MeasuredEqual
inverse	S03-radial-linear-rgb	radial/linear-rgb	f807371a345b4fdb2a8496eb3e9a75fd8cff8de99ab0ebc5dace31b4cc680d88	f807371a345b4fdb2a8496eb3e9a75fd8cff8de99ab0ebc5dace31b4cc680d88	MeasuredEqual
inverse	S03-linear-linear-rgb	linear/linear-rgb	258adf2c812d38a93eeb26384f15ef6972ff6f59f4c3285e0850dbb6de54e23e	258adf2c812d38a93eeb26384f15ef6972ff6f59f4c3285e0850dbb6de54e23e	MeasuredEqual
inverse	S03-radial-oklab	radial/oklab	68e6f1558d3f6ba03f62809cb55b16f26030cf28432030a920d73521921467a6	68e6f1558d3f6ba03f62809cb55b16f26030cf28432030a920d73521921467a6	MeasuredEqual
inverse	S03-linear-oklab	linear/oklab	014236d50a7d408bd610182398cda6ed628a67d44b3768744e012eb24365a652	014236d50a7d408bd610182398cda6ed628a67d44b3768744e012eb24365a652	MeasuredEqual
inverse	S02-radial-linear-rgb	radial/linear-rgb	bf793ea23e228c9f26bf19c0c46b4f6140da0cb71aa678b1cafcbd05ead1b75b	bf793ea23e228c9f26bf19c0c46b4f6140da0cb71aa678b1cafcbd05ead1b75b	MeasuredEqual
inverse	S02-linear-linear-rgb	linear/linear-rgb	24ac636914557daef7feb00f84115779b121ffbf4071fde037274475fad4803f	24ac636914557daef7feb00f84115779b121ffbf4071fde037274475fad4803f	MeasuredEqual
inverse	S02-radial-oklab	radial/oklab	9c4947c358f5f1a9b6e63e83bb133c4310ff7948bb5410a8c83d634282582b57	9c4947c358f5f1a9b6e63e83bb133c4310ff7948bb5410a8c83d634282582b57	MeasuredEqual
inverse	S02-linear-oklab	linear/oklab	0828c930cbe385b515c207fd33efd96e7b0d13708b324ef8d4360a690799b1e0	0828c930cbe385b515c207fd33efd96e7b0d13708b324ef8d4360a690799b1e0	MeasuredEqual
inverse	S01-radial-linear-rgb	radial/linear-rgb	7d4fbb125fe12a1c25cfec876548e6a58efca528bdfca47b214643caafc1c0aa	7d4fbb125fe12a1c25cfec876548e6a58efca528bdfca47b214643caafc1c0aa	MeasuredEqual
inverse	S01-linear-linear-rgb	linear/linear-rgb	f32a971181685fed9f5bafc47113cc3b8ad2d50ec8ccd31a39913810debf10b8	f32a971181685fed9f5bafc47113cc3b8ad2d50ec8ccd31a39913810debf10b8	MeasuredEqual
inverse	S01-radial-oklab	radial/oklab	5890ad1fb48cc5328f3b9f4c19ffe8111b0f6c2e267c35662eded97a28f598a2	5890ad1fb48cc5328f3b9f4c19ffe8111b0f6c2e267c35662eded97a28f598a2	MeasuredEqual
inverse	S01-linear-oklab	linear/oklab	b54e8e88a318b3c13af3e07eb1f09c75ab348321a163922a262183151ba61cba	b54e8e88a318b3c13af3e07eb1f09c75ab348321a163922a262183151ba61cba	MeasuredEqual
repeat	S01-linear-oklab	linear/oklab	b54e8e88a318b3c13af3e07eb1f09c75ab348321a163922a262183151ba61cba	b54e8e88a318b3c13af3e07eb1f09c75ab348321a163922a262183151ba61cba	MeasuredEqual
repeat	S01-radial-oklab	radial/oklab	5890ad1fb48cc5328f3b9f4c19ffe8111b0f6c2e267c35662eded97a28f598a2	5890ad1fb48cc5328f3b9f4c19ffe8111b0f6c2e267c35662eded97a28f598a2	MeasuredEqual
repeat	S01-linear-linear-rgb	linear/linear-rgb	f32a971181685fed9f5bafc47113cc3b8ad2d50ec8ccd31a39913810debf10b8	f32a971181685fed9f5bafc47113cc3b8ad2d50ec8ccd31a39913810debf10b8	MeasuredEqual
repeat	S01-radial-linear-rgb	radial/linear-rgb	7d4fbb125fe12a1c25cfec876548e6a58efca528bdfca47b214643caafc1c0aa	7d4fbb125fe12a1c25cfec876548e6a58efca528bdfca47b214643caafc1c0aa	MeasuredEqual
repeat	S02-linear-oklab	linear/oklab	0828c930cbe385b515c207fd33efd96e7b0d13708b324ef8d4360a690799b1e0	0828c930cbe385b515c207fd33efd96e7b0d13708b324ef8d4360a690799b1e0	MeasuredEqual
repeat	S02-radial-oklab	radial/oklab	9c4947c358f5f1a9b6e63e83bb133c4310ff7948bb5410a8c83d634282582b57	9c4947c358f5f1a9b6e63e83bb133c4310ff7948bb5410a8c83d634282582b57	MeasuredEqual
repeat	S02-linear-linear-rgb	linear/linear-rgb	24ac636914557daef7feb00f84115779b121ffbf4071fde037274475fad4803f	24ac636914557daef7feb00f84115779b121ffbf4071fde037274475fad4803f	MeasuredEqual
repeat	S02-radial-linear-rgb	radial/linear-rgb	bf793ea23e228c9f26bf19c0c46b4f6140da0cb71aa678b1cafcbd05ead1b75b	bf793ea23e228c9f26bf19c0c46b4f6140da0cb71aa678b1cafcbd05ead1b75b	MeasuredEqual
repeat	S03-linear-oklab	linear/oklab	014236d50a7d408bd610182398cda6ed628a67d44b3768744e012eb24365a652	014236d50a7d408bd610182398cda6ed628a67d44b3768744e012eb24365a652	MeasuredEqual
repeat	S03-radial-oklab	radial/oklab	68e6f1558d3f6ba03f62809cb55b16f26030cf28432030a920d73521921467a6	68e6f1558d3f6ba03f62809cb55b16f26030cf28432030a920d73521921467a6	MeasuredEqual
repeat	S03-linear-linear-rgb	linear/linear-rgb	258adf2c812d38a93eeb26384f15ef6972ff6f59f4c3285e0850dbb6de54e23e	258adf2c812d38a93eeb26384f15ef6972ff6f59f4c3285e0850dbb6de54e23e	MeasuredEqual
repeat	S03-radial-linear-rgb	radial/linear-rgb	f807371a345b4fdb2a8496eb3e9a75fd8cff8de99ab0ebc5dace31b4cc680d88	f807371a345b4fdb2a8496eb3e9a75fd8cff8de99ab0ebc5dace31b4cc680d88	MeasuredEqual
repeat	S04-linear-oklab	linear/oklab	ebf81182658501937ff7c689e1413e5357b87a564857c0ae5042a47901cdece3	ebf81182658501937ff7c689e1413e5357b87a564857c0ae5042a47901cdece3	MeasuredEqual
repeat	S04-radial-oklab	radial/oklab	ce085eb2a91f808bfd44d6a1c8b8a3b4cbab30739b9831fda57668993af04c5d	ce085eb2a91f808bfd44d6a1c8b8a3b4cbab30739b9831fda57668993af04c5d	MeasuredEqual
repeat	S04-linear-linear-rgb	linear/linear-rgb	2a21e69831232a5107af4ddb694ff7eeffcd4c4953dae6593b201878fc84758e	2a21e69831232a5107af4ddb694ff7eeffcd4c4953dae6593b201878fc84758e	MeasuredEqual
repeat	S04-radial-linear-rgb	radial/linear-rgb	f747113f8addbed86ca2de005bba36ab8167064065167980a275f4855543b86c	f747113f8addbed86ca2de005bba36ab8167064065167980a275f4855543b86c	MeasuredEqual
repeat	S05-linear-oklab	linear/oklab	6f63fbd58e9e6a333683e17ab3ef9084f736421dddfd81bbd256f4e1571a5333	6f63fbd58e9e6a333683e17ab3ef9084f736421dddfd81bbd256f4e1571a5333	MeasuredEqual
repeat	S05-radial-oklab	radial/oklab	24d29b0281defa2f6cdb2fb5239bc9f8c999fff9094201b486deaca6051b754a	24d29b0281defa2f6cdb2fb5239bc9f8c999fff9094201b486deaca6051b754a	MeasuredEqual
repeat	S05-linear-linear-rgb	linear/linear-rgb	531c8aa5bb24d8e7d153503a40c2753f8b6592ad430b8012f8ae1a4bc85e47bb	531c8aa5bb24d8e7d153503a40c2753f8b6592ad430b8012f8ae1a4bc85e47bb	MeasuredEqual
repeat	S05-radial-linear-rgb	radial/linear-rgb	59a1c4f040ac4983002989b5bc4ceff62cc4b452a5d40a0374f0499d87795dfe	59a1c4f040ac4983002989b5bc4ceff62cc4b452a5d40a0374f0499d87795dfe	MeasuredEqual
repeat	S06-linear-oklab	linear/oklab	216a108d173659be6251d6108a6f301f394d1945018567164323ba4cb052819d	216a108d173659be6251d6108a6f301f394d1945018567164323ba4cb052819d	MeasuredEqual
repeat	S06-radial-oklab	radial/oklab	c7d4f4f7be02b85a542c7efe350cf9b4913087ce5e3fd10c6f5758eb12c6c37c	c7d4f4f7be02b85a542c7efe350cf9b4913087ce5e3fd10c6f5758eb12c6c37c	MeasuredEqual
